,Intercept,Score,Coef
"1281.87, 1322.86",[0.01997935],0.46065530264787313,[[0.36876562]]
"1281.87, 1328.62",[0.00549565],0.31342241820525296,[[0.37377545]]
"1281.87, 1332.62",[0.01851839],0.34496268938163277,[[0.22361377]]
"1281.87, 1335.62",[0.01945958],0.29099742677461227,[[0.11189652]]
"1281.87, 1348.78",[0.01380122],0.5950565877986478,[[0.3765582]]
"1282.37, 1292.87",[0.01480828],0.2689224589765482,[[0.44726703]]
"1282.37, 1302.81",[0.01529098],0.3702242377589053,[[0.33746211]]
"1282.37, 1322.62",[0.01683975],0.24487627155733782,[[0.28658543]]
"1282.37, 1325.62",[0.01387738],0.40789706318640573,[[0.15423828]]
"1282.62, 1289.87",[0.0073069],0.8886270378586075,[[0.61635124]]
"1282.62, 1290.87",[0.01758333],0.2529661249546442,[[0.29702977]]
"1282.62, 1291.87",[0.01236795],0.5062995063177724,[[0.53192704]]
"1282.62, 1292.87",[0.01371616],0.33951684121916426,[[0.52740056]]
"1282.62, 1295.37",[0.00774723],0.20968707360670935,[[0.14575802]]
"1282.62, 1295.81",[0.01271729],0.2537065678602921,[[0.37514845]]
"1282.62, 1297.37",[0.00888684],0.2571117579098038,[[0.07768211]]
"1282.62, 1297.84",[0.02386881],0.35972172408897557,[[0.18329311]]
"1282.62, 1301.37",[0.00777147],0.34149490505180613,[[0.06282135]]
"1282.62, 1301.87",[0.01462694],0.4282558619929667,[[0.33141886]]
"1282.62, 1302.81",[0.01534613],0.5315176438868044,[[0.28893613]]
"1282.62, 1303.87",[0.01347901],0.4639489534553282,[[0.31920577]]
"1282.62, 1304.87",[0.01495413],0.25737883661023164,[[0.39970171]]
"1282.62, 1305.87",[0.00903171],0.42217766438348336,[[0.35825251]]
"1282.62, 1312.72",[0.00929404],0.23808816773926433,[[0.24324769]]
"1282.62, 1314.87",[0.01488098],0.4503854061406631,[[0.27630712]]
"1282.62, 1319.8",[0.01557013],0.2260390196029528,[[0.34468262]]
"1282.62, 1320.8",[0.01126113],0.42386831571285594,[[0.4048865]]
"1282.62, 1321.82",[0.0113819],0.42506051401717015,[[0.47624583]]
"1282.62, 1324.72",[0.01490494],0.26536598642815046,[[0.19843791]]
"1282.62, 1331.76",[0.01298532],0.22475151439167185,[[0.25199267]]
"1282.62, 1332.81",[0.00630299],0.24812154954634058,[[0.36178176]]
"1282.62, 1333.77",[0.01962358],0.503364901510361,[[0.15019479]]
"1282.62, 1335.76",[0.0189329],0.2707166914677449,[[0.10017869]]
"1282.62, 1336.81",[0.01273464],0.6178611873188883,[[0.22794058]]
"1282.62, 1338.79",[0.01307002],0.3280738360870699,[[0.15929253]]
"1282.62, 1347.8",[0.01940993],0.28825056969677476,[[0.36613671]]
"1282.62, 1348.78",[0.01586371],0.8152631263404048,[[0.31847007]]
"1282.87, 1286.62",[0.02612133],0.31648318749206983,[[0.24400977]]
"1282.87, 1296.84",[0.003465],0.2351930384979306,[[1.1485831]]
"1282.87, 1297.37",[0.00691592],0.3871418441672689,[[0.2625407]]
"1282.87, 1298.86",[0.01238267],0.39622580752429915,[[1.0117485]]
"1282.87, 1307.37",[0.00977096],0.5184993333976426,[[0.18872863]]
"1282.87, 1307.62",[0.0217866],0.26599199607896484,[[0.32406388]]
"1282.87, 1309.62",[0.01592822],0.33740434015192433,[[0.69596679]]
"1282.87, 1310.62",[0.02145779],0.21624235238987344,[[0.20699554]]
"1282.87, 1318.62",[0.01842957],0.4566005400816993,[[0.44372592]]
"1282.87, 1319.62",[0.01628424],0.2997459347332284,[[0.47777183]]
"1282.87, 1320.62",[0.01936681],0.39607033055815155,[[0.45895066]]
"1282.87, 1320.8",[0.01826485],0.25526536807084443,[[0.38670908]]
"1282.87, 1323.84",[0.01275948],0.219501764677979,[[0.45091139]]
"1282.87, 1324.62",[0.01491257],0.24602489444787634,[[0.25307965]]
"1282.87, 1330.62",[0.01682752],0.2126481271000643,[[0.29395202]]
"1282.87, 1339.86",[0.01184735],0.38164005643590426,[[0.33699016]]
"1282.87, 1341.85",[0.01371896],0.3020762466966783,[[0.51649237]]
