,Intercept,Score,Coef
"1280.37, 1347.06",[0.0450347],0.23774802523013938,[[-0.26318546]]
"1280.62, 1287.87",[0.02008447],0.48736848318314185,[[0.21096224]]
"1280.62, 1289.87",[0.011629],0.642260602006638,[[0.58836936]]
"1280.62, 1290.87",[0.00982464],0.3762465547143583,[[0.55628906]]
"1280.62, 1291.87",[0.00238389],0.5179864958947088,[[0.77305886]]
"1280.62, 1292.87",[0.01969156],0.2816383803414876,[[0.23258848]]
"1280.62, 1293.87",[0.0057086],0.627218742733963,[[0.5987366]]
"1280.62, 1294.87",[0.01526371],0.5822033854811777,[[0.40641224]]
"1280.62, 1295.81",[0.01827678],0.41887146485161453,[[0.31014471]]
"1280.62, 1297.87",[0.01577696],0.48681914283439637,[[0.44055792]]
"1280.62, 1298.37",[0.01149921],0.3155253370906923,[[0.07278535]]
"1280.62, 1298.85",[0.02209557],0.2949728112760174,[[0.44059585]]
"1280.62, 1299.87",[0.02777715],0.3913566350394069,[[0.34640859]]
"1280.62, 1300.87",[0.01841988],0.5245711484401991,[[0.29571668]]
"1280.62, 1301.87",[0.02046722],0.3831539882794939,[[0.23179588]]
"1280.62, 1302.87",[0.02090175],0.3391817687380625,[[0.10038575]]
"1280.62, 1303.87",[0.01877633],0.3946524439537763,[[0.33271064]]
"1280.62, 1304.87",[0.01778191],0.36890589541519264,[[0.35339037]]
"1280.62, 1306.87",[0.01959485],0.5551717139690042,[[0.24302277]]
"1280.62, 1308.87",[0.00933615],0.7980261517470246,[[0.33673408]]
"1280.62, 1312.86",[0.02318128],0.4445826763263514,[[0.30469817]]
"1280.62, 1316.87",[0.01601464],0.2480850768791084,[[0.22588783]]
"1280.62, 1317.87",[0.03641449],0.3834717657997664,[[0.35493389]]
"1280.62, 1320.83",[0.0090078],0.22688776326655238,[[0.49163829]]
"1280.62, 1323.83",[0.01900782],0.3704431157949689,[[0.36827467]]
"1280.62, 1324.87",[0.02639889],0.2036120784730161,[[0.23290177]]
"1280.62, 1328.87",[0.01423945],0.5403274506632936,[[0.21817363]]
"1280.62, 1331.87",[0.02110058],0.3017871873783803,[[0.25741655]]
"1280.62, 1334.84",[0.01449918],0.6213730138881133,[[0.33604561]]
"1280.62, 1336.81",[0.01594269],0.5882575607394709,[[0.30880851]]
"1280.62, 1337.77",[0.00999728],0.8311543905998923,[[0.27469379]]
"1280.62, 1339.76",[0.01482313],0.30186567080299964,[[0.25473883]]
"1280.62, 1343.82",[0.02251669],0.5000964148115643,[[0.14690736]]
"1280.62, 1345.75",[0.01098416],0.5001307421555929,[[0.26910192]]
"1280.62, 1348.81",[0.01681448],0.36309751200228035,[[0.20725946]]
"1280.87, 1288.62",[0.02474683],0.2143263508571841,[[0.46699729]]
"1280.87, 1289.62",[0.02546707],0.3182011390109818,[[0.67069116]]
"1280.87, 1293.62",[0.02174809],0.21542654104467496,[[0.55447284]]
"1280.87, 1295.04",[0.00888602],0.36830877756540303,[[0.14772158]]
"1280.87, 1295.81",[0.01719185],0.22636079025986122,[[0.43654272]]
"1280.87, 1298.85",[0.02634882],0.36344645436479317,[[0.48407643]]
"1280.87, 1307.62",[0.0207023],0.21986577439001956,[[0.61762021]]
"1280.87, 1308.37",[0.01296569],0.3139239258679034,[[0.16443917]]
"1280.87, 1309.62",[0.02901677],0.37660278667377667,[[0.24731551]]
"1280.87, 1312.86",[0.02366477],0.40379483279119865,[[0.43509498]]
"1280.87, 1313.62",[0.02417],0.4636320390579655,[[0.49414062]]
"1280.87, 1327.62",[0.02544359],0.2166332310360647,[[0.39680245]]
"1280.87, 1328.62",[0.02245374],0.5219449060530849,[[0.26786292]]
"1280.87, 1329.62",[0.01732558],0.3158125773218027,[[0.46941799]]
"1280.87, 1330.62",[0.01348219],0.46390955265021855,[[0.4405756]]
"1280.87, 1335.83",[0.00443819],0.5574945193900349,[[0.88813708]]
"1280.87, 1342.77",[-0.00068156],0.5276139256228299,[[0.98947676]]
"1280.87, 1351.85",[0.02287886],0.6234395347352533,[[0.24516194]]
