,Intercept,Score,Coef
"1280.37, 1298.62",[0.03181838],0.23070539822550318,[[0.38421958]]
"1280.62, 1290.87",[0.0181015],0.25432865496892665,[[0.20493894]]
"1280.62, 1304.75",[0.01438194],0.2782900118821966,[[0.20631733]]
"1280.62, 1313.84",[0.01997343],0.4416283420806535,[[0.18772727]]
"1280.62, 1323.06",[0.04171512],0.2124154713299502,[[-0.11165403]]
"1280.62, 1324.81",[0.02701455],0.33366177071877245,[[0.21440805]]
"1280.62, 1337.77",[0.01505108],0.2286607495913351,[[0.12277374]]
"1280.87, 1300.62",[0.03086931],0.26519622991357916,[[0.30115965]]
"1280.87, 1301.37",[0.01121428],0.27816574734282595,[[0.14187715]]
"1280.87, 1306.85",[0.01697027],0.3939927651960959,[[0.30147088]]
"1280.87, 1316.77",[0.01469264],0.3671587916148571,[[0.22362837]]
"1280.87, 1320.83",[0.02705063],0.2855477759344768,[[0.20703621]]
"1280.87, 1328.85",[0.01697865],0.25984395001008054,[[0.24041821]]
"1280.87, 1340.32",[0.04546204],0.2788649310033404,[[0.33482755]]
"1281.37, 1321.62",[0.04682234],0.3090661994052733,[[0.58389401]]
"1281.62, 1286.37",[0.00508235],0.21561965049705134,[[0.17801983]]
"1281.62, 1292.87",[0.02406426],0.29333297226137645,[[0.12067528]]
"1281.62, 1297.84",[0.02852776],0.3871253168884741,[[0.15883082]]
"1281.62, 1306.85",[0.02358769],0.2069593349301131,[[0.06918933]]
"1281.62, 1307.8",[0.01120157],0.31376732996975865,[[0.23576257]]
"1281.62, 1318.87",[0.0190217],0.41893325105798546,[[0.25237302]]
"1281.62, 1321.81",[0.02456604],0.21920530681758654,[[0.1628132]]
"1281.62, 1337.77",[0.02059717],0.20767388026718558,[[0.03471238]]
"1281.62, 1338.74",[0.01660784],0.2996300076461118,[[0.06976528]]
"1281.87, 1296.81",[0.00844741],0.38846394932118766,[[0.80383434]]
"1281.87, 1297.84",[0.02333198],0.32259437891359743,[[0.59408594]]
"1281.87, 1299.86",[0.01093057],0.2353141588679626,[[1.09627406]]
"1281.87, 1307.8",[0.02016299],0.2567673949164384,[[0.12574286]]
"1281.87, 1313.84",[0.02057558],0.42250079027106,[[0.41950965]]
"1281.87, 1319.62",[0.02560394],0.2878627882554291,[[0.26074345]]
"1281.87, 1325.81",[0.02396738],0.3858718612905279,[[0.36990351]]
"1281.87, 1327.83",[0.00949704],0.5140460437946299,[[0.60881426]]
"1282.37, 1294.62",[0.02927408],0.4285081341066342,[[0.56838436]]
"1282.37, 1295.62",[0.02674782],0.20622039588246954,[[0.73400254]]
"1282.37, 1303.62",[0.02719746],0.28761343951987384,[[0.38403441]]
"1282.37, 1337.62",[0.04765245],0.22305933282579982,[[0.46339594]]
"1282.62, 1296.81",[0.02809722],0.20613294690549666,[[0.11901677]]
"1282.62, 1321.81",[0.02278596],0.29709636039995224,[[0.19867789]]
"1282.87, 1293.62",[0.02387811],0.23051686519126235,[[0.38172136]]
"1282.87, 1324.81",[0.03470871],0.24617029308264038,[[0.39631288]]
"1282.87, 1325.81",[0.01129215],0.5658535239986155,[[1.00301132]]
"1282.87, 1330.62",[0.01799846],0.2546647692969273,[[0.34647686]]
"1283.37, 1300.62",[0.03437308],0.20106223179288218,[[0.50229109]]
"1283.62, 1286.84",[0.0096748],0.2657915026055767,[[0.17269904]]
"1283.62, 1311.87",[0.01759168],0.29894526747705075,[[0.31022209]]
"1283.62, 1319.75",[0.01771595],0.22467483330653115,[[0.12474963]]
"1283.62, 1321.81",[0.02108811],0.36130401094795395,[[0.25323988]]
"1283.62, 1337.77",[0.01227011],0.34382244553116803,[[0.22178696]]
"1283.87, 1321.81",[0.01954967],0.2369400370184206,[[0.58700875]]
"1283.87, 1342.34",[0.0221978],0.23291545234690372,[[0.13795344]]
"1284.37, 1306.62",[0.02580412],0.2030193616685971,[[0.50598007]]
"1284.37, 1314.62",[0.0193643],0.25010357117953563,[[0.59014922]]
"1284.62, 1307.8",[0.01253762],0.23866418793614005,[[0.23205023]]
"1284.62, 1323.06",[0.04744468],0.21600513614469796,[[-0.16288328]]
"1284.87, 1324.81",[0.0308731],0.3709921809824487,[[0.50298226]]
"1284.87, 1327.83",[0.00904203],0.9047678763017593,[[0.66553541]]
"1285.36, 1292.62",[0.02894095],0.5535907566744513,[[1.15139289]]
"1285.36, 1297.84",[0.01616638],0.38168213664091377,[[1.91720482]]
"1285.36, 1315.87",[0.02520147],0.3709352385396847,[[0.34836693]]
"1285.62, 1294.87",[0.02021177],0.21374604114667006,[[0.20441488]]
"1285.62, 1296.81",[0.01237247],0.2900697357937594,[[0.43758002]]
"1285.62, 1303.43",[0.02040298],0.20183337303278925,[[0.14422788]]
"1285.62, 1308.37",[0.01066398],0.24039154894171755,[[0.15928658]]
"1285.62, 1320.46",[0.0161308],0.2474641110436381,[[1.10601035]]
"1285.62, 1324.81",[0.02313701],0.4036394519597921,[[0.40139509]]
"1285.62, 1339.73",[0.01678515],0.23950876948333322,[[0.092108]]
"1285.62, 1344.53",[0.02148392],0.23147680466770926,[[0.12877753]]
"1285.87, 1296.81",[0.02330948],0.21644460789641684,[[0.47858668]]
"1285.87, 1298.84",[-0.00790969],0.4106358547657102,[[2.03709196]]
"1285.87, 1299.86",[0.00270393],0.2072715605763427,[[1.35034389]]
"1285.87, 1324.81",[0.02582634],0.30981772683832565,[[0.56334193]]
"1285.87, 1327.83",[0.02591853],0.3643959585874599,[[0.27206108]]
"1286.09, 1296.62",[0.03194383],0.7677777580874208,[[1.12336682]]
"1286.09, 1320.46",[0.0431918],0.3669178463876578,[[1.8342725]]
