,Intercept,Score,Coef
"1299.02, 1316.24",[0.35360887],0.3067453477944241,[[-0.17419578]]
"1299.02, 1323.3",[0.15136899],0.256552495862287,[[-0.06186447]]
"1299.02, 1326.32",[0.46723831],0.28056463937043175,[[-0.28320784]]
"1300.02, 1316.24",[0.34931853],0.4947849325534211,[[-0.64362561]]
"1300.02, 1322.3",[0.17835472],0.3007712515964498,[[-0.37161049]]
"1300.02, 1323.3",[0.15653048],0.6372407971314018,[[-0.28648498]]
"1300.02, 1326.32",[0.45318382],0.5900781453048247,[[-0.94175222]]
"1316.24, 1322.3",[-0.01598887],0.6741600944182247,[[0.53688278]]
"1316.24, 1323.3",[-0.01564457],0.751399971225871,[[0.49264061]]
"1316.24, 1324.02",[0.34473732],0.32855896406143636,[[-0.73243162]]
"1316.24, 1326.32",[-0.0119283],0.781742771724373,[[1.31210828]]
"1316.24, 1347.02",[1.19818488],0.26638194684240624,[[-2.47516797]]
"1316.24, 1348.02",[0.3254159],0.2854538133948311,[[-0.6845914]]
"1322.3, 1326.32",[0.12990858],0.323988246319294,[[1.58010717]]
"1322.3, 1347.02",[0.927506],0.24466842259782284,[[-2.97240302]]
"1323.02, 1326.32",[0.46716953],0.3246737848210548,[[-0.2623955]]
"1323.3, 1326.32",[0.09118443],0.7604546224625025,[[2.1530484]]
"1323.3, 1348.02",[0.26364228],0.3503887475914309,[[-1.04875036]]
"1324.02, 1326.32",[0.45272285],0.4556274179925027,[[-0.82785134]]
"1326.32, 1348.02",[0.29950755],0.4047986287868283,[[-0.46829731]]
