,Intercept,Score,Coef
"1280.37, 1290.62",[0.03485943],0.23323025514106543,[[0.5110443]]
"1280.37, 1312.62",[0.02618068],0.22072530657979372,[[0.47187665]]
"1280.37, 1325.87",[0.02930991],0.46372702004158695,[[0.6489965]]
"1280.37, 1339.82",[0.01693764],0.26415878147973837,[[0.53153325]]
"1280.37, 1342.62",[0.01993671],0.24665211122502653,[[0.33952073]]
"1280.37, 1348.73",[0.01673115],0.26233144782420426,[[0.70944308]]
"1280.62, 1288.37",[0.00719713],0.25135667151294105,[[0.06855196]]
"1280.62, 1288.87",[0.01310054],0.2043795286055912,[[0.18042021]]
"1280.62, 1289.87",[0.01928518],0.5238256611148793,[[0.30715779]]
"1280.62, 1290.87",[0.0169852],0.20906171744018617,[[0.38120206]]
"1280.62, 1293.87",[0.01899554],0.3615009778787557,[[0.32011299]]
"1280.62, 1294.87",[0.0149226],0.46120666329630056,[[0.43256119]]
"1280.62, 1306.87",[0.01328754],0.3402106408313721,[[0.31579249]]
"1280.62, 1308.37",[0.0153912],0.21037616280977323,[[0.10123174]]
"1280.62, 1320.83",[0.01656371],0.28696872525010153,[[0.27484664]]
"1280.62, 1338.87",[0.01576063],0.4546694799992408,[[0.36997326]]
"1280.62, 1343.82",[0.01933599],0.2551269592320672,[[0.21640112]]
"1280.62, 1344.76",[0.01690734],0.4653212307042741,[[0.15419518]]
"1280.62, 1346.81",[0.02040564],0.5605683398140457,[[0.23398766]]
"1280.62, 1349.87",[0.01564784],0.208230314333833,[[0.27486977]]
"1280.87, 1284.12",[0.00291376],0.7133162419499841,[[0.1555689]]
"1280.87, 1314.62",[0.02605723],0.31377781188594966,[[0.20573141]]
"1281.07, 1302.62",[0.04584957],0.3466107275923069,[[1.299264]]
"1281.07, 1338.3",[0.03092984],0.21420244818859746,[[0.33468257]]
"1281.37, 1306.62",[0.03117918],0.3003024447757875,[[0.50737038]]
"1281.37, 1324.62",[0.02818906],0.22199256591958483,[[0.15296167]]
