,Intercept,Score,Coef
"1280.37, 1283.62",[0.03534975],0.23067349958569494,[[0.63142503]]
"1280.37, 1300.62",[0.03789247],0.3197385799047271,[[0.63586154]]
"1280.37, 1322.62",[0.0194681],0.521943524822821,[[1.02578272]]
"1280.62, 1291.87",[0.01943828],0.3156338939900396,[[0.22107188]]
"1280.62, 1293.87",[0.01371479],0.2244959334083898,[[0.39711963]]
"1280.62, 1306.87",[0.02156356],0.22256752136884483,[[0.18727737]]
"1280.62, 1321.81",[0.01983999],0.21256388575911833,[[0.22104432]]
"1280.62, 1338.77",[0.01843545],0.2505888591842178,[[0.1164881]]
"1280.62, 1341.85",[0.01934833],0.42993890534151824,[[0.37519353]]
"1280.87, 1292.62",[0.03474671],0.2582218205809781,[[0.21014019]]
"1280.87, 1331.29",[0.01430014],0.2344297388399078,[[0.10033985]]
"1280.87, 1342.33",[0.01908266],0.3878448843248679,[[0.17638273]]
"1281.37, 1337.85",[0.01996179],0.20424753304226861,[[0.37773296]]
"1281.62, 1300.37",[0.00882185],0.3847255598282895,[[0.13439422]]
"1281.62, 1302.87",[0.01789568],0.22515549699220627,[[0.30377845]]
"1281.62, 1322.81",[0.020002],0.4020420941367706,[[0.33381957]]
"1281.62, 1338.77",[0.01348958],0.4106636289782771,[[0.25492665]]
"1281.87, 1296.83",[-0.00023746],0.2504037081100461,[[1.04829196]]
"1281.87, 1311.62",[0.02327714],0.3225645307917988,[[0.21073821]]
"1281.87, 1311.81",[0.01693348],0.4717259197536211,[[0.3346609]]
"1281.87, 1312.62",[0.02136335],0.32683172648451075,[[0.15055278]]
"1281.87, 1319.62",[0.02037051],0.23995681120650136,[[0.1537283]]
"1281.87, 1347.06",[0.03769739],0.25737574593430224,[[-0.08897494]]
"1281.87, 1350.86",[0.01981252],0.35097502671980196,[[0.17741663]]
"1282.37, 1328.33",[0.0144478],0.26343802869103206,[[0.42689173]]
"1282.62, 1293.87",[0.02068356],0.420627603427148,[[0.33111256]]
"1282.62, 1319.83",[0.01942684],0.429234518037743,[[0.38836847]]
"1282.62, 1320.83",[0.01431348],0.21529852001323935,[[0.29179815]]
"1282.62, 1327.79",[0.01405961],0.34763064962403745,[[0.34278279]]
"1282.62, 1337.85",[0.02402617],0.20924789268643973,[[0.12143378]]
"1282.87, 1298.84",[-0.00659001],0.5778496386298343,[[1.78826285]]
"1282.87, 1325.86",[0.01498575],0.5607611575353397,[[0.61144399]]
"1282.87, 1326.83",[0.01370601],0.6686735989646246,[[0.33785103]]
"1282.87, 1327.79",[0.02478372],0.37681868525875706,[[0.09588672]]
"1282.87, 1341.85",[0.02359091],0.3862986360455226,[[0.28104173]]
"1283.37, 1295.85",[0.02809574],0.2864120887498941,[[0.44555585]]
"1283.62, 1289.37",[0.01162442],0.35739394307421746,[[0.137668]]
"1283.62, 1289.87",[0.01675678],0.24738428878650942,[[0.29223657]]
"1283.62, 1291.87",[0.01671731],0.3626563163838134,[[0.31767902]]
"1283.62, 1309.37",[0.00959797],0.23254102317602218,[[0.06296]]
"1283.62, 1314.87",[0.01749655],0.21977844130430613,[[0.25183984]]
"1283.62, 1320.83",[0.01218354],0.3639901346708302,[[0.3959694]]
"1283.62, 1326.83",[0.01473781],0.2159711394814009,[[0.23154571]]
"1283.62, 1327.79",[0.01462342],0.21223398579590735,[[0.15872609]]
"1283.62, 1331.84",[0.01579755],0.2832969220819208,[[0.1692874]]
"1283.62, 1332.76",[0.01422729],0.2819587718987382,[[0.1743836]]
"1283.62, 1337.85",[0.0173258],0.3670817356601478,[[0.17652376]]
"1283.62, 1339.74",[0.01886831],0.29374042004209633,[[0.12967142]]
"1283.87, 1295.85",[0.02537766],0.2578731065070352,[[0.34525194]]
"1283.87, 1298.37",[0.0072218],0.40116448958357365,[[0.13754934]]
"1283.87, 1298.62",[0.02976372],0.22810993102748844,[[0.28216075]]
"1283.87, 1305.62",[0.02388703],0.21382574114529518,[[0.43201745]]
"1283.87, 1307.62",[0.02716169],0.2514783566552692,[[0.47390349]]
"1283.87, 1309.62",[0.03229118],0.21080353239658423,[[0.3132546]]
"1283.87, 1311.62",[0.01971708],0.3544797722487498,[[0.57818219]]
"1283.87, 1324.85",[0.02254442],0.2976627868647427,[[0.75471687]]
"1283.87, 1327.79",[0.02029752],0.293148549659245,[[0.31388064]]
"1283.87, 1330.77",[0.01634043],0.23270174549113432,[[0.17432624]]
"1283.87, 1339.74",[0.02022959],0.32310120777556184,[[0.24746463]]
"1283.87, 1345.62",[0.02462896],0.25145376097504,[[0.14091215]]
"1284.37, 1326.62",[0.0245217],0.2560625727085042,[[0.55730564]]
"1284.62, 1291.87",[0.00872564],0.3319045254309664,[[0.49391984]]
"1284.62, 1296.37",[0.01067742],0.33872034444766375,[[0.20163047]]
"1284.62, 1320.83",[0.00464214],0.27829458301561516,[[0.52895585]]
"1284.62, 1332.76",[0.01105643],0.31452381110236605,[[0.23911238]]
"1284.62, 1343.8",[0.02711554],0.2090410188101971,[[0.10768863]]
"1284.87, 1296.83",[0.0105895],0.5034020200744804,[[0.93154402]]
"1284.87, 1298.84",[-0.01147614],0.4002106380274889,[[1.74993893]]
"1284.87, 1324.85",[0.01062329],0.7164991791033317,[[0.83616134]]
"1284.87, 1325.62",[0.01281635],0.6034150161812966,[[0.37599971]]
"1284.87, 1325.86",[0.01071788],0.41235769768381614,[[0.66924839]]
"1284.87, 1341.85",[0.02711447],0.4230787541821761,[[0.17921655]]
"1285.02, 1338.62",[0.01275508],0.24525762255182312,[[0.71049689]]
"1285.37, 1302.87",[0.02030113],0.23531345084743915,[[0.65304935]]
"1285.62, 1295.85",[0.02070291],0.426576193669887,[[0.26970762]]
"1285.62, 1309.37",[0.00729536],0.26226318264446047,[[0.14954399]]
"1285.62, 1331.84",[0.01874907],0.23715327450459978,[[0.12416234]]
"1285.62, 1337.52",[0.01464348],0.27426195452715374,[[0.54520489]]
"1285.62, 1348.78",[0.02123846],0.24416653912582398,[[0.21133789]]
"1285.87, 1324.85",[0.02029902],0.261080754352942,[[0.76795589]]
"1285.87, 1341.85",[0.02807835],0.2807834228440399,[[0.2423882]]
"1285.87, 1342.62",[0.01980391],0.25038377829556824,[[0.11784011]]
"1286.05, 1356.62",[0.01504326],0.37510927671272754,[[0.45231283]]
"1286.37, 1295.85",[0.02811233],0.20602430380415993,[[0.41287038]]
"1286.37, 1323.62",[0.02212388],0.22348619261304215,[[0.34975255]]
"1286.62, 1292.87",[0.01162862],0.487543024990742,[[0.4589795]]
"1286.62, 1295.85",[0.0184249],0.24320702077282028,[[0.38327975]]
"1286.62, 1300.87",[0.02091531],0.29465233045702055,[[0.29796354]]
"1286.62, 1319.83",[0.02085178],0.30329595684846633,[[0.29236377]]
"1286.62, 1320.83",[0.01270029],0.36721843397784765,[[0.3549104]]
"1286.62, 1322.81",[0.00934081],0.44875644787044533,[[0.56508949]]
"1286.62, 1327.79",[0.0164691],0.2550247401700775,[[0.24159432]]
"1286.62, 1330.77",[0.00994045],0.20850856975588003,[[0.22152315]]
"1286.62, 1338.77",[0.00879252],0.2898310531500431,[[0.30734659]]
"1286.62, 1342.84",[0.01777045],0.20152702126536148,[[0.15763074]]
"1286.87, 1296.62",[0.03762407],0.21198598704799676,[[0.25581799]]
"1286.87, 1297.84",[0.02644125],0.3609859985069379,[[0.70101884]]
"1286.87, 1304.62",[0.02593269],0.21065413813912948,[[0.68544153]]
"1286.87, 1314.62",[0.0181664],0.20481886067202415,[[0.46162478]]
"1286.87, 1324.85",[0.01504425],0.28510945224319373,[[1.16324736]]
"1286.87, 1327.79",[0.01928317],0.4618599660033579,[[0.36872015]]
"1286.87, 1333.03",[0.01749044],0.2948019103952999,[[0.30932307]]
"1286.87, 1347.85",[0.02371209],0.29342690749816147,[[0.25282145]]
"1287.37, 1291.87",[0.02773993],0.24399000813005056,[[0.23933934]]
"1287.37, 1295.85",[0.03032387],0.5275517284180052,[[0.5066698]]
"1287.37, 1315.62",[0.05254909],0.23658485168582677,[[1.03835888]]
"1287.62, 1291.87",[0.02098399],0.2265560836695476,[[0.28148687]]
"1287.62, 1292.87",[0.01610787],0.2625882194059047,[[0.38852065]]
"1287.62, 1294.87",[0.02391557],0.36576141445585675,[[0.3298776]]
"1287.62, 1302.87",[0.02182645],0.2371567523683843,[[0.29979092]]
"1287.62, 1321.81",[0.01970818],0.453632904611279,[[0.29446986]]
"1287.62, 1340.75",[0.01369245],0.4638359165563468,[[0.17710843]]
"1287.87, 1315.85",[0.02044871],0.2391387238918432,[[0.53460711]]
"1287.87, 1319.83",[0.01136185],0.4068362441665728,[[1.2417936]]
"1287.87, 1332.76",[0.01699986],0.24256179918877496,[[0.22533122]]
"1287.87, 1333.8",[0.00833032],0.27697743058204416,[[1.16177524]]
"1287.87, 1338.77",[0.02015829],0.21353297332988874,[[0.18887366]]
"1287.98, 1290.02",[0.00092851],0.8465436266053642,[[0.60063866]]
"1287.98, 1291.01",[-0.00049375],0.56904844368002,[[0.18840762]]
"1287.98, 1315.0",[0.00631158],0.5277186943769738,[[0.15468487]]
"1288.37, 1301.03",[0.02884715],0.3222528699965699,[[0.25545733]]
"1288.37, 1302.87",[0.02481035],0.22435537367752567,[[0.60356151]]
"1288.62, 1297.84",[0.03168022],0.36877238823124603,[[0.37684113]]
"1288.62, 1301.87",[0.01723575],0.47824710005773624,[[0.42104503]]
"1288.62, 1303.87",[0.01925193],0.23158185732328962,[[0.15771492]]
"1288.62, 1309.87",[0.01638532],0.2740795796142852,[[0.3169797]]
"1288.62, 1311.81",[0.02087644],0.2856119162834141,[[0.23242333]]
"1288.62, 1316.87",[0.01956166],0.22658542106054513,[[0.22345572]]
"1288.62, 1330.77",[0.00936804],0.37776150210849135,[[0.24573072]]
"1288.87, 1296.83",[0.01343217],0.3870937497405347,[[1.11375012]]
"1288.87, 1297.84",[0.01522658],0.6980185974388236,[[1.36104022]]
"1288.87, 1324.85",[0.01175186],0.22495236016671719,[[1.29193483]]
"1288.87, 1325.86",[0.01985212],0.5972484491360163,[[0.92272476]]
"1288.87, 1343.8",[0.02235779],0.2747122604021066,[[0.39268897]]
"1288.87, 1350.86",[0.0237075],0.2029738421301711,[[0.08660308]]
"1289.12, 1311.98",[0.00265496],0.8981562518752945,[[0.85509331]]
"1289.12, 1312.98",[0.00439808],0.7980924337313595,[[1.01429735]]
"1289.12, 1313.99",[-0.00114393],0.7742298969565781,[[0.57802611]]
"1289.12, 1315.0",[0.00586375],0.5813749824220713,[[0.13786041]]
"1289.12, 1335.98",[0.00574572],0.880636799048057,[[0.77176214]]
"1289.12, 1336.98",[0.00463358],0.9284955304019494,[[0.92841368]]
"1289.12, 1337.98",[0.00257123],0.9159921143473574,[[0.52503803]]
"1289.12, 1338.99",[0.00691772],0.633168363648241,[[0.12512354]]
"1289.12, 1359.98",[0.00088029],0.9016780959877828,[[0.37620764]]
"1289.62, 1307.87",[0.01834602],0.20912281931919097,[[0.1179539]]
"1289.62, 1313.87",[0.02445977],0.3279580017199617,[[0.1317107]]
"1289.62, 1320.83",[0.01302566],0.29368339470215665,[[0.24553677]]
"1289.62, 1323.87",[0.02039119],0.2808188803390327,[[0.16010483]]
"1289.87, 1298.62",[0.0260945],0.28704888768654924,[[0.30093016]]
"1289.87, 1315.85",[0.01524329],0.32162509278097906,[[0.42397423]]
"1289.87, 1331.84",[0.01726261],0.2155044108086649,[[0.20128043]]
"1289.87, 1333.8",[0.00709398],0.6914169792649127,[[0.5748903]]
"1289.87, 1343.8",[0.01587216],0.5958564093421663,[[0.38095873]]
"1290.02, 1311.98",[0.01253089],0.8432719220137551,[[1.48147573]]
"1290.02, 1312.98",[0.01052655],0.7529905428104956,[[1.79661112]]
"1290.02, 1313.99",[0.00608385],0.9404268958433866,[[0.93767487]]
"1290.02, 1315.0",[0.00531071],0.2186601232579818,[[0.26583018]]
"1290.02, 1335.98",[0.01162188],0.7348157252637952,[[1.36698034]]
"1290.02, 1336.98",[0.01466245],0.9031128937197023,[[1.54745832]]
"1290.02, 1337.98",[0.00738572],0.8436978847627319,[[0.88365764]]
"1290.02, 1338.99",[0.00385078],0.6054907673173733,[[0.28944083]]
"1290.02, 1359.98",[0.00324872],0.4831225099319484,[[0.68443669]]
"1290.62, 1295.85",[0.02097574],0.24927949888955195,[[0.30184638]]
"1290.62, 1302.87",[0.01999614],0.4442832045012385,[[0.29691663]]
"1290.62, 1304.87",[0.0224715],0.2503667730295144,[[0.19647175]]
"1290.62, 1319.37",[0.01329847],0.2591453134928212,[[0.14771073]]
"1290.62, 1319.83",[0.02149564],0.3584609026896024,[[0.26941062]]
"1290.62, 1320.83",[0.00819706],0.2414161384907687,[[0.5140741]]
"1290.62, 1332.76",[0.01127465],0.5192401197262411,[[0.31942012]]
"1290.62, 1339.74",[0.02261265],0.284687769930157,[[0.10564396]]
"1290.62, 1342.84",[0.01841223],0.36488295058943376,[[0.1506439]]
"1290.87, 1295.62",[0.03006039],0.205737144616973,[[0.13937466]]
"1290.87, 1295.85",[0.021216],0.3830207032052131,[[0.4033192]]
"1290.87, 1299.62",[0.04173104],0.22427442315444412,[[0.33305341]]
"1290.87, 1305.62",[0.02162775],0.2967174851182106,[[0.31504328]]
"1290.87, 1310.62",[0.0193082],0.5603246165168176,[[0.45385207]]
"1290.87, 1319.62",[0.02136618],0.26255259804480213,[[0.2300065]]
"1290.87, 1320.83",[0.00862307],0.4526585128463618,[[0.55598704]]
"1290.87, 1327.62",[0.02692528],0.21680363416900694,[[0.33421525]]
"1290.87, 1330.77",[0.01233631],0.2688546889726324,[[0.23192695]]
"1290.87, 1331.84",[0.01213286],0.6223899041564078,[[0.31538174]]
"1290.87, 1333.8",[0.00209755],0.31112705039752153,[[0.70328693]]
"1290.87, 1338.77",[0.01690221],0.438226617498961,[[0.21436054]]
"1290.87, 1343.8",[0.01172505],0.6266036539717013,[[0.47928313]]
"1290.87, 1356.62",[0.01518039],0.4805712988852666,[[0.14487872]]
"1291.01, 1295.12",[0.00842544],0.29950359326370435,[[0.56371211]]
"1291.01, 1311.98",[0.03751517],0.5006166489199452,[[3.65873361]]
"1291.01, 1312.98",[0.04743696],0.7879438303470692,[[4.10320128]]
"1291.01, 1313.99",[0.02453489],0.827770836294245,[[2.31514605]]
"1291.01, 1315.0",[0.01105821],0.6537340562656818,[[0.67735033]]
"1291.01, 1335.98",[0.03036851],0.4590390942557223,[[3.69216992]]
"1291.01, 1336.98",[0.03883882],0.7283744705032642,[[3.95261417]]
"1291.01, 1337.98",[0.02479017],0.3179901990503229,[[2.32740057]]
"1291.01, 1338.99",[0.00652822],0.8777012128888737,[[0.8585131]]
"1291.01, 1359.98",[0.01535365],0.3977638860807338,[[1.79469112]]
"1291.62, 1297.84",[0.03550078],0.2492902190206914,[[0.15154618]]
"1291.62, 1306.87",[0.02211768],0.5185786996356634,[[0.36619144]]
