Class,L0_330,L0_354
N1,0.08865840842028125,0.13980166320888546
O1,0.02154312206028385,0.04444211642030499
O1N1,0.02196835409290761,0.03138347169916995
O2,0.380049843583392,0.30694455376869234
O2N1,0.17511655894324737,0.18880413373440463
O3,0.10953011381674366,0.10241683399310408
O3N1,0.02396051361477991,0.031120596790970904
O4,0.12108102176992304,0.07370280586997206
O4N1,0.05809206369844133,0.08138382451449559
