Class,L2_402,L2_378,L2_354,L2_426,L2_orig,L2_450
N1Cl1,0.23064985303287347,0.1889817644547579,0.0978472497152554,0.20656854193580665,0.3900634703533009,0.2510580509025902
O1Cl1,0.01968832452786364,0.0312124675742968,0.030212905942359855,0.011703288530396466,0.26661490455011677,0.011755094580972432
O1N1,0.1977774785051602,0.0772149871117228,0.049967824302085316,0.16870807074045394,0.002540285619347284,0.05676987391577926
O2,0.2662602091690567,0.5523105256411132,0.7107799488976723,0.28275318846901754,0.3250324905412717,0.3319674280285577
O2N1,0.12136926846740369,0.05756261165508422,0.03844914486951796,0.12726984839618785,0.00227071229646322,0.09321358749405173
O3,0.0694016033439556,0.03908932894019291,0.03130205661624785,0.09466738435000825,0.003975658356252733,0.10013702342500126
O3N1,0.030749432846831327,0.009752229514521133,0.008052598087684326,0.029409991347599536,0.0011495823498381826,0.021338634320694817
O4,0.06410383010685541,0.043876085108311084,0.03338827156917705,0.07891968623052974,0.008352895933409177,0.13376030733235256
