Class,L8_402,L8_orig,L8_450,L8_378,L8_426,L8_354
N1Cl1,0.36723909964134943,0.27396054495884964,0.4456880755917809,0.602720335909919,0.3876536685975725,0.13928864404622732
O1Cl1,0.046002670770502324,0.03006655560862618,0.02982632613390293,0.22703690938789675,0.026372134511090967,0.027442599279165498
O1N1,0.2553771628972351,0.011697274723885058,0.0970147063569033,0.03407173493617334,0.20899346360511983,0.04312227202923553
O2,0.13745797446196176,0.5749011320380287,0.1800752432416588,0.0762539142862676,0.15462898183506094,0.7018081253591623
O2N1,0.10812933681222406,0.032544281838802556,0.09582877147389586,0.016708878683347868,0.11755151937958132,0.035307732049642
O3,0.03360429530897135,0.03086004223576921,0.0565752440433818,0.02139067013554609,0.041010514295846415,0.027994218517550438
O3N1,0.02493426108567631,0.003433710598091009,0.03175967131817437,0.004890603367461178,0.03125351380217647,0.005577389186088164
O4,0.02725519902207965,0.042536457997947606,0.06323196184030203,0.01692695329338818,0.03253620397355161,0.019459019532928813
