Class,L2_330
N1,0.04048933014081365
O1,0.015816079624301982
O1N1,0.011332849182668489
O2,0.2636705438724392
O2N1,0.023634152562010825
O3,0.044710027507439264
O3N1,0.01794267077845766
O4,0.15463685758433807
O4N1,0.42776748874753084
