Class,L5_330
N1,0.06592278095446572
O1,0.03446382424985255
O1N1,0.009484208712665365
O2,0.5412281272239544
O2N1,0.08686841640681763
O3,0.09222270077256685
O3N1,0.0037634776200504514
O4,0.08977559255260259
O4N1,0.07627087150702444
