Class,L5_330,L5_354,L5_378,L5_402,L5_426,L5_450
N1,0.06592278095446572,0.12810722222141688,0.19975931460512714,0.5268014839733859,0.25504243999463067,0.19105878056393874
O1,0.03446382424985255,0.06809773429564081,0.0823455331506716,0.10360414816920058,0.0360634574473831,0.014092328085029745
O1N1,0.009484208712665365,0.01373113865794078,0.01562730592505631,0.09310564329889968,0.010828019617692919,0.014605257467144606
O2,0.5412281272239544,0.35993575348890633,0.08888387154780601,0.059953106998463644,0.07446123138623953,0.07192042088205845
O2N1,0.08686841640681763,0.0940082686357889,0.1611172981793134,0.1316744013374819,0.30701192780349734,0.36232931108517025
O3,0.09222270077256685,0.09880215392410524,0.1343173692927264,0.03157569675275602,0.07900754132044133,0.06999886911588822
O3N1,0.0037634776200504514,0.0042024959322404885,0.008305797043423274,0.024152310280537197,0.010470305673029128,0.02349126424308681
O4,0.08977559255260259,0.049543467174465845,0.06562458887283462,0.012892569310493401,0.2250354317819799,0.24604907984791158
O4N1,0.07627087150702444,0.18357176566949476,0.24401892138304127,0.01624063987878167,0.0020796449751061,0.006454688709771599
