Class,L5_330,L5_354,L5_378,L5_402
N1,0.06592278095446572,0.12810722222141688,0.19975931460512714,0.5268014839733859
O1,0.03446382424985255,0.06809773429564081,0.0823455331506716,0.10360414816920058
O1N1,0.009484208712665365,0.01373113865794078,0.01562730592505631,0.09310564329889968
O2,0.5412281272239544,0.35993575348890633,0.08888387154780601,0.059953106998463644
O2N1,0.08686841640681763,0.0940082686357889,0.1611172981793134,0.1316744013374819
O3,0.09222270077256685,0.09880215392410524,0.1343173692927264,0.03157569675275602
O3N1,0.0037634776200504514,0.0042024959322404885,0.008305797043423274,0.024152310280537197
O4,0.08977559255260259,0.049543467174465845,0.06562458887283462,0.012892569310493401
O4N1,0.07627087150702444,0.18357176566949476,0.24401892138304127,0.01624063987878167
