Class,L2_330,L2_354,L2_378
N1,0.04048933014081365,0.05592740856766616,0.11229149572454254
O1,0.015816079624301982,0.015989511806006024,0.035724969581797356
O1N1,0.011332849182668489,0.02945979751581496,0.03720037457408057
O2,0.2636705438724392,0.4365015879758553,0.2808404908554548
O2N1,0.023634152562010825,0.1409952160107437,0.19325701027555633
O3,0.044710027507439264,0.09160491631341783,0.12897070116203854
O3N1,0.01794267077845766,0.03884356187058531,0.04012162275319026
O4,0.15463685758433807,0.16309543368711224,0.14902543017471187
O4N1,0.42776748874753084,0.027582566252798466,0.022567904898627728
