Class,L8_330,L8_354
N1,0.02056711665987544,0.08547240368177593
O1,0.00605578278224088,0.025678344367782758
O1N1,0.007862954715348579,0.027355366711072977
O2,0.38611405749945266,0.461891445813286
O2N1,0.12133912756069586,0.1471547316280312
O3,0.10014499640717019,0.09184193281581232
O3N1,0.02865130048453224,0.03472340494719673
O4,0.3041060041750152,0.09977814824993389
O4N1,0.02515865971566894,0.02610422178510816
