Class,L0_330,L0_354,L0_378,L0_402,L0_426
N1,0.08865840842028125,0.13980166320888546,0.11917177399527214,0.17824059412860938,0.11549066169501754
O1,0.02154312206028385,0.04444211642030499,0.026642305483088442,0.03562748978684149,0.012560547048253079
O1N1,0.02196835409290761,0.03138347169916995,0.018401491334017743,0.03699072416089352,0.022263509901904826
O2,0.380049843583392,0.30694455376869234,0.2594637466400428,0.13096407062654766,0.06924040183363951
O2N1,0.17511655894324737,0.18880413373440463,0.24467407860703674,0.2951577759795746,0.2709105697856818
O3,0.10953011381674366,0.10241683399310408,0.13050606539192103,0.11699778109369385,0.11211383111439992
O3N1,0.02396051361477991,0.031120596790970904,0.03478302163879885,0.05866040124702644,0.04830628836796971
O4,0.12108102176992304,0.07370280586997206,0.10231720098472694,0.0940378102571984,0.3296652967896066
O4N1,0.05809206369844133,0.08138382451449559,0.06404031592509533,0.05332335271961464,0.019448893463526993
