Class,L8_330,L8_354,L8_378,L8_402
N1,0.02056711665987544,0.08547240368177593,0.2820059745309165,0.4377379925503912
O1,0.00605578278224088,0.025678344367782758,0.11005309791213132,0.08349841767036548
O1N1,0.007862954715348579,0.027355366711072977,0.028829558416960912,0.08841453969483688
O2,0.38611405749945266,0.461891445813286,0.08369752930307917,0.061592774668990914
O2N1,0.12133912756069586,0.1471547316280312,0.1811369985522107,0.18733616554939575
O3,0.10014499640717019,0.09184193281581232,0.13277336262614498,0.052590019608530526
O3N1,0.02865130048453224,0.03472340494719673,0.01643924487752247,0.039537382191760735
O4,0.3041060041750152,0.09977814824993389,0.058749999750950695,0.025698881275774608
O4N1,0.02515865971566894,0.02610422178510816,0.10631423403008324,0.023593826789953896
