Class,L8_330
N1,0.02056711665987544
O1,0.00605578278224088
O1N1,0.007862954715348579
O2,0.38611405749945266
O2N1,0.12133912756069586
O3,0.10014499640717019
O3N1,0.02865130048453224
O4,0.3041060041750152
O4N1,0.02515865971566894
