Class,L5_330,L5_354
N1,0.06592278095446572,0.12810722222141688
O1,0.03446382424985255,0.06809773429564081
O1N1,0.009484208712665365,0.01373113865794078
O2,0.5412281272239544,0.35993575348890633
O2N1,0.08686841640681763,0.0940082686357889
O3,0.09222270077256685,0.09880215392410524
O3N1,0.0037634776200504514,0.0042024959322404885
O4,0.08977559255260259,0.049543467174465845
O4N1,0.07627087150702444,0.18357176566949476
