Class,L5_378,L5_354,L5_426,L5_450,L5_402,L5_orig
N1Cl1,0.5878684953112047,0.46056035392019296,0.5934880106947492,0.37823553813552246,0.37302839281264694,0.2842806363318883
O1Cl1,0.3357373777170009,0.2805145046855863,0.04079986306084811,0.021209213979446428,0.05795178009172495,0.1657034310675351
O1N1,0.009484717554617399,0.008812551464322983,0.05866105864951858,0.07303990953159528,0.2750857006152419,0.008897174205611192
O2,0.046542503111269666,0.22578848056590792,0.1845887390454778,0.267043001964783,0.13582531300909326,0.5039184567294388
O2N1,0.0066211637210858085,0.007270860064117757,0.04383788215703162,0.09290546693722991,0.0910766065704835,0.011299351846325698
O3,0.006612547307482897,0.00847983369339065,0.035885226084631766,0.06741648289356984,0.028786432323223587,0.013680283528805253
O3N1,0.0012934087965315636,0.000832313011509252,0.005016225604073118,0.02081459948284388,0.019841745858805212,0.0008752501966818889
O4,0.0058397864808071385,0.007741102594972207,0.037722994703669764,0.0793357870750092,0.01840402871878067,0.011345416093713675
