Class,L0_orig,L0_402,L0_450,L0_426,L0_354,L0_378
N1Cl1,0.4144422023040564,0.5452988853192873,0.446168357283241,0.6424987043686483,0.45753857966648087,0.5183429010560794
O1Cl1,0.11072175364908184,0.07350348262554786,0.021015618791127726,0.020230033066138783,0.14991259323290995,0.11926468565240889
O1N1,0.021797347646215784,0.05515754331954775,0.02572114966584176,0.04164786425370313,0.02983790511575922,0.019407694572957622
O2,0.3700665164388625,0.1685327697172396,0.24195699311962085,0.11215524537821384,0.28996907690006296,0.26087401687201517
O2N1,0.029076210773741052,0.0705841823257961,0.06132546053515525,0.07344053774006311,0.03193456664952391,0.03231299957867907
O3,0.02622969402542046,0.035360330040350274,0.08385769739029211,0.042903204419262514,0.019329472592250867,0.02281329045913507
O3N1,0.005112262561138547,0.01459173846933864,0.014067085380644948,0.014547509166145526,0.005029399947270884,0.005711846496140689
O4,0.022554012601483407,0.036971068182892516,0.10588763783407633,0.0525769016078248,0.01644840589574131,0.021272565312584073
