Class,L0_330
N1,0.08865840842028125
O1,0.02154312206028385
O1N1,0.02196835409290761
O2,0.380049843583392
O2N1,0.17511655894324737
O3,0.10953011381674366
O3N1,0.02396051361477991
O4,0.12108102176992304
O4N1,0.05809206369844133
