,Coef,Intercept,Score
"1287.98, 1311.97",[[0.92317475]],[0.00927961],0.6420880908444898
"1287.98, 1312.97",[[1.10780794]],[0.01029149],0.6869244026827594
"1287.98, 1335.97",[[0.91072413]],[0.006383],0.7362661601073752
"1289.98, 1311.97",[[1.39691627]],[0.01074736],0.7654325152725953
"1289.98, 1312.97",[[1.62649767]],[0.01680015],0.6177558906919978
"1289.98, 1336.97",[[1.68092278]],[0.00922489],0.6870345455903434
"1300.03, 1324.02",[[0.79358261]],[0.05942187],0.6913283073532124
"1300.03, 1347.02",[[2.64163559]],[0.27726287],0.758213910961163
"1300.03, 1348.02",[[0.82432294]],[0.04882899],0.7885019086566706
"1301.62, 1319.43",[[1.22609816]],[0.00769418],0.7161044594440903
"1312.22, 1317.25",[[1.0104332]],[0.04413156],0.6916346043690429
"1316.24, 1322.3",[[0.42897025]],[-0.00330185],0.7835573469336318
"1316.24, 1323.3",[[0.35178665]],[0.00728621],0.837319677928143
"1316.24, 1326.32",[[0.8324]],[0.01848201],0.8749930030500346
"1317.25, 1322.3",[[1.0925692]],[0.03065246],0.7554752471331281
"1317.25, 1326.32",[[2.22149385]],[0.07919156],0.7058913575272021
"1322.3, 1326.32",[[1.64250036]],[0.06081602],0.8677016955040688
"1322.3, 1327.32",[[0.41423068]],[0.0165072],0.6196635886809139
"1323.3, 1326.32",[[1.77885407]],[0.05868646],0.8653296178859372
"1323.3, 1327.32",[[0.46175436]],[0.01490949],0.6353932331639583
