,Coef,Intercept,Score
"1287.98, 1290.04",[[0.58770005]],[0.00189508],0.8548308744351216
"1287.98, 1312.97",[[1.13548588]],[0.00661788],0.8471097840904878
"1287.98, 1336.97",[[1.02426344]],[0.00997893],0.8081831745188972
"1287.98, 1359.97",[[0.47885295]],[-0.00193433],0.8147503028717296
"1289.03, 1311.98",[[0.80921561]],[0.00862051],0.8819075286436862
"1289.03, 1312.97",[[0.95220895]],[0.01109891],0.6814702586500421
"1289.03, 1313.98",[[0.54480906]],[0.00189209],0.7612573715695531
"1289.03, 1335.98",[[0.73265027]],[0.00969292],0.7957420510916084
"1289.03, 1336.97",[[0.86585391]],[0.01255061],0.8563291820064155
"1289.03, 1359.97",[[0.39552317]],[0.00034589],0.6421022229434594
"1289.62, 1308.87",[[0.19564942]],[0.0148781],0.7065850245443643
"1290.04, 1311.98",[[1.26553687]],[0.01428409],0.6976786831536028
"1290.04, 1335.98",[[1.16999422]],[0.01582246],0.8028197600884136
"1290.04, 1337.98",[[0.73583729]],[0.0127553],0.7641793182275736
"1291.01, 1336.97",[[2.65428957]],[0.04510112],0.6008487146861768
"1291.62, 1304.75",[[0.32238075]],[0.01393127],0.668487610032268
"1300.03, 1323.02",[[2.65155585]],[0.28313813],0.7996294541663227
"1300.03, 1324.02",[[0.86649493]],[0.05328234],0.7199281813478655
"1300.03, 1347.02",[[2.71796172]],[0.24874316],0.8357332118928946
"1300.03, 1348.02",[[0.90421774]],[0.03773584],0.8239218816475773
"1301.41, 1319.43",[[2.43325424]],[0.0340517],0.7473160544439965
"1301.41, 1320.46",[[1.38665037]],[0.00654933],0.76796710744688
"1303.43, 1321.62",[[1.2230103]],[0.03086926],0.6365322480071836
"1311.98, 1336.97",[[0.94793291]],[0.01114922],0.853442418763498
"1311.98, 1359.97",[[0.46744247]],[-0.00300537],0.7145283228790688
"1313.98, 1336.97",[[1.36288047]],[0.01824875],0.8181893539481376
"1313.98, 1359.97",[[0.66307478]],[0.0028518],0.6021009553097281
"1316.24, 1322.3",[[0.43599124]],[0.00452391],0.7258736803559471
"1316.24, 1323.3",[[0.40669267]],[0.00069321],0.7848470167558319
"1316.24, 1326.32",[[0.85966224]],[0.02604808],0.7948757380985905
"1320.46, 1337.62",[[0.33122689]],[0.01670746],0.6393550668188163
"1322.3, 1326.32",[[1.46784634]],[0.07948947],0.8408940682672157
"1323.3, 1326.32",[[1.67619912]],[0.08041617],0.6606258108430003
"1323.3, 1327.32",[[0.38620608]],[0.02300283],0.6421927382849906
"1335.98, 1359.97",[[0.49621278]],[-0.00137916],0.7748254049575546
