,Coef,Intercept,Score
"1282.87, 1326.83",[[0.33785103]],[0.01370601],0.6686735989646246
"1284.87, 1324.85",[[0.83616134]],[0.01062329],0.7164991791033317
"1284.87, 1325.62",[[0.37599971]],[0.01281635],0.6034150161812966
"1287.98, 1290.02",[[0.60063866]],[0.00092851],0.8465436266053642
"1288.87, 1297.84",[[1.36104022]],[0.01522658],0.6980185974388236
"1289.12, 1311.98",[[0.85509331]],[0.00265496],0.8981562518752945
"1289.12, 1312.98",[[1.01429735]],[0.00439808],0.7980924337313595
"1289.12, 1313.99",[[0.57802611]],[-0.00114393],0.7742298969565781
"1289.12, 1335.98",[[0.77176214]],[0.00574572],0.880636799048057
"1289.12, 1336.98",[[0.92841368]],[0.00463358],0.9284955304019494
"1289.12, 1337.98",[[0.52503803]],[0.00257123],0.9159921143473574
"1289.12, 1338.99",[[0.12512354]],[0.00691772],0.633168363648241
"1289.12, 1359.98",[[0.37620764]],[0.00088029],0.9016780959877828
"1290.02, 1311.98",[[1.48147573]],[0.01253089],0.8432719220137551
"1290.02, 1312.98",[[1.79661112]],[0.01052655],0.7529905428104956
"1290.02, 1313.99",[[0.93767487]],[0.00608385],0.9404268958433866
"1290.02, 1335.98",[[1.36698034]],[0.01162188],0.7348157252637952
"1290.02, 1336.98",[[1.54745832]],[0.01466245],0.9031128937197023
"1290.02, 1337.98",[[0.88365764]],[0.00738572],0.8436978847627319
"1290.02, 1338.99",[[0.28944083]],[0.00385078],0.6054907673173733
"1290.87, 1331.84",[[0.31538174]],[0.01213286],0.6223899041564078
"1290.87, 1343.8",[[0.47928313]],[0.01172505],0.6266036539717013
"1291.01, 1312.98",[[4.10320128]],[0.04743696],0.7879438303470692
"1291.01, 1313.99",[[2.31514605]],[0.02453489],0.827770836294245
"1291.01, 1315.0",[[0.67735033]],[0.01105821],0.6537340562656818
"1291.01, 1336.98",[[3.95261417]],[0.03883882],0.7283744705032642
"1296.83, 1310.87",[[0.59514642]],[0.00665046],0.6863645476681639
"1296.83, 1311.81",[[0.35143377]],[0.01369347],0.7771719619560381
"1296.83, 1324.85",[[0.72295749]],[0.01412417],0.8905371109683327
"1296.83, 1325.86",[[0.72332345]],[0.00722873],0.6157985617359096
"1298.84, 1311.81",[[0.26220141]],[0.01372798],0.7984756755948282
"1298.84, 1312.87",[[0.27117042]],[0.01854867],0.7938687641280111
"1298.84, 1325.86",[[0.51893139]],[0.009106],0.9111233351601413
"1298.84, 1326.83",[[0.22540404]],[0.01676889],0.7430743300040565
"1299.02, 1323.06",[[0.05572139]],[-0.00287223],0.7909384412807287
"1299.02, 1347.06",[[0.0548417]],[-0.00335854],0.8248978575354745
"1299.07, 1323.02",[[15.37671854]],[0.26205768],0.723256183760204
"1299.07, 1324.02",[[4.67761604]],[0.05601708],0.6658409949478572
"1299.07, 1347.02",[[15.20614067]],[0.25513506],0.638384603927763
"1299.07, 1348.03",[[4.83251756]],[0.0523723],0.6729262370275565
"1299.87, 1324.85",[[0.76800973]],[0.00762226],0.7181263859849024
"1299.87, 1325.86",[[0.65981387]],[0.00731348],0.8154102398505052
"1299.87, 1341.85",[[0.31005622]],[0.01620625],0.7457692582369541
"1300.02, 1323.06",[[0.17639553]],[0.00311011],0.8517214670514394
"1300.02, 1347.06",[[0.17900426]],[0.00111779],0.7525890290304516
"1300.87, 1325.62",[[0.50637883]],[0.01562517],0.7277922748239829
"1300.87, 1326.83",[[0.39616193]],[0.01289872],0.7672787100080508
"1301.62, 1319.43",[[1.02013293]],[0.03184137],0.6358913183938085
"1304.87, 1312.62",[[0.53596069]],[0.01807922],0.6585213192970221
"1304.87, 1318.62",[[0.8212329]],[0.01525958],0.616958572696217
"1304.87, 1322.62",[[0.52360908]],[0.02456879],0.6433804613076266
"1304.87, 1325.62",[[0.28927264]],[0.01955772],0.7193500254820042
"1310.87, 1324.85",[[0.99040794]],[0.02025046],0.7231714490771143
"1313.99, 1335.98",[[1.2978741]],[0.00988233],0.8465252908753678
"1313.99, 1336.98",[[1.50827297]],[0.01134109],0.8706238078488758
"1313.99, 1337.98",[[0.85391465]],[0.0053809],0.8371330048271424
"1314.27, 1323.3",[[3.02235714]],[0.02894998],0.6346677016409537
"1314.27, 1326.32",[[6.49091712]],[0.09342167],0.6981620432387742
"1315.28, 1323.3",[[2.38556977]],[0.06080958],0.6340891084878602
"1316.24, 1322.3",[[0.47438354]],[2.58929874e-05],0.8286550664986223
"1316.24, 1323.3",[[0.41593027]],[0.00196452],0.7739726018711165
"1316.24, 1324.35",[[0.12087921]],[0.00184587],0.7818430864411464
"1316.24, 1326.32",[[0.95323525]],[0.01845941],0.8522895370311439
"1316.24, 1327.33",[[0.27434151]],[-0.0050968],0.6331833781284261
"1317.25, 1323.3",[[1.1028277]],[0.04042762],0.7077755087923765
"1319.43, 1337.52",[[0.14947628]],[0.01130116],0.6136107919657976
"1320.37, 1324.27",[[0.30739335]],[0.02328344],0.6986495993599571
"1320.62, 1337.52",[[0.29571203]],[-0.00104581],0.6306837457964953
"1322.3, 1324.35",[[0.19678354]],[0.00926337],0.6739521672329067
"1322.3, 1326.32",[[1.65991099]],[0.06842466],0.8076913934121761
"1322.3, 1327.33",[[0.46094938]],[0.01207656],0.7601543814046389
"1323.02, 1346.97",[[0.04589539]],[0.00110312],0.7472364753778267
"1323.02, 1347.06",[[0.05048542]],[-0.00325045],0.7834988863669601
"1323.06, 1347.02",[[12.07838273]],[0.30781111],0.7141175283748844
