,Coef,Intercept,Score
"1284.62, 1291.87",[[0.78960533]],[-0.00208945],0.7728506793642722
"1287.98, 1311.97",[[0.97469408]],[0.0049472],0.7747840752568234
"1287.98, 1312.97",[[1.11200421]],[0.00522219],0.6818261991943992
"1287.98, 1336.97",[[1.06698724]],[0.00747651],0.8798372032309517
"1288.98, 1311.97",[[0.87606927]],[0.00467735],0.8655964459255903
"1288.98, 1312.97",[[0.98181009]],[0.00827903],0.6601578980720999
"1288.98, 1335.97",[[0.70892396]],[0.01195206],0.8624377343060248
"1288.98, 1336.97",[[0.96182823]],[0.00548474],0.8138434466909292
"1312.21, 1322.3",[[2.83744145]],[0.05791231],0.6911783416727445
"1312.21, 1323.3",[[2.56854167]],[0.05209998],0.7265532912382088
"1312.21, 1327.34",[[1.66255219]],[0.06183162],0.6597374400790608
"1313.23, 1320.29",[[0.84992057]],[0.02117553],0.621510844302515
"1313.23, 1322.3",[[2.42279281]],[0.10310473],0.6797657828666768
"1313.23, 1326.32",[[5.03061132]],[0.33196662],0.6785530028214237
"1316.24, 1322.3",[[0.51555431]],[-0.00938676],0.880781117247828
"1316.24, 1323.3",[[0.45130089]],[-0.00274089],0.8600071352126549
"1316.24, 1326.32",[[1.19228834]],[0.01707785],0.9390310317985149
"1316.24, 1327.34",[[0.34905279]],[-0.00794795],0.7706891115590055
"1316.24, 1332.21",[[0.21096697]],[-0.01914939],0.6443996147844566
"1316.24, 1340.32",[[0.14677296]],[0.01775565],0.6131429581669963
"1317.25, 1322.3",[[1.47613487]],[0.02873868],0.6703572888968511
"1317.25, 1323.3",[[1.32269558]],[0.0292318],0.6392741663127733
"1317.25, 1326.32",[[3.45615107]],[0.11157752],0.7818409398155215
"1317.25, 1327.34",[[0.98442694]],[0.01880453],0.7946493575030801
"1317.25, 1332.21",[[0.56725615]],[0.00564402],0.7245383719230261
"1322.3, 1326.32",[[2.11277278]],[0.09573934],0.8954273771484234
"1322.3, 1327.34",[[0.59796249]],[0.02060485],0.6433788465246951
"1323.3, 1326.32",[[2.26413325]],[0.11299784],0.8583388076512921
"1324.03, 1347.02",[[2.40589997]],[0.26283434],0.8307856750263694
"1324.03, 1348.02",[[0.77729569]],[0.04676601],0.7466501730661521
"1326.32, 1332.21",[[0.1697701]],[-0.01846829],0.742014457123185
"1326.32, 1342.29",[[0.19854907]],[-0.00868896],0.6397444684275033
"1327.34, 1332.21",[[0.55500269]],[-0.00547812],0.6705632530983608
"1327.34, 1342.29",[[0.7472553]],[-0.00982156],0.7477687520175665
"1332.21, 1342.29",[[1.08574715]],[0.02416061],0.8983454416307834
