m/z,R00X150Y045,R00X096Y046,R00X134Y047,R00X226Y047,R00X094Y048,R00X120Y048,R00X169Y048,R00X190Y048,R00X225Y048,R00X231Y048,R00X263Y049,R00X278Y049,R00X171Y050,R00X223Y050,R00X264Y050,R00X276Y050,R00X284Y050,R00X299Y050,R00X088Y052,R00X278Y052,R00X293Y052,R00X186Y053,R00X266Y053,R00X300Y053,R00X224Y054,R00X273Y054,R00X291Y054,R00X171Y055,R00X143Y056,R00X224Y056,R00X080Y057,R00X154Y057,R00X261Y057,R00X266Y057,R00X273Y057,R00X289Y057,R00X131Y058,R00X142Y058,R00X152Y058,R00X272Y058,R00X080Y059,R00X117Y059,R00X205Y059,R00X269Y059,R00X270Y059,R00X292Y059,R00X186Y060,R00X288Y060,R00X289Y060,R00X079Y061,R00X193Y061,R00X233Y061,R00X269Y061,R00X276Y061,R00X288Y061,R00X128Y062,R00X212Y062,R00X277Y063,R00X157Y064,R00X199Y064,R00X229Y064,R00X269Y064,R00X279Y064,R00X143Y065,R00X153Y065,R00X186Y065,R00X206Y065,R00X213Y065,R00X267Y065,R00X282Y065,R00X069Y066,R00X077Y066,R00X115Y066,R00X299Y066,R00X077Y067,R00X137Y067,R00X165Y067,R00X167Y067,R00X260Y067,R00X190Y068,R00X242Y068,R00X267Y068,R00X253Y070,R00X281Y070,R00X066Y072,R00X072Y072,R00X220Y072,R00X270Y072,R00X281Y072,R00X068Y073,R00X222Y073,R00X210Y075,R00X226Y075,R00X249Y075,R00X170Y076,R00X196Y076,R00X225Y076,R00X284Y076,R00X295Y076,R00X152Y077,R00X181Y077,R00X196Y077,R00X202Y077,R00X203Y079,R00X212Y079,R00X255Y079,R00X154Y080,R00X202Y080,R00X275Y080,R00X277Y080,R00X128Y081,R00X177Y081,R00X292Y081,R00X132Y083,R00X276Y083,R00X273Y084,R00X292Y084,R00X157Y085,R00X160Y085,R00X219Y085,R00X210Y086,R00X220Y086,R00X246Y087,R00X254Y087,R00X268Y087,R00X283Y087,R00X253Y089,R00X268Y089,R00X247Y090,R00X253Y090,R00X258Y090
1300.8,0.0,0.0,0.0,0.0,0.0,0.0,435140.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613580.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295018.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434221.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545302.1875,0.0,483712.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428136.46875,0.0,0.0,0.0,0.0,456332.09375,0.0,0.0,0.0,0.0,0.0,0.0,744184.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540692.75,890191.875,0.0,0.0,0.0,0.0,24932113.75,0.0,0.0,0.0,0.0,0.0,29283604.0,0.0,585779.875,343250.875,0.0,0.0,836210.875,0.0,805186.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814094.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706179.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592915.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371600.03125,432322.46875,0.0,0.0
1300.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617019.4375,0.0,0.0,0.0,0.0,0.0,0.0,429041.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509733.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531755.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604392.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300.96,0.0,0.0,438626.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581188.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271152.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575117.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306829.3125,0.0,0.0,0.0
1301.03,830368.4375,0.0,1447600.875,457590.65625,861765.3125,1314161.375,1112736.625,571371.3125,3404074.5,1814745.375,0.0,739242.9375,0.0,0.0,5270814.0,1087711.875,13474686.0,0.0,2007549.875,861396.6875,703015.0625,1165441.5,0.0,1167237.125,2032756.875,0.0,1606316.375,0.0,1748593.125,3746144.75,0.0,1820247.375,1501946.25,0.0,1492300.125,1044611.8125,0.0,1138996.5,595440.0,649942.125,2245342.75,7513279.5,0.0,2661153.75,1340898.125,1071344.25,2023435.625,0.0,1584284.75,541684.25,1804066.5,2387472.25,1712354.75,1854316.375,0.0,0.0,0.0,1577622.875,565050.375,1093886.5,445644.8125,1511260.75,6035103.5,0.0,1421266.625,0.0,0.0,537172.9375,583089.75,8218800.0,0.0,0.0,501315.25,452269.34375,681558.875,1893940.375,2558938.75,353833.46875,540334.0625,537551.375,4175387.0,975331.75,0.0,1256541.875,1071356.0,0.0,512604.75,1079007.875,7842845.0,0.0,1757637.5,490221.0,563345.375,1593736.75,0.0,2056291.75,1191773.625,958279.625,2431839.5,1006423.375,3217983.25,0.0,695926.0,0.0,800597.25,1159818.5,0.0,739535.6875,9554762.0,2725278.25,658664.75,303678.34375,810512.625,2690147.75,769700.25,828701.6875,1038656.25,0.0,1018019.625,0.0,985498.625,694296.5,11790402.0,1712361.5,1492251.5,0.0,2258785.75,687688.5,506810.59375,1339094.75,0.0
1301.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507431.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548234.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1301.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381663.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596863.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286142.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604777.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373007.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1301.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565971.25,0.0,739898.5625,0.0,0.0,0.0,0.0,0.0,900914.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708310.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,948596.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672247.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317045.90625,0.0,0.0,555294.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380209.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362350.09375,0.0,0.0,0.0,604272.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
