,Coef,Intercept,Score
"1280.62, 1289.87",[[0.55514932]],[0.01393069],0.6075159198957243
"1280.62, 1293.87",[[0.59415331]],[0.0066179],0.6295022592769495
"1280.62, 1294.87",[[0.47106105]],[0.01333382],0.6269838673860444
"1280.62, 1308.87",[[0.35443708]],[0.00911341],0.7882827095255893
"1280.62, 1334.84",[[0.39181532]],[0.01237015],0.6153496762819493
"1280.62, 1337.77",[[0.25749928]],[0.01198676],0.8505821371878584
"1280.87, 1335.83",[[0.77666764]],[0.00927037],0.7527065884438258
"1280.87, 1351.85",[[0.23743841]],[0.02529041],0.6633453741380134
"1281.62, 1289.87",[[0.41490785]],[0.02263287],0.667873311534465
"1281.62, 1291.87",[[0.54250482]],[0.0130194],0.7288480827550983
"1281.62, 1301.87",[[0.33750195]],[0.02169279],0.7399706730333954
"1281.62, 1319.8",[[0.35564252]],[0.01641015],0.6519885546616104
"1281.62, 1334.84",[[0.42186074]],[0.00853587],0.8061363367658718
"1281.62, 1348.81",[[0.25598119]],[0.0216351],0.7686369334713868
"1282.62, 1290.87",[[0.64801611]],[0.00789657],0.8591781900345377
"1282.62, 1291.87",[[0.47267065]],[0.01807685],0.6440315662506314
"1282.62, 1325.87",[[0.39983272]],[0.03067412],0.6328735094005843
"1282.62, 1334.84",[[0.47096568]],[0.00876257],0.7346411702946153
"1282.62, 1348.81",[[0.23094119]],[0.0215214],0.6255297109221218
"1282.87, 1321.62",[[0.96472658]],[0.02649051],0.6452551477749826
"1282.87, 1326.62",[[0.35239457]],[0.01526088],0.6411866489728912
"1282.87, 1334.62",[[0.55573295]],[0.0147642],0.6387859142283545
"1282.87, 1335.62",[[0.33325513]],[0.0219103],0.6728427692183043
"1283.62, 1291.87",[[0.52586525]],[0.01335932],0.6880520167616437
"1283.62, 1301.87",[[0.34895222]],[0.01668169],0.7187716099335123
"1283.62, 1308.87",[[0.3269664]],[0.0071684],0.7199029123101812
"1283.62, 1316.87",[[0.46055078]],[0.0046315],0.7409142735655035
"1283.62, 1327.87",[[0.39179202]],[0.01102664],0.6277067420767528
"1283.62, 1335.83",[[0.36152194]],[0.01310539],0.6798216886670883
"1283.62, 1348.81",[[0.20274519]],[0.02091991],0.6582617334017682
"1283.62, 1351.85",[[0.18360617]],[0.0210341],0.6201632857946925
"1284.62, 1303.87",[[0.67731583]],[0.00292258],0.7996048039337833
"1284.62, 1307.87",[[0.23306769]],[0.01963777],0.6953292408025347
"1284.62, 1325.87",[[0.3530407]],[0.02500774],0.6933887165201537
