,Coef,Intercept,Score
"1280.87, 1292.83",[[0.78311294]],[0.00776487],0.608973627630607
"1281.62, 1295.77",[[0.50452652]],[0.01203264],0.6850075491711429
"1281.87, 1297.84",[[0.70634906]],[0.02386291],0.7653645354179588
"1283.62, 1288.87",[[0.25005876]],[0.02610905],0.6844571599039528
"1283.62, 1296.53",[[0.2898872]],[0.01886408],0.6959912375981105
"1286.62, 1296.53",[[0.55535328]],[0.01540481],0.7429014764057217
"1287.98, 1311.97",[[0.95471242]],[0.0054123],0.6126253279467194
"1287.98, 1335.97",[[0.91010412]],[0.00817621],0.8660819435831882
"1289.0, 1312.99",[[0.89828581]],[0.00965631],0.8073838186191866
"1289.0, 1335.97",[[0.71744579]],[0.01527412],0.8722239960997374
"1289.0, 1336.98",[[0.82232087]],[0.01498567],0.7579962407247604
"1289.98, 1311.97",[[1.30083181]],[0.0185475],0.828357411354213
"1289.98, 1335.97",[[1.19815586]],[0.01998177],0.8395177994271324
"1291.62, 1296.53",[[0.54753829]],[0.01358993],0.6332100588339598
"1293.62, 1296.53",[[0.47391274]],[0.01371851],0.6488670213433583
"1293.84, 1315.62",[[0.79730437]],[0.02907281],0.6669689790248952
"1300.03, 1323.02",[[2.98748995]],[0.21353738],0.6399434814347059
"1300.03, 1324.06",[[0.89467891]],[0.03464724],0.6231527791154032
"1300.03, 1347.02",[[2.90951363]],[0.21769394],0.7295480631750066
"1300.03, 1348.02",[[0.93111741]],[0.03295615],0.648863525759607
"1312.22, 1322.3",[[2.43369597]],[0.08281069],0.7081938829445378
"1312.22, 1327.33",[[1.60261774]],[0.06372099],0.7088981869369027
"1312.99, 1335.97",[[0.75222959]],[0.00785799],0.9179278456071388
"1312.99, 1336.98",[[0.87438243]],[0.00655727],0.8606170186821788
"1312.99, 1337.98",[[0.49350792]],[0.00547327],0.6115080875593495
"1313.22, 1316.24",[[4.77190868]],[0.21773021],0.6055031174931644
"1313.22, 1322.3",[[2.51677984]],[0.09515889],0.6758397829932998
"1316.24, 1322.3",[[0.50845751]],[-0.00541856],0.7001097527229694
"1316.24, 1323.31",[[0.43821235]],[-0.00271878],0.83304780048253
"1316.24, 1326.33",[[1.17515288]],[0.02038786],0.9612049756337316
"1316.24, 1327.33",[[0.35831451]],[-0.01365513],0.8382016162518158
"1316.24, 1341.32",[[0.69567775]],[-0.03174275],0.6557169321567862
"1317.25, 1320.29",[[0.45913884]],[0.01074522],0.6420524825993297
"1317.25, 1321.29",[[0.45306354]],[0.00878677],0.6773768472578083
"1317.25, 1322.3",[[1.55799185]],[0.03335969],0.798928627311291
"1317.25, 1326.33",[[3.50798188]],[0.13832652],0.8416301901183333
"1317.25, 1327.33",[[1.10505732]],[0.00976887],0.8243584096944655
"1317.25, 1341.32",[[2.07253441]],[0.03458915],0.757684495129352
"1320.29, 1323.31",[[2.04724719]],[0.07696925],0.6005619238406363
"1321.29, 1323.31",[[2.02591682]],[0.09342111],0.7583072744346981
"1322.3, 1326.33",[[2.10536533]],[0.08438319],0.7615921876028546
"1322.3, 1327.33",[[0.63880871]],[0.0073071],0.8416495488958092
"1322.3, 1341.32",[[1.23688412]],[0.00463923],0.7151435102695904
"1323.31, 1326.33",[[2.23453615]],[0.13060637],0.8047885360002486
"1323.31, 1327.33",[[0.71741839]],[0.00972591],0.6798293998655758
"1324.06, 1348.02",[[0.88416172]],[0.02711897],0.683411519937843
"1326.33, 1338.3",[[0.1202556]],[-0.00364764],0.6030256841142421
"1326.33, 1341.32",[[0.5676276]],[-0.03457359],0.6837085304789975
"1326.33, 1342.29",[[0.19540168]],[-0.01180929],0.6655515913805636
"1327.33, 1332.21",[[0.53670024]],[0.00193677],0.7018557020358738
"1327.33, 1341.32",[[1.73829877]],[0.03704559],0.7824288496436071
"1327.33, 1342.29",[[0.6525562]],[-0.0029879],0.6477934060391191
"1332.21, 1338.3",[[0.55385439]],[0.02774966],0.6610256770354483
"1332.21, 1341.32",[[2.63062187]],[0.09990408],0.7063283184819685
"1332.21, 1342.29",[[0.99273485]],[0.01738418],0.8170153790144861
"1338.3, 1341.32",[[2.79236102]],[0.14751867],0.6264255577983062
