,Coef,Intercept,Score
"1315.19, 1320.29",[[1.14877875]],[0.01116432],0.6191750888699117
"1315.19, 1327.33",[[2.00016927]],[0.01933347],0.6269135178444913
"1316.24, 1322.3",[[0.42984679]],[0.0091952],0.7787760439477645
"1316.24, 1323.31",[[0.38230609]],[0.00692159],0.7570739737890232
"1316.24, 1326.37",[[0.94711256]],[0.01958181],0.7770637733226452
"1316.24, 1340.37",[[0.5774131]],[0.00372028],0.6310329669634871
"1316.24, 1341.32",[[0.53097459]],[0.00113833],0.7044673953659664
"1317.37, 1327.33",[[0.61268698]],[0.02281439],0.6287294967238404
"1322.3, 1326.37",[[1.72811345]],[0.06475507],0.8287126181001307
"1322.3, 1340.37",[[1.04887265]],[0.03582272],0.6346409508411766
"1322.3, 1341.32",[[0.99545996]],[0.02335815],0.650534982459591
"1322.97, 1347.02",[[11.89118344]],[0.33966082],0.6222461146596348
"1322.97, 1348.02",[[3.45429363]],[0.09045662],0.6544846379448148
"1323.31, 1326.37",[[1.91947672]],[0.07058267],0.7747815610442862
"1323.31, 1340.37",[[1.24565229]],[0.02583929],0.7120195595445924
"1326.37, 1341.32",[[0.53741783]],[-0.00405238],0.768523600880282
"1327.33, 1340.37",[[1.59851717]],[0.06425982],0.6760394072382401
"1335.98, 1359.97",[[0.5259219]],[-0.00181118],0.831626353069
"1336.98, 1359.97",[[0.45455327]],[-0.00464085],0.8413903111824369
"1337.98, 1359.97",[[0.74578073]],[0.002428],0.8681718976778292
