,Coef,Intercept,Score
"1280.87, 1298.37",[[0.15323029]],[0.01328454],0.6577083414157964
"1280.87, 1303.37",[[0.13610991]],[0.01119268],0.7003692982916752
"1281.62, 1346.81",[[0.39834215]],[0.02110092],0.6452801839390017
"1282.87, 1288.37",[[0.50310186]],[-0.00081313],0.6412678957220274
"1282.87, 1297.84",[[0.94165586]],[0.01696877],0.8244381162184963
"1282.87, 1340.84",[[0.48735202]],[0.02485258],0.8488214962451273
"1283.37, 1296.84",[[0.75588683]],[0.03434078],0.7584584936526884
"1283.62, 1290.87",[[0.43378805]],[0.01861031],0.6136634066552974
"1283.62, 1347.74",[[0.34116905]],[0.01822437],0.6379650149992385
"1284.62, 1342.77",[[0.4313772]],[0.00413093],0.601901418687272
"1284.87, 1297.84",[[0.95091277]],[0.01141214],0.7254274552658888
"1284.87, 1298.86",[[1.31977076]],[0.00319323],0.8036695814110936
"1284.87, 1314.83",[[0.51711829]],[0.01741495],0.6540772719130301
"1284.87, 1337.77",[[0.32485735]],[0.02838544],0.6256772580211174
"1284.87, 1340.84",[[0.47085694]],[0.02502063],0.7211820046353901
"1285.62, 1347.74",[[0.34804653]],[0.02072553],0.6413903709285198
"1285.87, 1298.86",[[1.03147034]],[0.01895738],0.6159289609152809
"1286.62, 1340.84",[[0.43259556]],[0.02691008],0.7034046326395123
"1286.62, 1346.81",[[0.39365891]],[0.03305358],0.6575246299845807
"1286.62, 1348.82",[[0.37907177]],[0.02949556],0.6555022342938881
"1287.62, 1304.87",[[0.44733511]],[0.0211198],0.6201306645276037
"1287.62, 1348.82",[[0.30333478]],[0.0265839],0.6053348844567497
"1287.87, 1308.62",[[0.49096972]],[0.04809625],0.6245808378597961
"1288.04, 1311.97",[[0.73367574]],[0.01964535],0.6885573539256815
"1288.04, 1312.98",[[0.82564278]],[0.02205205],0.7387996247288864
"1288.04, 1313.99",[[0.45685817]],[0.01112565],0.6006184007834228
"1288.04, 1335.98",[[0.69214521]],[0.0173049],0.7542099274461327
"1288.04, 1336.98",[[0.81982889]],[0.01616839],0.6558352406236441
"1288.04, 1359.97",[[0.37133566]],[0.01068578],0.6104127389452878
"1288.37, 1293.62",[[0.69404839]],[0.04857259],0.8145196428991831
"1288.37, 1304.87",[[0.62046883]],[0.02913554],0.720248861698747
"1289.12, 1311.97",[[0.73331563]],[0.01461145],0.831252218870003
"1289.12, 1312.98",[[0.85964049]],[0.01427685],0.7762546318779426
"1289.12, 1313.99",[[0.48344542]],[0.00750017],0.7565205293426347
"1289.12, 1315.0",[[0.14018982]],[0.00632299],0.6680116873993536
