,Coef,Intercept,Score
"1312.22, 1316.24",[[4.18830613]],[0.26751399],0.7553023750921312
"1312.22, 1322.3",[[1.96737925]],[0.13508877],0.608956827778754
"1312.22, 1326.32",[[5.23729045]],[0.3136257],0.7790331526997254
"1316.24, 1322.3",[[0.48155462]],[0.00675845],0.7856337018787736
"1316.24, 1323.3",[[0.46002868]],[-0.0017529],0.6170863666573205
"1316.24, 1326.32",[[1.15314726]],[0.03095867],0.9318010971350211
"1316.24, 1327.32",[[0.33918323]],[0.00102205],0.8111873775314701
"1317.25, 1323.3",[[1.26617077]],[0.05968046],0.7136380863194758
"1317.25, 1326.32",[[3.4015226]],[0.14141762],0.6377724821543003
"1317.25, 1327.32",[[1.02543262]],[0.0301267],0.6910303008877026
"1320.28, 1322.3",[[1.6503649]],[0.1533628],0.7152016683407949
"1320.28, 1323.3",[[1.5450294]],[0.13712422],0.6409976708523035
"1322.3, 1326.32",[[2.16898687]],[0.07290976],0.8316672351579719
"1322.3, 1327.32",[[0.66808263]],[0.00486851],0.6521540713279455
"1323.3, 1326.32",[[2.26720756]],[0.09748051],0.8661249610857004
"1323.3, 1327.32",[[0.71741049]],[0.00971414],0.6355933926694892
"1324.03, 1347.02",[[2.70140167]],[0.22235812],0.7652071436823968
