,Coef,Intercept,Score
"1282.37, 1319.31",[[0.5762453]],[0.02125277],0.6505181061592522
"1282.87, 1297.84",[[0.73917259]],[0.01941996],0.7368244372224808
"1283.37, 1314.62",[[0.46149598]],[0.02508353],0.6995656919457067
"1283.37, 1322.62",[[0.8292034]],[0.01976539],0.6044571457489682
"1283.62, 1304.87",[[0.32831524]],[0.01840398],0.627150360368572
"1283.62, 1306.86",[[0.33790398]],[0.01512426],0.6817234279997193
"1283.62, 1322.86",[[0.38819961]],[0.02110405],0.6116150263782818
"1284.87, 1297.84",[[1.00926711]],[0.01747643],0.6480923541097404
"1284.87, 1339.84",[[0.55071502]],[0.0280978],0.6367725295082773
"1285.62, 1305.87",[[0.42724569]],[0.00921448],0.6657751040368297
"1285.62, 1321.83",[[0.38689729]],[0.02236296],0.6810611491630246
"1285.62, 1349.78",[[0.33995065]],[0.01475825],0.7511921963812533
"1286.62, 1338.83",[[0.26177656]],[0.02132246],0.753984020792417
"1286.62, 1346.8",[[0.4393757]],[0.00747814],0.74291462720556
"1286.87, 1320.81",[[0.85475944]],[0.01555803],0.6114699096882533
"1287.87, 1308.81",[[0.56353616]],[0.01844523],0.6417190353365022
"1288.02, 1311.98",[[0.9655264]],[0.00851634],0.716234339156768
"1288.02, 1312.98",[[1.1378058]],[0.01193548],0.8467796290302116
"1288.02, 1313.98",[[0.63533895]],[0.00167545],0.7581189276122577
"1288.02, 1335.98",[[0.93697445]],[0.00516158],0.8575650603329362
"1288.02, 1336.98",[[1.06676514]],[0.00964701],0.7738078333210686
"1288.02, 1359.97",[[0.48915336]],[0.00141083],0.7516097974994604
"1288.62, 1350.86",[[0.21110767]],[0.01889274],0.6383355474902822
"1288.98, 1359.97",[[0.43877348]],[9.33489346e-05],0.7755969795650927
"1289.87, 1311.62",[[0.84324507]],[0.02085686],0.7096647404148781
"1289.87, 1326.62",[[0.41184831]],[0.02932026],0.6155480409464219
"1290.87, 1295.62",[[0.52739019]],[0.03459973],0.6471534826428755
"1290.87, 1325.62",[[0.32211014]],[0.02702529],0.730292834775703
"1290.87, 1327.62",[[0.51383243]],[0.02025099],0.6528368912339517
"1290.99, 1311.98",[[3.32084249]],[0.03916396],0.6678687205164318
"1290.99, 1312.98",[[3.90992692]],[0.0433213],0.6298920474008911
"1290.99, 1313.98",[[1.98470151]],[0.02656539],0.6778427504380306
"1290.99, 1336.98",[[3.53264871]],[0.04688576],0.6059890669581512
"1291.62, 1306.86",[[0.467104]],[0.01749393],0.804669053372953
"1291.62, 1328.87",[[0.41702111]],[0.02205037],0.6733525712081403
"1291.87, 1346.8",[[0.33074216]],[0.02343063],0.631504160065907
"1292.62, 1305.87",[[0.55369718]],[0.01434899],0.6352230128914704
"1292.62, 1328.87",[[0.35557876]],[0.02187855],0.6212415661570196
"1292.62, 1344.83",[[0.36967329]],[0.01490884],0.6698255984016013
"1292.62, 1346.8",[[0.47139722]],[0.01281189],0.6012631122563327
"1292.87, 1313.62",[[0.92840772]],[0.01325199],0.6839960826721995
"1292.87, 1330.62",[[0.68437832]],[0.00214186],0.7751931060426913
"1292.87, 1349.78",[[0.39117694]],[0.02489971],0.6860723179844748
"1293.62, 1330.78",[[0.18084389]],[0.02019936],0.6301495556523609
"1293.62, 1348.79",[[0.35388151]],[0.02063708],0.6436258188547606
"1293.87, 1299.37",[[0.27202666]],[0.01234466],0.6362999981387001
"1294.87, 1339.62",[[0.29105512]],[0.02927943],0.6401695568326451
"1295.62, 1338.83",[[0.35489702]],[0.01403235],0.7994747324292591
"1295.62, 1346.8",[[0.42550695]],[0.01363737],0.6651204457620101
"1296.84, 1298.87",[[1.13957468]],[-0.00572739],0.8004268902422924
"1296.84, 1299.87",[[0.82689555]],[0.02079333],0.7785599363147968
"1296.84, 1310.87",[[0.54225121]],[0.01713195],0.8567665513317709
"1296.84, 1324.87",[[0.77682977]],[0.01186566],0.7545283611725364
"1296.84, 1341.87",[[0.28086591]],[0.02502722],0.7294591214406471
"1297.62, 1338.83",[[0.31565432]],[0.01473281],0.6439066789170711
"1297.62, 1350.86",[[0.22544864]],[0.01692635],0.6337017249791872
"1297.84, 1299.87",[[0.93368573]],[0.01163059],0.7050313866163104
"1297.84, 1324.87",[[0.83517373]],[0.01047074],0.7153477397201703
"1297.84, 1325.87",[[0.74449108]],[0.02189053],0.7598801497227221
"1298.87, 1339.84",[[0.23129729]],[0.0348915],0.6434949271313384
"1299.02, 1346.06",[[0.14024658]],[0.00057438],0.7934006576527892
"1299.37, 1303.87",[[1.12965012]],[0.00783946],0.6672710850608776
"1299.62, 1330.78",[[0.11641859]],[0.0223478],0.6593441526764473
"1300.02, 1322.97",[[0.1405261]],[0.0073207],0.6919605750417637
"1300.02, 1346.06",[[0.38771972]],[0.0297446],0.6537643833405238
"1301.87, 1330.62",[[0.47617591]],[0.01286758],0.6104410152809303
"1302.87, 1320.81",[[0.65688369]],[0.0268252],0.6425296831445422
"1303.87, 1321.83",[[0.76461974]],[0.0274712],0.6893104416733528
"1304.62, 1325.87",[[0.73823013]],[0.02830894],0.6147128540824515
