,Coef,Intercept,Score
"1280.62, 1292.87",[[0.40827556]],[0.01157436],0.6249842390380115
"1280.62, 1293.87",[[0.39665925]],[0.01432848],0.6872686416117018
"1280.62, 1320.8",[[0.26651635]],[0.01858158],0.8077440265079906
"1281.62, 1292.87",[[0.45567027]],[0.01209331],0.6009750609424664
"1282.62, 1307.87",[[0.35302943]],[0.01665547],0.6079252002543232
"1283.87, 1295.62",[[0.71948164]],[0.02515064],0.6382102748367711
"1283.87, 1295.85",[[0.67990235]],[0.01569943],0.6557204664083607
"1284.62, 1287.87",[[0.23948909]],[0.0151114],0.8274323263646574
"1284.62, 1289.87",[[0.30453052]],[0.0151214],0.6608961983641055
"1284.62, 1302.87",[[0.32503909]],[0.01873546],0.6404345949467183
"1284.62, 1320.8",[[0.28454217]],[0.01564998],0.7354658430518168
"1284.62, 1321.8",[[0.21815506]],[0.02172277],0.6418439880940361
"1284.62, 1323.82",[[0.36939642]],[0.01644894],0.8845212163661447
"1285.62, 1321.8",[[0.42634633]],[0.01040435],0.8168434439570607
"1285.62, 1323.82",[[0.41857035]],[0.01300305],0.7121334142509452
"1285.87, 1306.62",[[0.34483317]],[0.0228828],0.6737946647913443
"1285.87, 1309.62",[[0.63422747]],[0.02386342],0.6815129914049916
"1286.62, 1293.87",[[0.3816881]],[0.02162558],0.7565769671429488
"1286.62, 1320.8",[[0.3684914]],[0.01612302],0.8464896279379842
"1287.62, 1295.85",[[0.2824324]],[0.02469053],0.6094748407715669
"1287.62, 1302.87",[[0.3895911]],[0.018533],0.7378900146862124
"1287.62, 1320.8",[[0.22305224]],[0.02136572],0.8130317650757966
"1287.62, 1321.8",[[0.35539335]],[0.0152227],0.9027486969901264
"1287.62, 1323.82",[[0.23843424]],[0.02097689],0.7422260980316606
"1288.62, 1320.8",[[0.28381997]],[0.02468731],0.6394800765252909
"1288.62, 1321.8",[[0.26342671]],[0.02096724],0.6093843433472361
"1289.87, 1321.62",[[0.33920208]],[0.04068219],0.663622509913105
"1289.98, 1311.97",[[1.6000337]],[0.00717083],0.8429074041412982
"1289.98, 1359.97",[[0.6980125]],[0.00480118],0.7492565142805319
"1290.62, 1302.87",[[0.45789337]],[0.01707924],0.7728343149285655
"1290.62, 1320.8",[[0.25795569]],[0.02096847],0.6270477637323449
"1291.0, 1313.98",[[1.85262693]],[0.03027398],0.6020924948655899
"1291.87, 1300.62",[[0.53445917]],[0.02471759],0.6499221210041525
"1291.87, 1314.62",[[0.37110437]],[0.0204049],0.6454240796428962
"1291.87, 1315.62",[[1.09222391]],[0.03504684],0.6678298854486403
"1291.87, 1320.8",[[0.414603]],[0.02060328],0.8451833766811602
"1291.87, 1321.8",[[0.48698414]],[0.01402324],0.6724936946402386
"1292.62, 1302.87",[[0.30603512]],[0.02551825],0.6778197637997558
"1292.87, 1295.85",[[0.48440287]],[0.02026522],0.6106808456882761
"1292.87, 1314.62",[[0.50572569]],[0.01566051],0.7521305574474917
"1293.87, 1314.62",[[0.50249655]],[0.01795499],0.733197210993001
"1295.62, 1321.8",[[0.40369507]],[0.01456783],0.7195173818206126
"1295.85, 1303.87",[[0.30269522]],[0.01562714],0.6227232415974145
"1297.62, 1311.87",[[0.28967548]],[0.01767105],0.7129851864551133
"1299.87, 1310.8",[[0.56812067]],[0.01489025],0.6128062399654035
"1301.87, 1308.62",[[0.71466596]],[0.02913335],0.7846171063237164
"1301.87, 1316.62",[[0.4044204]],[0.04100407],0.6162274578848828
"1302.62, 1321.8",[[0.2806989]],[0.02172758],0.6893425263811125
"1302.87, 1316.62",[[0.7190163]],[0.0264075],0.7219176170648454
"1303.62, 1320.8",[[0.24155696]],[0.01344132],0.6733613805481378
"1303.62, 1321.8",[[0.31905639]],[0.01405669],0.7546495751730735
"1306.62, 1318.81",[[0.64753482]],[0.01682652],0.7046083291806469
"1308.62, 1320.8",[[0.49652878]],[0.00949475],0.691050352411509
"1312.98, 1359.97",[[0.36663542]],[0.00148645],0.7577892428112473
"1313.98, 1359.97",[[0.61542598]],[0.00637557],0.8457636989705568
"1315.62, 1320.8",[[0.12341353]],[0.02527023],0.6258803637926051
"1316.24, 1322.3",[[0.44021331]],[0.00372508],0.8678478661401988
"1316.24, 1323.3",[[0.39144893]],[0.00075822],0.7867405313722415
"1316.24, 1326.32",[[0.89673905]],[0.01991352],0.8527005719652803
"1316.24, 1340.35",[[0.55473064]],[0.00186454],0.7500750692499458
"1317.25, 1327.32",[[0.60787112]],[0.02102943],0.6403444363010607
"1322.3, 1326.32",[[1.71245608]],[0.05901613],0.7133973134662611
"1323.3, 1326.32",[[1.89809822]],[0.06868477],0.7670461778162284
"1323.3, 1340.35",[[1.12996661]],[0.03533887],0.6186174616122921
"1332.21, 1340.35",[[1.90363442]],[0.08775665],0.608395601431257
"1335.98, 1359.97",[[0.47995525]],[-0.00060859],0.8610980117998872
"1336.98, 1359.97",[[0.39896495]],[-0.00079847],0.6550886414843331
"1337.98, 1359.97",[[0.6827836]],[0.0011221],0.7270611534247905
