,Coef,Intercept,Score
"1288.98, 1311.97",[[0.84763487]],[0.0045005],0.775467080036205
"1288.98, 1312.97",[[0.97807221]],[0.0060717],0.8316772282104532
"1288.98, 1335.97",[[0.76777153]],[0.00816593],0.737251843045494
"1289.98, 1311.97",[[1.18920736]],[0.02488787],0.9056683750981664
"1289.98, 1312.97",[[1.38352786]],[0.02756797],0.844029184136695
"1289.98, 1335.97",[[1.12939274]],[0.02413302],0.679654548981883
"1312.22, 1317.25",[[1.01145494]],[0.04371119],0.6237875359446053
"1316.24, 1322.3",[[0.40166761]],[0.00805828],0.7133438664748755
"1316.24, 1323.3",[[0.36887158]],[0.00036872],0.7831906301055229
"1316.24, 1326.32",[[0.78335952]],[0.02641032],0.7997114807760987
"1316.24, 1327.33",[[0.20335388]],[0.00237399],0.6610908689935819
"1316.24, 1340.32",[[0.54072054]],[-0.0037473],0.6872359054582868
"1316.24, 1342.29",[[0.16229715]],[-0.00246874],0.6349202625894492
"1317.25, 1323.3",[[0.77050963]],[0.04686445],0.6148187039268396
"1319.42, 1321.62",[[0.2111484]],[0.0320697],0.6398888100021063
"1322.3, 1340.32",[[1.08157572]],[0.01682353],0.6307023480964697
"1323.3, 1326.32",[[1.76104391]],[0.06792157],0.7766578704951914
