,m/z,I,S/N,em,dbe,error,C,H,Class
61,205.08709,8762798,71.8,205.08701785850002,6,7.214149997025743e-05,12,13,O3
63,207.08161,5993537,48.1,207.0815385541,10,7.144590000507378e-05,15,11,O1
65,208.11319,35781028,299.7,208.1131730347,9,1.6965300005722384e-05,15,14,N1
66,209.06082,3389809,26.0,209.0608031097,10,1.689030000306957e-05,14,9,O2
68,209.09718999999998,11124477,91.1,209.0971886185,9,1.3814999704209185e-06,15,13,O1
73,211.11289,13154011,107.8,211.1128386829,8,5.13171000022794e-05,15,15,O1
74,211.13405,2833763,21.3,211.13396805169998,3,8.194830002139497e-05,12,19,O3
75,213.18603,3429358,26.3,213.1860036249,1,2.6375099992037576e-05,13,25,O2
79,216.08192000000003,140061040,1167.8,216.0818729059,12,4.70941000116909e-05,16,10,N1
80,217.06589,7220986,57.6,217.0658884897,12,1.510299995288733e-06,16,9,O1
83,219.06632000000002,4270650,32.9,219.0662824141,7,3.758590003144491e-05,12,11,O4
84,219.08155,8542529,68.4,219.0815385541,11,1.1445899986028962e-05,16,11,O1
86,219.1027,10755402,86.7,219.10266792289997,6,3.20771000303921e-05,13,15,O3
88,219.17545,23595112,193.2,219.17543894050002,4,1.1059499996690647e-05,15,23,O1
90,221.08198,2820245,20.9,221.0819324785,6,4.752149999376343e-05,12,13,O4
91,221.09722000000002,5784988,45.5,221.0971886185,10,3.138150000836504e-05,16,13,O1
93,222.12891000000002,25936730,211.8,222.1288230991,9,8.690090001550743e-05,16,16,N1
94,223.07648999999998,4184440,32.1,223.0764531741,10,3.6825899968562226e-05,15,11,O2
96,223.11289,12276999,98.9,223.1128386829,9,5.13171000022794e-05,16,15,O1
98,225.05575,2686050,19.6,225.0557177297,10,3.2270299982428696e-05,14,9,O3
100,225.12852,13440130,108.1,225.1284887473,8,3.125270001191893e-05,16,17,O1
102,225.18607999999998,3722652,28.2,225.1860036249,2,7.637509997948655e-05,14,25,O2
103,227.07137000000003,4338153,33.2,227.0713677941,9,2.2059000173157983e-06,14,11,O3
105,227.20167999999998,119340064,979.5,227.2016536893,1,2.631069997960367e-05,14,27,O2
108,229.10227000000003,2652160,19.3,229.1022739985,12,3.998499977342362e-06,18,13,
110,230.09758,316596544,2592.1,230.09752297030002,12,5.702969997400942e-05,17,12,N1
111,231.08157999999997,13733639,109.6,231.0815385541,12,4.144589996712966e-05,17,11,O1
117,233.082,3229980,23.9,233.0819324785,7,6.75215000001117e-05,13,13,O4
119,233.09721000000002,20283044,163.1,233.0971886185,11,2.13815000051909e-05,17,13,O1
120,233.1184,7055533,55.1,233.11831798729997,6,8.201270003382888e-05,14,17,O3
121,233.15479,12352702,98.3,233.1547034961,5,8.650389997910679e-05,15,21,O2
123,234.12887,3803005,28.4,234.1288230991,10,4.6900900002810886e-05,17,16,N1
124,235.11291,5777986,44.5,235.1128386829,10,7.131710000862768e-05,17,15,O1
125,236.14452000000003,21450780,171.8,236.1444731635,9,4.683650001879869e-05,17,18,N1
126,237.09212999999997,3270094,24.0,237.09210323850002,10,2.6761499952954182e-05,16,13,O2
128,237.12855,17301982,137.5,237.1284887473,9,6.125269999301963e-05,17,17,O1
132,238.08742,2641302,18.9,238.08735221030003,10,6.778969998322282e-05,15,12,O2N1
137,239.0714,6902104,53.4,239.0713677941,10,3.22058999984165e-05,15,11,O3
138,239.12887,3731570,27.7,239.1288826717,4,1.2671700005739694e-05,13,19,O4
139,239.14415,11341177,89.3,239.1441388117,8,1.1188299993136752e-05,17,19,O1
140,239.20167999999998,3421203,25.2,239.2016536893,2,2.631069997960367e-05,15,27,O2
141,241.08701000000002,5989100,45.8,241.08701785850002,9,7.858499998292245e-06,15,13,O3
143,241.21731,42528040,340.1,241.2173037537,1,6.246299989243198e-06,15,29,O2
144,242.09752999999998,4121269,30.7,242.09752297030002,13,7.029699958138735e-06,18,12,N1
