,m/z,I,S/N,em,dbe,error,C,H,Class
97,200.12972,32046818,272.1,200.1292170235,2,0.0005029765000017505,10,18,O3N1
102,201.1132,6258272,51.1,201.1132326073,2,3.260729999965406e-05,10,17,O4
104,203.1289,1288131,8.5,203.1288826717,1,1.7328299975361006e-05,10,19,O4
105,203.14414,3093256,23.9,203.1441388117,5,1.1882999899626157e-06,14,19,O1
109,205.1598,8194642,67.3,205.1597888761,4,1.1123899980702845e-05,14,21,O1
111,207.08155,4190369,33.1,207.0815385541,10,1.1445899986028962e-05,15,11,O1
114,208.11313,55815148,471.7,208.1131730347,9,4.3034699984900726e-05,15,14,N1
117,209.09714,7160366,58.2,209.0971886185,9,4.8618500017028055e-05,15,13,O1
125,211.07647999999998,1796429,12.7,211.0764531741,9,2.682589996538809e-05,14,11,O2
126,211.11287000000002,4760794,37.7,211.1128386829,8,3.131710002435284e-05,15,15,O1
127,211.17039,1378030,9.1,211.17035356050002,2,3.643949997922391e-05,13,23,O2
132,213.05574,2699208,20.3,213.0557177297,9,2.227029997925456e-05,13,9,O3
133,213.09212000000002,1587733,10.9,213.09210323850002,8,1.6761500006623464e-05,14,13,O2
134,213.11326,1744477,12.2,213.1132326073,3,2.739269999096905e-05,11,17,O4
135,213.1285,1812514,12.8,213.1284887473,7,1.125270000557066e-05,15,17,O1
136,213.18601,5839287,46.8,213.1860036249,1,6.3751000141110126e-06,13,25,O2
142,215.12887,3263871,25.0,215.1288826717,2,1.2671700005739694e-05,11,19,O4
143,215.14416,2305860,16.9,215.1441388117,6,2.118829999631089e-05,15,19,O1
148,216.08186,15279844,126.1,216.0818729059,12,1.2905900007353921e-05,16,10,N1
152,217.14455,1348920,8.8,217.14453273610002,1,1.7263899991348808e-05,11,21,O4
153,217.15975,4047230,31.5,217.1597888761,5,3.887610000674613e-05,15,21,O1
154,219.10271,1896816,13.4,219.10266792289997,6,4.207710003356624e-05,13,15,O3
155,219.13907999999998,1571071,10.7,219.1390534317,5,2.656829997249588e-05,14,19,O2
157,219.17545,18080652,148.8,219.17543894050002,4,1.1059499996690647e-05,15,23,O1
160,220.11321,2623104,19.4,220.1131730347,10,3.6965300012070657e-05,16,14,N1
163,221.0819,1958659,13.9,221.0819324785,6,3.2478500003207955e-05,12,13,O4
165,221.09717999999998,6472073,51.6,221.0971886185,10,8.618500032753218e-06,16,13,O1
166,221.15475,2839968,21.3,221.1547034961,4,4.6503899994831954e-05,14,21,O2
168,222.09247000000002,3031195,22.8,222.09243759030002,10,3.240969999751542e-05,15,12,O1N1
170,222.12886,58914856,488.7,222.1288230991,9,3.690089999963675e-05,16,16,N1
178,223.11283999999998,12997050,105.9,223.1128386829,9,1.3170999864087207e-06,16,15,O1
182,224.07171,1507908,10.1,224.07170214590002,10,7.854099976611906e-06,14,10,O2N1
186,225.09206,2888939,21.5,225.09210323850002,9,4.3238500012421355e-05,15,13,O2
187,225.12847000000002,7197946,57.3,225.1284887473,8,1.874729997553004e-05,16,17,O1
190,225.18602,34105616,280.9,225.1860036249,2,1.637510001728515e-05,14,25,O2
196,227.10755,1488502,9.9,227.1077533029,8,0.00020330289999037632,15,15,O2
198,227.20166,126228576,1046.5,227.2016536893,1,6.310700001677105e-06,14,27,O2
202,229.14457000000002,2309651,16.6,229.14453273610002,2,3.726389999769708e-05,12,21,O4
203,229.15984,2773786,20.5,229.1597888761,6,5.112389999339939e-05,16,21,O1
