,m/z,I,S/N,em,dbe,error,C,H,Class
5453,200.0715,1349397,9.0,200.07170214590002,9,0.00020214590003320154,12,10,O2N1
5459,200.10797,1992255,14.5,200.1080876547,8,0.00011765470000568712,13,14,O1N1
5467,200.14449,1965128,14.3,200.1444731635,7,1.683649998085457e-05,14,18,N1
5584,201.11328999999998,1088926,6.8,201.1132326073,3,5.739269997206975e-05,10,17,O4
5587,201.12847,3696018,29.0,201.1284887473,7,1.874730000395175e-05,14,17,O1
5669,202.08731,2968415,22.7,202.08735221030003,8,4.2210300023270975e-05,12,12,O2N1
5769,203.07133000000002,3833597,30.1,203.0713677941,8,3.779409999538075e-05,12,11,O3
5774,203.10775,1784552,12.7,203.1077533029,7,3.3028999837370066e-06,13,15,O2
5779,203.1441,6431571,52.1,203.1441388117,6,3.881169999431222e-05,14,19,O1
5785,203.17956,1003789,6.0,203.1805243205,5,0.0009643205000031685,15,23,
5860,204.08187,1507405,10.3,204.0818729059,12,2.9059000041797844e-06,15,10,N1
5863,204.10297,2097715,15.3,204.1030022747,7,3.2274700004109036e-05,12,14,O2N1
5961,205.05062,1750489,12.3,205.05063234969998,8,1.2349699971991868e-05,11,9,O4
5971,205.08702,9698597,79.5,205.08701785850002,7,2.1414999764601816e-06,12,13,O3
5976,205.1235,1071472,6.6,205.1234033673,6,9.663270000714874e-05,13,17,O2
5980,205.15978,8199996,66.9,205.1597888761,5,8.876099997223719e-06,14,21,O1
6063,206.08226000000002,3664163,28.4,206.08226683030003,7,6.830300009141865e-06,11,12,O3N1
6066,206.09752,7158120,57.8,206.09752297030002,11,2.9703000166136917e-06,15,12,N1
6156,207.06628,2855143,21.6,207.0662824141,7,2.4140999812516384e-06,11,11,O4
6157,207.08158,14300844,118.0,207.0815385541,11,4.144589999555137e-05,15,11,O1
6167,207.13955,1026079,6.2,207.1390534317,5,0.0004965683000079935,13,19,O2
6251,208.07682,8771836,71.4,208.07678752590002,11,3.2474099981527615e-05,14,10,O1N1
6254,208.11316000000002,220798480,1857.4,208.1131730347,10,1.3034699975378317e-05,15,14,N1
6340,209.09716,45741916,381.3,209.0971886185,10,2.861850001067978e-05,15,13,O1
6347,209.15468,1200722,7.6,209.1547034961,4,2.3496099998965292e-05,13,21,O2
6427,210.05601000000001,3386097,25.9,210.0560520815,11,4.208149999840316e-05,13,8,O2N1
6433,210.09238,2919678,22.0,210.09243759030002,10,5.759030003105181e-05,14,12,O1N1
6518,211.07644,11959075,97.5,211.0764531741,10,1.3174100018886747e-05,14,11,O2
6523,211.11282999999997,32512048,269.3,211.1128386829,9,8.682900016765416e-06,15,15,O1
6527,211.13397,2489272,18.3,211.13396805169998,4,1.948300024423588e-06,12,19,O3
6534,211.1703,1329862,8.6,211.17035356050002,3,5.356050002092161e-05,13,23,O2
6613,212.07171,3128020,23.7,212.07170214590002,10,7.854099976611906e-06,13,10,O2N1
6615,212.09304,1009820,6.0,212.0928315147,5,0.00020848529999284438,10,14,O4N1
