,m/z,I,S/N,em,dbe,error,C,H,Class
41,203.10779,4084387,32.3,203.1077533029,7,3.669710000053783e-05,13,15,O2
42,205.08713,2786560,21.2,205.08701785850002,7,0.00011214149998295397,12,13,O3
43,205.12345,4765579,38.0,205.1234033673,6,4.663269999127806e-05,13,17,O2
44,205.15988000000002,1913591,13.8,205.1597888761,5,9.112390000609594e-05,14,21,O1
45,207.08162,2074886,15.1,207.0815385541,11,8.144589997982621e-05,15,11,O1
47,208.11321999999998,19342562,161.3,208.1131730347,10,4.6965299986823084e-05,15,14,N1
52,209.15478000000002,4600906,36.4,209.1547034961,4,7.650390000435436e-05,13,21,O2
53,211.13405,2314958,17.0,211.13396805169998,4,8.194830002139497e-05,12,19,O3
55,211.17042999999998,15946012,131.6,211.17035356050002,3,7.643949996349875e-05,13,23,O2
57,213.18605,46600204,389.4,213.1860036249,2,4.637509999838585e-05,13,25,O2
62,215.10781,2246768,16.4,215.1077533029,8,5.66971000068861e-05,14,15,O2
64,216.08197,7352177,59.1,216.0818729059,13,9.709409999913987e-05,16,10,N1
65,216.1031,2438138,18.0,216.1030022747,8,9.772530000873303e-05,13,14,O2N1
66,217.08711,2237700,16.2,217.08701785850002,8,9.21414999766057e-05,13,13,O3
68,217.12346000000002,5570323,44.0,217.1234033673,7,5.6632700022873905e-05,14,17,O2
70,217.15987,2495393,18.4,217.1597888761,6,8.11239000029218e-05,15,21,O1
71,219.10277999999997,3248060,24.5,219.10266792289997,7,0.00011207709999894178,13,15,O3
73,219.13915,9459019,76.2,219.1390534317,6,9.656829999471483e-05,14,19,O2
74,219.1755,6162010,48.8,219.17543894050002,5,6.105949998413962e-05,15,23,O1
75,220.11325,2171873,15.6,220.1131730347,11,7.696529999634549e-05,16,14,N1
76,221.09726,2149247,15.4,221.0971886185,11,7.138149999263987e-05,16,13,O1
77,221.15481,3060247,23.0,221.1547034961,5,0.00010650389998545506,14,21,O2
78,222.09256000000002,4621094,35.8,222.09243759030002,11,0.00012240969999766094,15,12,O1N1
80,222.12892999999997,31561270,259.1,222.1288230991,10,0.00010690089996501229,16,16,N1
