,m/z,I,S/N,em,dbe,error,C,H,Class
52,203.0714,2990776,23.0,203.0713677941,8,3.22058999984165e-05,12,11,O3
53,203.1077,1905059,13.7,203.1077533029,7,5.330289999960769e-05,13,15,O2
55,203.14414,3148302,24.3,203.1441388117,6,1.1882999899626157e-06,14,19,O1
56,205.05065,2486023,18.6,205.05063234969998,8,1.7650300009108832e-05,11,9,O4
57,205.08705,10068242,82.9,205.08701785850002,7,3.214149998598259e-05,12,13,O3
58,205.15977,3401704,26.4,205.1597888761,5,1.8876100000397855e-05,14,21,O1
59,206.0975,2825997,21.4,206.09752297030002,11,2.2970300022961965e-05,15,12,N1
60,207.06628999999998,2606341,19.5,207.0662824141,7,7.585899993500789e-06,11,11,O4
61,207.0816,7462538,60.5,207.0815385541,11,6.144590000189964e-05,15,11,O1
62,208.07683,5454930,43.6,208.07678752590002,11,4.247409998470175e-05,14,10,O1N1
63,208.11316000000002,118028768,994.2,208.1131730347,10,1.3034699975378317e-05,15,14,N1
65,209.09718,16149291,133.4,209.0971886185,10,8.618500004331509e-06,15,13,O1
70,210.05599999999998,2845047,21.5,210.0560520815,11,5.2081500029999006e-05,13,8,O2N1
73,211.07647999999998,4614240,36.2,211.0764531741,10,2.682589996538809e-05,14,11,O2
75,211.11286,14949869,122.8,211.1128386829,9,2.1317100021178703e-05,15,15,O1
76,211.13398999999998,3307892,25.3,211.13396805169998,4,2.1948300002350152e-05,12,19,O3
77,212.10807999999997,2240852,16.3,212.1080876547,9,7.654700027615036e-06,14,14,O1N1
79,213.05577999999997,2593458,19.3,213.0557177297,10,6.22702999635294e-05,13,9,O3
80,213.09212000000002,3197375,24.3,213.09210323850002,9,1.6761500006623464e-05,14,13,O2
81,213.14966,1774293,12.4,213.1496181161,3,4.188390002468623e-05,12,21,O3
82,213.18602,6175970,49.3,213.1860036249,2,1.637510001728515e-05,13,25,O2
86,215.14422000000002,2552009,18.8,215.1441388117,7,8.118830001535571e-05,15,19,O1
89,216.08191000000002,96646456,804.2,216.0818729059,13,3.709410000851676e-05,16,10,N1
90,216.10304,2028477,14.5,216.1030022747,8,3.772529998968821e-05,13,14,O2N1
91,217.06591,2788665,20.7,217.0658884897,13,2.1510300001637006e-05,16,9,O1
95,217.08704,4667329,36.3,217.08701785850002,8,2.2141499982808455e-05,13,13,O3
97,217.1234,2142288,15.3,217.1234033673,7,3.367299996170914e-06,14,17,O2
98,217.15979,3148510,23.7,217.1597888761,6,1.1238999775287084e-06,15,21,O1
99,218.09755,2155158,15.4,218.09752297030002,12,2.7029699992908718e-05,16,12,N1
100,218.11862000000002,2335966,16.9,218.1186523391,7,3.2339099988121234e-05,13,16,O2N1
101,219.06631000000002,4812510,37.4,219.0662824141,8,2.758590002827077e-05,12,11,O4
103,219.08153,4951909,38.5,219.0815385541,12,8.55410002031931e-06,16,11,O1
105,219.10269,10631917,85.6,219.10266792289997,7,2.2077100027217966e-05,13,15,O3
106,219.13908999999998,1787644,12.3,219.1390534317,6,3.6568299975670016e-05,14,19,O2
108,219.17542999999998,7784971,62.0,219.17543894050002,5,8.940500038079335e-06,15,23,O1
109,220.09787000000003,2005734,14.1,220.09791689469998,7,4.689469994900719e-05,12,14,O3N1
110,220.11319,13403532,108.5,220.1131730347,11,1.6965300005722384e-05,16,14,N1
112,221.08197,2981151,22.2,221.0819324785,7,3.7521500019011e-05,12,13,O4
113,221.09716,9283877,74.4,221.0971886185,11,2.861850001067978e-05,16,13,O1
116,221.15479,1769277,12.2,221.1547034961,5,8.650389997910679e-05,14,21,O2
118,222.12887,136101584,1119.6,222.1288230991,10,4.6900900002810886e-05,16,16,N1
119,223.07644,2319593,16.7,223.0764531741,11,1.3174100018886747e-05,15,11,O2
120,223.11285,18122360,146.9,223.1128386829,10,1.1317100018004567e-05,16,15,O1
123,224.0717,4753939,36.7,224.07170214590002,11,2.1459000265622308e-06,14,10,O2N1
124,224.10807999999997,1792803,12.3,224.1080876547,10,7.654700027615036e-06,15,14,O1N1
127,225.09207999999998,6907596,54.2,225.09210323850002,10,2.323850003449479e-05,15,13,O2
128,225.12847999999997,13998555,112.4,225.1284887473,9,8.747300029199323e-06,16,17,O1
129,225.14968,3584613,27.0,225.1496181161,4,6.188390000261279e-05,13,21,O3
132,225.18605,42437620,345.9,225.1860036249,3,4.637509999838585e-05,14,25,O2
133,226.08735,7110781,55.9,226.08735221030003,10,2.210300038996138e-06,14,12,O2N1
134,226.1237,2120461,14.9,226.1237377191,9,3.7719099992727934e-05,15,16,O1N1
139,227.07134,6175021,48.2,227.0713677941,10,2.779410002062832e-05,14,11,O3
140,227.10771,6377533,49.9,227.1077533029,9,4.330289999643355e-05,15,15,O2
142,227.20166,227235680,1862.8,227.2016536893,2,6.310700001677105e-06,14,27,O2
143,228.06658,1986916,13.8,228.06661676590002,10,3.676590003465208e-05,13,10,O3N1
144,228.10296,2016756,14.0,228.1030022747,9,4.227470000728317e-05,14,14,O2N1
145,228.16056,1690766,11.4,228.1605171523,3,4.28477000014027e-05,12,22,O3N1
147,229.05066000000002,2292057,16.3,229.05063234969998,10,2.765030004070468e-05,13,9,O4
148,229.08697999999998,2200489,15.5,229.08701785850002,9,3.7858500036236364e-05,14,13,O3
149,229.15979,2922250,21.4,229.1597888761,7,1.1238999775287084e-06,16,21,O1
153,230.09752999999998,434199648,3546.1,230.09752297030002,13,7.029699958138735e-06,17,12,N1
154,231.08156,9616933,75.8,231.0815385541,13,2.14458999892031e-05,17,11,O1
158,231.10265,5884207,45.4,231.10266792289997,8,1.792289995705687e-05,14,15,O3
160,231.1754,3355983,24.8,231.17543894050002,6,3.8940500019180035e-05,16,23,O1
161,232.07671000000002,2022245,14.0,232.07678752590002,13,7.752589999654447e-05,16,10,O1N1
165,232.11315,2710901,19.6,232.1131730347,12,2.3034700006974163e-05,17,14,N1
166,233.08197,4854187,37.0,233.0819324785,8,3.7521500019011e-05,13,13,O4
169,233.09715,13274034,105.5,233.0971886185,12,3.861850001385392e-05,17,13,O1
171,233.11835,7495867,58.5,233.11831798729997,7,3.2012700017958196e-05,14,17,O3
172,233.15475,12004300,95.2,233.1547034961,6,4.6503899994831954e-05,15,21,O2
173,233.19112,4018908,30.2,233.1910890049,5,3.099510001902672e-05,16,25,O1
174,234.09241,2666868,19.1,234.09243759030002,12,2.75903000215294e-05,16,12,O1N1
176,234.12878999999998,29259652,234.5,234.1288230991,11,3.3099100022582206e-05,17,16,N1
180,235.07648999999998,2294066,16.1,235.0764531741,12,3.6825899968562226e-05,16,11,O2
181,235.09753999999998,2951612,21.4,235.0975825429,7,4.2542900018816e-05,13,15,O4
182,235.11289,8238915,64.3,235.1128386829,11,5.13171000022794e-05,17,15,O1
186,236.10807999999997,7045638,54.6,236.1080876547,11,7.654700027615036e-06,16,14,O1N1
188,236.14448,136496912,1103.0,236.1444731635,10,6.8364999776804325e-06,17,18,N1
