,m/z,I,S/N,em,dbe,error,C,H,Class
188,200.07173999999998,1381668,9.3,200.07170214590002,8,3.7854099957712606e-05,12,10,O2N1
189,200.1081,1486926,10.2,200.1080876547,7,1.2345300007154947e-05,13,14,O1N1
190,200.12977,13524852,113.3,200.1292170235,2,0.0005529765000176212,10,18,O3N1
200,201.12851,2207629,16.4,201.1284887473,6,2.1252700008744796e-05,14,17,O1
205,202.08733,2064997,15.1,202.08735221030003,7,2.22103000169227e-05,12,12,O2N1
213,203.0714,1920815,13.9,203.0713677941,7,3.22058999984165e-05,12,11,O3
214,203.10777,2897050,22.2,203.1077533029,6,1.6697099994189557e-05,13,15,O2
215,203.14417,3611621,28.3,203.1441388117,5,3.1188299999485025e-05,14,19,O1
216,204.10299999999998,1471537,10.0,204.1030022747,6,2.274700023008336e-06,12,14,O2N1
217,204.16146,1074548,6.7,204.1605171523,0,0.0009428477000028579,10,22,O3N1
223,205.05061,2457603,18.4,205.05063234969998,7,2.2349699975166004e-05,11,9,O4
224,205.08706,7083343,57.8,205.08701785850002,6,4.214149998915673e-05,12,13,O3
226,205.12337,3253851,25.2,205.1234033673,5,3.336730000569332e-05,13,17,O2
227,205.15981000000002,6682727,54.3,205.1597888761,4,2.112390001229869e-05,14,21,O1
230,206.08215,1701017,11.9,206.08226683030003,6,0.00011683030001563566,11,12,O3N1
232,206.09755,2079870,15.1,206.09752297030002,10,2.7029699992908718e-05,15,12,N1
238,207.06627,1693129,11.9,207.0662824141,6,1.2414099984425775e-05,11,11,O4
239,207.0816,3887214,30.5,207.0815385541,10,6.144590000189964e-05,15,11,O1
241,207.13908,1114370,7.0,207.1390534317,4,2.656830000091759e-05,13,19,O2
246,208.07683,3272331,25.3,208.07678752590002,10,4.247409998470175e-05,14,10,O1N1
247,208.11316000000002,90104408,761.3,208.1131730347,9,1.3034699975378317e-05,15,14,N1
251,209.09718,7060793,57.2,209.0971886185,9,8.618500004331509e-06,15,13,O1
257,209.15471000000002,1813261,12.8,209.1547034961,3,6.503900010557118e-06,13,21,O2
260,210.05605,1497176,10.2,210.0560520815,10,2.0815000141283235e-06,13,8,O2N1
261,210.09242999999998,1111846,6.9,210.09243759030002,9,7.590300043602838e-06,14,12,O1N1
267,211.07652000000002,1916951,13.7,211.0764531741,9,6.682590000650634e-05,14,11,O2
268,211.11288,7211813,58.2,211.1128386829,8,4.131709999910527e-05,15,15,O1
269,211.13401000000002,3925420,30.6,211.13396805169998,3,4.1948300037120134e-05,12,19,O3
271,211.17042,2853562,21.5,211.17035356050002,2,6.643949998874632e-05,13,23,O2
275,212.10813,1827425,12.9,212.1080876547,8,4.234529998825565e-05,14,14,O1N1
280,213.05568,1338259,8.8,213.0557177297,9,3.772970001136855e-05,13,9,O3
283,213.09212999999997,1905121,13.6,213.09210323850002,8,2.6761499952954182e-05,14,13,O2
285,213.11331,1611113,11.1,213.1132326073,3,7.739270000683973e-05,11,17,O4
286,213.14961,1314007,8.6,213.1496181161,2,8.116099991184456e-06,12,21,O3
288,213.18599,13325254,109.7,213.1860036249,1,1.362489999223726e-05,13,25,O2
294,214.08739,1373996,9.0,214.08735221030003,8,3.778969997370041e-05,13,12,O2N1
295,214.12373,2154810,15.6,214.1237377191,7,7.719100011627233e-06,14,16,O1N1
297,214.21799,1198592,7.6,214.21763810550001,0,0.0003518944999711948,13,28,O1N1
301,215.07126,1100872,6.8,215.0713677941,8,0.0001077941000175997,13,11,O3
303,215.1078,1577031,10.7,215.1077533029,7,4.6697100003711967e-05,14,15,O2
304,215.12892000000002,1162960,7.3,215.1288826717,2,3.732830001013099e-05,11,19,O4
305,215.14417999999998,4354390,34.0,215.1441388117,6,4.118829997423745e-05,15,19,O1
309,216.08191000000002,34743896,289.0,216.0818729059,12,3.709410000851676e-05,16,10,N1
310,216.10303,2675487,20.0,216.1030022747,7,2.7725299986514074e-05,13,14,O2N1
313,217.06587000000002,1368495,9.0,217.0658884897,12,1.848969998263783e-05,16,9,O1
316,217.08705,5068536,39.9,217.08701785850002,7,3.214149998598259e-05,13,13,O3
318,217.12342999999998,3487879,26.7,217.1234033673,6,2.6632699984929786e-05,14,17,O2
319,217.15979,5796119,46.0,217.1597888761,5,1.1238999775287084e-06,15,21,O1
323,218.09758,1288674,8.3,218.09752297030002,11,5.702969997400942e-05,16,12,N1
324,218.11869,2172203,15.7,218.1186523391,6,3.76608999772543e-05,13,16,O2N1
327,219.06636,3202623,24.2,219.0662824141,7,7.758590001571974e-05,12,11,O4
330,219.10269,7913295,63.4,219.10266792289997,6,2.2077100027217966e-05,13,15,O3
331,219.13911000000002,3925470,30.2,219.1390534317,5,5.656830001044e-05,14,19,O2
333,219.17545,12032622,97.7,219.17543894050002,4,1.1059499996690647e-05,15,23,O1
335,220.09793,1724700,11.9,220.09791689469998,6,1.310530001319421e-05,12,14,O3N1
338,220.11319,8652419,69.6,220.1131730347,10,1.6965300005722384e-05,16,14,N1
344,221.08195,2943593,22.0,221.0819324785,6,1.7521500012662727e-05,12,13,O4
346,221.0972,5983920,47.4,221.0971886185,10,1.1381499973595055e-05,16,13,O1
349,221.1184,1160985,7.2,221.11831798729997,5,8.201270003382888e-05,13,17,O3
351,221.15474,3071689,23.1,221.1547034961,4,3.650389999165782e-05,14,21,O2
354,222.09249,6904679,54.8,222.09243759030002,10,5.240969997544198e-05,15,12,O1N1
356,222.12887999999998,120156280,994.7,222.1288230991,9,5.690089997756331e-05,16,16,N1
358,223.07647000000003,2243612,16.1,223.0764531741,10,1.682590001905737e-05,15,11,O2
359,223.11287000000002,11654700,94.2,223.1128386829,9,3.131710002435284e-05,16,15,O1
363,223.13397,1541846,10.3,223.13396805169998,4,1.948300024423588e-06,13,19,O3
