,m/z,I,S/N,em,dbe,error,C,H,Class
5367,200.1081,1331184,8.9,200.1080876547,7,1.2345300007154947e-05,13,14,O1N1
5373,200.1445,3068538,23.8,200.1444731635,6,2.6836499984028706e-05,14,18,N1
5487,201.11324,1236487,8.1,201.1132326073,2,7.392699984620776e-06,10,17,O4
5491,201.12847,4176907,33.2,201.1284887473,6,1.874730000395175e-05,14,17,O1
5594,202.08727,1896831,13.7,202.08735221030003,7,8.221030003596752e-05,12,12,O2N1
5601,202.12375,1101450,6.9,202.1237377191,6,1.228089999472104e-05,13,16,O1N1
5709,203.07137,2317637,17.3,203.0713677941,7,2.205899988894089e-06,12,11,O3
5714,203.10761000000002,1197424,7.7,203.1077533029,6,0.0001433028999713315,13,15,O2
5719,203.1441,8674395,71.5,203.1441388117,5,3.881169999431222e-05,14,19,O1
5811,204.10299999999998,2045123,14.9,204.1030022747,6,2.274700023008336e-06,12,14,O2N1
5909,205.05068,1173584,7.5,205.05063234969998,7,4.765030001863124e-05,11,9,O4
5913,205.08704,3694652,28.9,205.08701785850002,6,2.2141499982808455e-05,12,13,O3
5917,205.12333,1566472,10.8,205.1234033673,5,7.336729998996816e-05,13,17,O2
5922,205.1598,16151891,134.8,205.1597888761,4,1.1123899980702845e-05,14,21,O1
6004,206.08218,1812994,12.9,206.08226683030003,6,8.683030003453496e-05,11,12,O3N1
6009,206.09755,3989511,31.3,206.09752297030002,10,2.7029699992908718e-05,15,12,N1
6011,206.1181,996174,6.0,206.1186523391,5,0.0005523391000110678,12,16,O2N1
6114,207.06622,1389933,9.3,207.0662824141,6,6.241410000029646e-05,11,11,O4
6117,207.08158,5843923,47.0,207.0815385541,10,4.144589999555137e-05,15,11,O1
6194,208.07681000000002,4159275,32.8,208.07678752590002,10,2.247410000677519e-05,14,10,O1N1
6202,208.11314,172628784,1460.3,208.1131730347,9,3.30347000101483e-05,15,14,N1
6315,209.09714,20533908,170.9,209.0971886185,9,4.8618500017028055e-05,15,13,O1
6328,209.15469,1082665,6.7,209.1547034961,3,1.3496100024212865e-05,13,21,O2
6413,210.05599999999998,1621296,11.2,210.0560520815,10,5.2081500029999006e-05,13,8,O2N1
6416,210.09233999999998,1705949,11.9,210.09243759030002,9,9.759030004374836e-05,14,12,O1N1
6511,211.07646,4697322,37.0,211.0764531741,9,6.825899987461526e-06,14,11,O2
6517,211.11283999999998,14974071,123.5,211.1128386829,8,1.3170999864087207e-06,15,15,O1
6521,211.13397999999998,2635903,19.7,211.13396805169998,3,1.1948299999176015e-05,12,19,O3
6528,211.17035,1702541,11.8,211.17035356050002,2,3.560500005050926e-06,13,23,O2
6608,212.07172999999997,1102754,6.8,212.07170214590002,9,2.785409995453847e-05,13,10,O2N1
6612,212.10811,2822768,21.3,212.1080876547,8,2.2345300010329083e-05,14,14,O1N1
6620,212.14442999999997,2048765,14.8,212.1444731635,7,4.316350003819025e-05,15,18,N1
