,m/z,I,S/N,em,dbe,error,C,H,Class
90,200.1081,2427888,18.2,200.1080876547,7,1.2345300007154947e-05,13,14,O1N1
97,201.11324,3617481,28.4,201.1132326073,2,7.392699984620776e-06,10,17,O4
100,202.08733,1566148,10.8,202.08735221030003,7,2.22103000169227e-05,12,12,O2N1
102,203.07137,8241549,67.6,203.0713677941,7,2.205899988894089e-06,12,11,O3
104,203.10771,1884792,13.5,203.1077533029,6,4.330289999643355e-05,13,15,O2
105,203.12892,2055326,15.0,203.1288826717,1,3.732829998170928e-05,10,19,O4
106,205.0506,5787901,46.5,205.05063234969998,7,3.234969997834014e-05,11,9,O4
108,205.08703,33816840,284.0,205.08701785850002,6,1.2141499979634318e-05,12,13,O3
109,205.12337,1756565,12.4,205.1234033673,5,3.336730000569332e-05,13,17,O2
110,206.08227,2536658,18.9,206.08226683030003,6,3.1696999656105618e-06,11,12,O3N1
112,206.09757,1781399,12.6,206.09752297030002,10,4.702969997083528e-05,15,12,N1
116,207.06627,6998944,56.6,207.0662824141,6,1.2414099984425775e-05,11,11,O4
118,207.08156,7932069,64.5,207.0815385541,10,2.14458999892031e-05,15,11,O1
120,208.0768,18197760,151.1,208.07678752590002,10,1.2474099975179342e-05,14,10,O1N1
122,208.11315,37786892,316.5,208.1131730347,9,2.3034700006974163e-05,15,14,N1
125,209.09717,5805676,46.3,209.0971886185,9,1.8618500007505645e-05,15,13,O1
129,209.11831,1753811,12.3,209.11831798729997,4,7.987299966316641e-06,12,17,O3
131,210.05602000000002,5380297,42.8,210.0560520815,10,3.2081499995229024e-05,13,8,O2N1
132,211.07642,2979397,22.5,211.0764531741,9,3.317409999681331e-05,14,11,O2
133,211.09757000000002,1867981,13.2,211.0975825429,4,1.254289998087188e-05,11,15,O4
134,211.11283999999998,6859347,55.0,211.1128386829,8,1.3170999864087207e-06,15,15,O1
135,211.13396,4187355,32.6,211.13396805169998,3,8.051699978750548e-06,12,19,O3
136,211.17033999999998,1773417,12.4,211.17035356050002,2,1.3560500036646772e-05,13,23,O2
137,212.07171,2883520,21.7,212.07170214590002,9,7.854099976611906e-06,13,10,O2N1
138,212.10809,1486733,10.0,212.1080876547,8,2.3453000039808103e-06,14,14,O1N1
139,213.05572999999998,5872957,46.7,213.0557177297,9,1.2270299976080423e-05,13,9,O3
140,213.0921,2215787,16.1,213.09210323850002,8,3.238500028146518e-06,14,13,O2
141,213.11326,2492435,18.4,213.1132326073,3,2.739269999096905e-05,11,17,O4
142,213.14962999999997,2830945,21.2,213.1496181161,2,1.1883899986742108e-05,12,21,O3
143,213.18599,9808751,79.7,213.1860036249,1,1.362489999223726e-05,13,25,O2
145,214.12375,2091873,15.0,214.1237377191,7,1.228089999472104e-05,14,16,O1N1
146,214.14487000000003,3699690,28.4,214.1448670879,2,2.9121000295617705e-06,11,20,O3N1
147,215.07135,2909853,21.8,215.0713677941,8,1.7794100017454184e-05,13,11,O3
149,215.12886,3474932,26.5,215.1288826717,2,2.267170000891383e-05,11,19,O4
150,215.14414,1618811,11.0,215.1441388117,6,1.1882999899626157e-06,15,19,O1
151,215.16526000000002,1897539,13.4,215.1652681805,1,8.180499975196653e-06,12,23,O3
154,216.08187,73365752,609.7,216.0818729059,12,2.9059000041797844e-06,16,10,N1
155,216.10298999999998,2218625,16.0,216.1030022747,7,1.2274700026182472e-05,13,14,O2N1
157,217.06583999999998,4217614,32.6,217.0658884897,12,4.848970002058195e-05,16,9,O1
162,217.08701000000002,10862231,87.8,217.08701785850002,7,7.858499998292245e-06,13,13,O3
164,217.1234,2154534,15.4,217.1234033673,6,3.367299996170914e-06,14,17,O2
166,219.06627000000003,9958104,80.0,219.0662824141,7,1.2414099956004065e-05,12,11,O4
168,219.08153,2662238,19.6,219.0815385541,11,8.55410002031931e-06,16,11,O1
170,219.10267000000002,35751400,293.5,219.10266792289997,6,2.0771000492914027e-06,13,15,O3
171,219.13897999999998,1632759,11.0,219.1390534317,5,7.343170003082378e-05,14,19,O2
172,219.17542999999998,2428934,17.6,219.17543894050002,4,8.940500038079335e-06,15,23,O1
173,220.0979,3011090,22.5,220.09791689469998,6,1.689469996790649e-05,12,14,O3N1
175,220.11314,3340312,25.2,220.1131730347,10,3.30347000101483e-05,16,14,N1
179,221.08195,7618108,60.6,221.0819324785,6,1.7521500012662727e-05,12,13,O4
181,221.09717,6541890,51.7,221.0971886185,10,1.8618500007505645e-05,16,13,O1
182,221.15472000000003,2117083,15.0,221.1547034961,4,1.6503900013731254e-05,14,21,O2
183,222.09245,14140661,114.1,222.09243759030002,10,1.2409699991167145e-05,15,12,O1N1
185,222.12883,34567940,282.5,222.1288230991,9,6.90089999011434e-06,16,16,N1
187,223.07644,4482983,34.5,223.0764531741,10,1.3174100018886747e-05,15,11,O2
189,223.09757000000002,2286000,16.4,223.0975825429,5,1.254289998087188e-05,12,15,O4
190,223.11285,5188791,40.3,223.1128386829,9,1.1317100018004567e-05,16,15,O1
193,223.13396,2502464,18.2,223.13396805169998,4,8.051699978750548e-06,13,19,O3
194,224.07169,5444705,42.4,224.07170214590002,10,1.2145900029736367e-05,14,10,O2N1
195,225.09206,5470250,42.4,225.09210323850002,9,4.3238500012421355e-05,15,13,O2
196,225.12845,5995835,46.7,225.1284887473,8,3.874730001030002e-05,16,17,O1
197,225.14961,3942084,29.9,225.1496181161,3,8.116099991184456e-06,13,21,O3
200,225.18599999999998,76793944,627.9,225.1860036249,2,3.6249000174848334e-06,14,25,O2
201,226.08732,8662250,68.6,226.08735221030003,9,3.221030002009684e-05,14,12,O2N1
202,226.12375,1574267,10.4,226.1237377191,8,1.228089999472104e-05,15,16,O1N1
207,227.07132000000001,35920808,292.4,227.0713677941,9,4.7794099998554884e-05,14,11,O3
209,227.1077,2509625,18.1,227.1077533029,8,5.330289999960769e-05,15,15,O2
210,227.1289,3274307,24.4,227.1288826717,3,1.7328299975361006e-05,12,19,O4
212,227.20163,364714976,2991.4,227.2016536893,1,2.3689300007845304e-05,14,27,O2
214,228.16053,3190809,23.6,228.1605171523,2,1.284769999188029e-05,12,22,O3N1
217,229.05062,6574896,51.3,229.05063234969998,9,1.2349699971991868e-05,13,9,O4
218,229.08702999999997,3373376,25.1,229.08701785850002,8,1.2141499951212609e-05,14,13,O3
220,229.12342999999998,1526993,10.0,229.1234033673,7,2.6632699984929786e-05,15,17,O2
221,229.14449,3215707,23.8,229.14453273610002,2,4.273610002769601e-05,12,21,O4
225,230.09752999999998,148586768,1212.0,230.09752297030002,12,7.029699958138735e-06,17,12,N1
226,230.1186,1685434,11.3,230.1186523391,7,5.2339100022891216e-05,14,16,O2N1
229,231.08155,7166677,55.8,231.0815385541,12,1.1445899986028962e-05,17,11,O1
232,231.10266000000001,11473631,90.9,231.10266792289997,7,7.922899953882734e-06,14,15,O3
238,232.09794,1546090,10.1,232.09791689469998,7,2.3105300016368346e-05,13,14,O3N1
243,233.08194,11306608,89.5,233.0819324785,7,7.521500009488591e-06,13,13,O4
244,233.09717999999998,5502071,42.3,233.0971886185,11,8.618500032753218e-06,17,13,O1
245,233.11833,23740032,190.7,233.11831798729997,6,1.2012700011609923e-05,14,17,O3
247,233.15472000000003,34068112,274.7,233.1547034961,5,1.6503900013731254e-05,15,21,O2
248,234.09239,3845187,28.7,234.09243759030002,11,4.7590300027877674e-05,16,12,O1N1
249,234.11357999999998,2121805,14.7,234.11356695909998,6,1.3040900000760303e-05,13,16,O3N1
251,234.12877999999998,6031956,46.4,234.1288230991,10,4.309910002575634e-05,17,16,N1
257,235.07647999999998,2049545,14.1,235.0764531741,11,2.682589996538809e-05,16,11,O2
258,235.09753999999998,5643283,43.2,235.0975825429,6,4.2542900018816e-05,13,15,O4
259,235.11285,4090394,30.7,235.1128386829,10,1.1317100018004567e-05,17,15,O1
261,235.13395,1460132,9.4,235.13396805169998,5,1.8051699981924685e-05,14,19,O3
264,236.07166,1719893,11.5,236.07170214590002,11,4.214590001083707e-05,15,10,O2N1
267,236.10805,10748390,84.6,236.1080876547,10,3.7654700008715736e-05,16,14,O1N1
269,236.14446,24429558,195.4,236.1444731635,9,1.3163500000246131e-05,17,18,N1
270,237.05572,1627738,10.7,237.0557177297,11,2.270300001327996e-06,15,9,O3
272,237.09212000000002,5861803,44.8,237.09210323850002,10,1.6761500006623464e-05,16,13,O2
274,237.11317999999997,2312757,16.2,237.1132326073,5,5.260730003442404e-05,13,17,O4
276,237.12847999999997,4922556,37.2,237.1284887473,9,8.747300029199323e-06,17,17,O1
280,237.14956,3487814,25.7,237.1496181161,4,5.811609997863343e-05,14,21,O3
282,238.08736000000002,5130101,38.9,238.08735221030003,10,7.789699992599708e-06,15,12,O2N1
288,239.07136,6736952,51.8,239.0713677941,10,7.794100014280048e-06,15,11,O3
291,239.10778,4054089,30.2,239.1077533029,9,2.6697099997363694e-05,16,15,O2
292,239.12882000000002,6131795,47.0,239.1288826717,4,6.267169999318867e-05,13,19,O4
293,239.14412000000002,3516249,25.9,239.1441388117,8,1.8811699987963948e-05,17,19,O1
294,239.16527000000002,4879203,36.9,239.1652681805,3,1.8195000279774831e-06,14,23,O3
296,239.20164,18753908,148.7,239.2016536893,2,1.3689300004671168e-05,15,27,O2
297,240.10299999999998,9062415,70.3,240.1030022747,9,2.274700023008336e-06,15,14,O2N1
299,241.05061,3923518,29.0,241.05063234969998,10,2.2349699975166004e-05,14,9,O4
301,241.08697999999998,44412112,353.9,241.08701785850002,9,3.7858500036236364e-05,15,13,O3
303,241.12336000000002,5899488,44.9,241.1234033673,8,4.336729998044575e-05,16,17,O2
304,241.14452999999997,3271017,23.8,241.14453273610002,3,2.7361000434211746e-06,13,21,O4
305,241.18092000000001,12396793,97.0,241.1809182449,2,1.7551000155435759e-06,14,25,O3
306,241.21726,112100616,897.2,241.2173037537,1,4.3753699998205775e-05,15,29,O2
307,242.08229,2971921,21.4,242.08226683030003,9,2.3169699971958835e-05,14,12,O3N1
309,242.09749,3847064,28.4,242.09752297030002,13,3.29703000261361e-05,18,12,N1
310,242.13976,1736107,11.5,242.13978170790003,3,2.1707900032197358e-05,12,20,O4N1
311,242.17614,11623099,90.8,242.1761672167,2,2.7216700004828454e-05,13,24,O3N1
315,243.06627999999998,8337484,64.1,243.0662824141,9,2.414100009673348e-06,14,11,O4
316,243.08152,1842515,12.2,243.0815385541,13,1.8554099995071738e-05,18,11,O1
317,243.10267000000002,3605596,26.3,243.10266792289997,8,2.0771000492914027e-06,15,15,O3
318,243.11791000000002,1694307,11.1,243.1179240629,12,1.4062899964528697e-05,19,15,
320,243.16012999999998,2761206,19.6,243.16018280050002,2,5.2800500043304055e-05,13,23,O4
322,243.19659,2336390,16.2,243.1965683093,1,2.1690699981036232e-05,14,27,O3
329,244.06153999999998,3504649,25.5,244.0615313859,9,8.614099982651169e-06,13,10,O4N1
330,244.07675,5067792,38.0,244.07678752590002,13,3.752590001226963e-05,17,10,O1N1
332,244.11317000000003,132987424,1059.6,244.1131730347,12,3.03469997220418e-06,18,14,N1
333,244.13433999999998,1764265,11.6,244.13430240350002,7,3.7596499964820396e-05,15,18,O2N1
335,244.15583999999998,5165107,38.8,244.15543177230003,2,0.00040822769994974806,12,22,O4N1
342,245.08192000000003,3109837,22.4,245.0819324785,8,1.2478499968437973e-05,14,13,O4
345,245.09717999999998,6911444,52.7,245.0971886185,12,8.618500032753218e-06,18,13,O1
348,245.11832,10441693,80.9,245.11831798729997,7,2.0127000368574954e-06,15,17,O3
351,245.15446,2080877,14.1,245.1547034961,6,0.00024349610001195288,16,21,O2
353,246.05605,3185018,23.0,246.0560520815,13,2.0815000141283235e-06,16,8,O2N1
355,246.09242000000003,1739274,11.4,246.09243759030002,12,1.7590299989933555e-05,17,12,O1N1
359,246.11352999999997,1575059,10.1,246.11356695909998,7,3.695910001511038e-05,14,16,O3N1
365,247.09753999999998,7418176,56.5,247.0975825429,7,4.2542900018816e-05,14,15,O4
366,247.11282000000003,5690951,42.8,247.1128386829,11,1.8682899963096133e-05,18,15,O1
368,247.13395,13838159,107.5,247.13396805169998,6,1.8051699981924685e-05,15,19,O3
369,248.10804,5450228,40.8,248.1080876547,11,4.765470001188987e-05,17,14,O1N1
370,248.12918,2275709,15.6,248.1292170235,6,3.702349999912258e-05,14,18,O3N1
372,248.14442000000003,5270532,39.4,248.1444731635,10,5.316349998452097e-05,18,18,N1
375,249.09211000000002,2069784,14.0,249.09210323850002,11,6.761500003449328e-06,17,13,O2
376,249.11316000000002,4581025,33.9,249.1132326073,6,7.26072999839289e-05,14,17,O4
377,249.12845,2678311,18.8,249.1284887473,10,3.874730001030002e-05,18,17,O1
380,249.14959,3464112,25.1,249.1496181161,5,2.811609999753273e-05,15,21,O3
383,250.0873,3587900,25.9,250.08735221030003,11,5.221030002644511e-05,16,12,O2N1
384,250.1237,5517899,41.2,250.1237377191,10,3.7719099992727934e-05,17,16,O1N1
385,250.14481,3896276,28.3,250.1448670879,5,5.708789998948305e-05,14,20,O3N1
386,250.1601,13111386,101.2,250.16012322790002,9,2.3227900015854175e-05,18,20,N1
388,251.07131,3035990,21.5,251.0713677941,11,5.779410000172902e-05,16,11,O3
389,251.10772999999998,5786341,43.3,251.1077533029,10,2.330290001850699e-05,17,15,O2
392,251.1288,2468974,17.0,251.1288826717,5,8.267169999953694e-05,14,19,O4
393,251.14407000000003,2852724,20.1,251.1441388117,9,6.881169997541292e-05,18,19,O1
396,251.16526000000002,4096509,29.9,251.1652681805,4,8.180499975196653e-06,15,23,O3
397,251.20163,5618188,41.9,251.2016536893,3,2.3689300007845304e-05,16,27,O2
399,252.06662999999998,1479343,9.2,252.06661676590002,11,1.3234099952796896e-05,15,10,O3N1
400,252.10298999999998,3828350,27.8,252.1030022747,10,1.2274700026182472e-05,16,14,O2N1
405,253.08701000000002,9352460,71.5,253.08701785850002,10,7.858499998292245e-06,16,13,O3
406,253.1234,3747355,27.2,253.1234033673,9,3.367299996170914e-06,17,17,O2
407,253.14449,13605668,105.1,253.14453273610002,4,4.273610002769601e-05,14,21,O4
408,253.15966,1839658,12.1,253.1597888761,8,0.00012887610000689165,18,21,O1
410,253.21725,701057344,5540.8,253.2173037537,2,5.375370000137991e-05,16,29,O2
412,254.08223999999998,1644313,10.5,254.08226683030003,10,2.6830300043911848e-05,15,12,O3N1
413,254.0975,3451040,24.7,254.09752297030002,14,2.2970300022961965e-05,19,12,N1
414,254.11862000000002,8247976,62.4,254.1186523391,9,3.2339099988121234e-05,16,16,O2N1
419,255.06622000000002,7204892,54.2,255.0662824141,10,6.241409997187475e-05,15,11,O4
423,255.10265,39291944,306.6,255.10266792289997,9,1.792289995705687e-05,16,15,O3
426,255.13903,9395768,71.4,255.1390534317,8,2.3431700014953094e-05,17,19,O2
427,255.16015,2774720,19.4,255.16018280050002,3,3.280050003695578e-05,14,23,O4
433,256.09788,2988969,21.0,256.09791689469995,9,3.689469997425476e-05,15,14,O3N1
435,256.11312999999996,11996591,91.9,256.11317303469997,13,4.3034700013322436e-05,19,14,N1
440,257.08189,5888797,43.6,257.0819324785,9,4.247850000638209e-05,15,13,O4
441,257.09717,3299363,23.3,257.0971886185,13,1.8618500007505645e-05,19,13,O1
444,257.11834,3330859,23.6,257.1183179873,8,2.201270001478406e-05,16,17,O3
448,257.17582999999996,4525376,32.9,257.1758328649,2,2.8649000114455703e-06,14,25,O4
453,258.09244,8338068,62.8,258.0924375903,13,2.4097000164147175e-06,18,12,O1N1
455,258.12883,97218720,758.2,258.1288230991,12,6.900900018536049e-06,19,16,N1
457,259.07642000000004,1699704,10.8,259.0764531741,13,3.317409993996989e-05,18,11,O2
459,259.09757,3954176,28.5,259.0975825429,8,1.254289998087188e-05,15,15,O4
462,259.11284,6036485,44.8,259.11283868289996,12,1.3171000432521396e-06,19,15,O1
465,259.13395,8424461,63.4,259.1339680517,7,1.8051699953502975e-05,16,19,O3
467,259.19146,6311970,46.9,259.1914829293,1,2.292929997338433e-05,14,27,O4
470,260.07172,4812121,35.2,260.0717021459,13,1.785410000820775e-05,17,10,O2N1
473,260.1081,1709158,10.9,260.1080876547,12,1.2345299978733237e-05,18,14,O1N1
475,260.12919,1688685,10.7,260.12921702349996,7,2.7023499967526732e-05,15,18,O3N1
481,261.09212,2055355,13.5,261.0921032385,12,1.6761500035045174e-05,18,13,O2
485,261.11322,5445315,39.9,261.1132326073,7,1.2607299993305787e-05,15,17,O4
489,261.14959,7116495,52.9,261.1496181161,6,2.811609999753273e-05,16,21,O3
491,262.08734,4418573,31.9,262.0873522103,12,1.2210300042170275e-05,17,12,O2N1
