,m/z,I,S/N,em,dbe,error,C,H,Class
111,201.11325,3747214,29.4,201.1132326073,3,1.7392699987794913e-05,10,17,O4
114,202.08735,1730698,12.2,202.08735221030003,8,2.210300038996138e-06,12,12,O2N1
116,203.07138999999998,3707091,28.9,203.0713677941,8,2.2205899966820652e-05,12,11,O3
117,203.14415,2437353,18.2,203.1441388117,6,1.1188299993136752e-05,14,19,O1
118,204.08189,1566894,10.7,204.0818729059,12,1.709409997374678e-05,15,10,N1
119,205.05059,3992902,31.2,205.05063234969998,8,4.234969998151428e-05,11,9,O4
120,205.08705,14766162,122.0,205.08701785850002,7,3.214149998598259e-05,12,13,O3
121,205.15982,3411434,26.3,205.1597888761,5,3.112389998705112e-05,14,21,O1
122,206.08226000000002,2719900,20.4,206.08226683030003,7,6.830300009141865e-06,11,12,O3N1
125,206.09753999999998,5504801,43.8,206.09752297030002,11,1.7029699961312872e-05,15,12,N1
127,207.06632,2712876,20.3,207.0662824141,7,3.75859000030232e-05,11,11,O4
128,207.08158,12270577,100.6,207.0815385541,11,4.144589999555137e-05,15,11,O1
130,208.07684,8645965,70.1,208.07678752590002,11,5.247409998787589e-05,14,10,O1N1
132,208.11317,143224160,1200.2,208.1131730347,10,3.0347000006258895e-06,15,14,N1
134,209.09718,25845436,213.7,209.0971886185,10,8.618500004331509e-06,15,13,O1
139,209.11828,1446211,9.6,209.11831798729997,5,3.798729997583905e-05,12,17,O3
141,210.05604,5294364,41.8,210.0560520815,11,1.208150001730246e-05,13,8,O2N1
142,210.0924,1694570,11.7,210.09243759030002,10,3.759030002470354e-05,14,12,O1N1
146,211.07646,8083740,64.9,211.0764531741,10,6.825899987461526e-06,14,11,O2
148,211.11286,28795818,237.3,211.1128386829,9,2.1317100021178703e-05,15,15,O1
149,211.13397,2844145,21.2,211.13396805169998,4,1.948300024423588e-06,12,19,O3
150,212.07172999999997,4172185,32.3,212.07170214590002,10,2.785409995453847e-05,13,10,O2N1
152,212.10813,2377447,17.3,212.1080876547,9,4.234529998825565e-05,14,14,O1N1
155,213.05577000000002,2687130,19.9,213.0557177297,10,5.227030001719868e-05,13,9,O3
158,213.09212000000002,6803112,54.2,213.09210323850002,9,1.6761500006623464e-05,14,13,O2
159,213.14965,2301439,16.7,213.1496181161,3,3.188390002151209e-05,12,21,O3
161,213.18602,4491726,34.9,213.1860036249,2,1.637510001728515e-05,13,25,O2
165,214.14469,1615244,10.9,214.1448670879,3,0.00017708789999915098,11,20,O3N1
168,215.12891000000002,2815323,20.9,215.1288826717,3,2.732830000695685e-05,11,19,O4
171,216.08191000000002,256452960,2123.8,216.0818729059,13,3.709410000851676e-05,16,10,N1
172,216.10307999999998,1555565,10.4,216.1030022747,8,7.772529997396305e-05,13,14,O2N1
175,217.06588,6910464,54.6,217.0658884897,13,8.489700007885403e-06,16,9,O1
179,217.08706,5625097,44.0,217.08701785850002,8,4.214149998915673e-05,13,13,O3
181,217.12337999999997,1972440,13.8,217.1234033673,7,2.3367300030940896e-05,14,17,O2
182,217.15979,2056359,14.5,217.1597888761,6,1.1238999775287084e-06,15,21,O1
184,218.06117000000003,1843750,12.8,218.0611374615,13,3.253850002238323e-05,15,8,O1N1
187,218.09755,2914357,21.6,218.09752297030002,12,2.7029699992908718e-05,16,12,N1
188,219.06627999999998,6960726,54.7,219.0662824141,8,2.414100009673348e-06,12,11,O4
190,219.08154,12431196,99.7,219.0815385541,12,1.4458999828548258e-06,16,11,O1
192,219.1027,17338982,140.0,219.10266792289997,7,3.20771000303921e-05,13,15,O3
194,219.17542999999998,12300421,98.6,219.17543894050002,5,8.940500038079335e-06,15,23,O1
195,220.0768,2103758,14.8,220.07678752590002,12,1.2474099975179342e-05,15,10,O1N1
197,220.09792000000002,3884183,29.5,220.09791689469998,7,3.105300038441783e-06,12,14,O3N1
199,220.1132,19858974,160.7,220.1131730347,11,2.696530000889652e-05,16,14,N1
202,221.08197,5024073,38.8,221.0819324785,7,3.7521500019011e-05,12,13,O4
203,221.09721000000002,11983823,96.0,221.0971886185,11,2.13815000051909e-05,16,13,O1
206,221.15474,2714345,19.8,221.1547034961,5,3.650389999165782e-05,14,21,O2
208,222.09249,8394890,66.2,222.09243759030002,11,5.240969997544198e-05,15,12,O1N1
210,222.12887999999998,130098072,1061.7,222.1288230991,10,5.690089997756331e-05,16,16,N1
212,223.07647000000003,3075013,22.7,223.0764531741,11,1.682590001905737e-05,15,11,O2
215,223.11288,22581590,182.3,223.1128386829,10,4.131709999910527e-05,16,15,O1
220,223.13397,1459551,9.5,223.13396805169998,5,1.948300024423588e-06,13,19,O3
221,224.07177000000001,7783177,61.2,224.07170214590002,11,6.785409999565672e-05,14,10,O2N1
222,224.10813,2312985,16.5,224.1080876547,10,4.234529998825565e-05,15,14,O1N1
226,225.05579,1538059,10.1,225.0557177297,11,7.227029999512524e-05,14,9,O3
227,225.09212999999997,8755932,68.8,225.09210323850002,10,2.6761499952954182e-05,15,13,O2
228,225.12851,23683308,190.4,225.1284887473,9,2.1252700008744796e-05,16,17,O1
229,225.14968,2359030,16.8,225.1496181161,4,6.188390000261279e-05,13,21,O3
231,225.18607999999998,6877959,53.5,225.1860036249,3,7.637509997948655e-05,14,25,O2
233,226.08737999999997,12512935,99.4,226.08735221030003,10,2.7789699942104562e-05,14,12,O2N1
235,226.12377999999998,2088056,14.5,226.1237377191,9,4.228089997582174e-05,15,16,O1N1
241,227.07137000000003,13632112,108.5,227.0713677941,10,2.2059000173157983e-06,14,11,O3
243,227.10775,8458369,66.4,227.1077533029,9,3.3028999837370066e-06,15,15,O2
245,227.20168999999999,96050352,779.5,227.2016536893,2,3.6310699982777805e-05,14,27,O2
246,228.0666,2011009,13.8,228.06661676590002,10,1.6765900028303804e-05,13,10,O3N1
248,228.10297999999997,1650034,10.9,228.1030022747,9,2.227470002935661e-05,14,14,O2N1
252,229.05059,3592016,26.6,229.05063234969998,10,4.234969998151428e-05,13,9,O4
253,229.08704,1794209,12.1,229.08701785850002,9,2.2141499982808455e-05,14,13,O3
255,229.14452999999997,2450492,17.4,229.14453273610002,3,2.7361000434211746e-06,12,21,O4
260,230.0824,1485175,9.6,230.08226683030003,9,0.00013316969997845263,13,12,O3N1
262,230.09756000000002,753443328,6102.2,230.09752297030002,13,3.7029699996082854e-05,17,12,N1
265,231.08158999999998,16137169,127.7,231.0815385541,13,5.14458999703038e-05,17,11,O1
269,231.10267000000002,4521435,34.0,231.10266792289997,8,2.0771000492914027e-06,14,15,O3
272,232.07677999999999,2049067,14.1,232.07678752590002,13,7.525900031168931e-06,16,10,O1N1
276,232.09799999999998,2404917,16.9,232.09791689469998,8,8.310530000699146e-05,13,14,O3N1
278,232.11312999999998,2645052,18.9,232.1131730347,12,4.3034700013322436e-05,17,14,N1
279,232.13435,1824454,12.3,232.13430240350002,7,4.759649999641624e-05,14,18,O2N1
281,233.08199,5750923,43.9,233.0819324785,8,5.7521499996937564e-05,13,13,O4
283,233.0972,25337746,201.8,233.0971886185,12,1.1381499973595055e-05,17,13,O1
286,233.11838999999998,11280284,88.5,233.11831798729997,7,7.201270000223303e-05,14,17,O3
288,233.15478,12064174,94.8,233.1547034961,6,7.650389997593265e-05,15,21,O2
289,234.07728999999998,1464167,9.3,234.0771814503,8,0.00010854969997353692,12,12,O4N1
290,234.09246000000002,5263471,39.8,234.09243759030002,12,2.240969999434128e-05,16,12,O1N1
292,234.11365,2412281,16.9,234.11356695909998,7,8.304090002297926e-05,13,16,O3N1
294,234.12885,27779456,220.4,234.1288230991,11,2.6900899996462613e-05,17,16,N1
299,235.07655,2205894,15.2,235.0764531741,12,9.682589998760704e-05,16,11,O2
300,235.09762,2562000,18.1,235.0975825429,7,3.745710000657709e-05,13,15,O4
301,235.11292999999998,9293656,72.1,235.1128386829,11,9.131709998655424e-05,17,15,O1
305,235.17032999999998,1727731,11.4,235.17035356050002,5,2.356050003982091e-05,15,23,O2
308,236.07176,2258468,15.7,236.07170214590002,12,5.785409999248259e-05,15,10,O2N1
311,236.10816,7305013,56.1,236.1080876547,11,7.234529999777806e-05,16,14,O1N1
313,236.14453999999998,96595272,772.5,236.1444731635,10,6.683649996830354e-05,17,18,N1
315,237.09217999999998,9622285,74.3,237.09210323850002,11,7.676149996882486e-05,16,13,O2
317,237.11324,3119128,22.4,237.1132326073,6,7.392699984620776e-06,13,17,O4
319,237.12857000000002,22123294,174.1,237.1284887473,10,8.125270002778961e-05,17,17,O1
324,237.14962999999997,2858921,20.4,237.1496181161,5,1.1883899986742108e-05,14,21,O3
327,238.08742,9370859,72.3,238.08735221030003,11,6.778969998322282e-05,15,12,O2N1
329,238.12374,1709436,11.2,238.1237377191,10,2.280899991546903e-06,16,16,O1N1
341,239.07145,3694915,27.0,239.0713677941,11,8.220589998586547e-05,15,11,O3
343,239.10783999999998,9762516,75.5,239.1077533029,10,8.66970999879868e-05,16,15,O2
344,239.12888999999998,5733854,43.3,239.1288826717,5,7.328299972186869e-06,13,19,O4
345,239.14417999999998,16806630,131.7,239.1441388117,9,4.118829997423745e-05,17,19,O1
346,239.16527000000002,2109168,14.4,239.1652681805,4,1.8195000279774831e-06,14,23,O3
347,239.20171000000002,7419649,56.8,239.2016536893,3,5.631070001754779e-05,15,27,O2
348,240.08185,3001382,21.4,240.0818729059,15,2.2905900010528057e-05,18,10,N1
349,240.10308999999998,13801648,107.1,240.1030022747,10,8.772529997713718e-05,15,14,O2N1
351,240.13938,1811202,11.9,240.1393877835,9,7.78350002406114e-06,16,18,O1N1
357,241.08702999999997,17328774,135.1,241.08701785850002,10,1.2141499951212609e-05,15,13,O3
359,241.12342999999998,6392216,48.3,241.1234033673,9,2.6632699984929786e-05,16,17,O2
360,241.14461,2686882,18.9,241.14453273610002,4,7.726389998197192e-05,13,21,O4
361,241.18099999999998,2880307,20.4,241.1809182449,3,8.175509998409325e-05,14,25,O3
362,241.21732999999998,48494276,382.6,241.2173037537,2,2.624629996716976e-05,15,29,O2
364,242.08232,3095904,22.1,242.08226683030003,10,5.3169699981481244e-05,14,12,O3N1
