,m/z,I,S/N,em,dbe,error,C,H,Class
5481,200.1081,1788732,12.8,200.1080876547,7,1.2345300007154947e-05,13,14,O1N1
5483,200.12978,9571394,79.4,200.1292170235,2,0.0005629765000207954,10,18,O3N1
5484,200.14449,2735814,20.9,200.1444731635,6,1.683649998085457e-05,14,18,N1
5601,201.11321999999998,1873893,13.5,201.1132326073,2,1.2607300021727497e-05,10,17,O4
5604,201.12847,2772714,21.2,201.1284887473,6,1.874730000395175e-05,14,17,O1
5703,202.0873,2796561,21.4,202.08735221030003,7,5.221030002644511e-05,12,12,O2N1
5711,202.1238,1083868,6.8,202.1237377191,6,6.228089998217001e-05,13,16,O1N1
5817,203.07129,2058122,15.1,203.0713677941,7,7.77941000080773e-05,12,11,O3
5820,203.10771,2194678,16.2,203.1077533029,6,4.330289999643355e-05,13,15,O2
5825,203.14412,6727458,54.9,203.1441388117,5,1.8811700016385657e-05,14,19,O1
5920,204.08189,1349175,9.0,204.0818729059,11,1.709409997374678e-05,15,10,N1
5922,204.10301,2272606,16.8,204.1030022747,6,7.72530000858751e-06,12,14,O2N1
5932,204.17537,1102598,6.9,204.17577329230002,4,0.00040329230003521843,14,22,N1
6029,205.08708000000001,3910380,30.8,205.08701785850002,6,6.2141499995505e-05,12,13,O3
6034,205.12323999999998,1588856,11.0,205.1234033673,5,0.0001633673000185354,13,17,O2
6038,205.15982,12358021,102.6,205.1597888761,4,3.112389998705112e-05,14,21,O1
6134,206.0823,2289160,16.9,206.08226683030003,6,3.316969997513297e-05,11,12,O3N1
6139,206.09755,3571789,27.8,206.09752297030002,10,2.7029699992908718e-05,15,12,N1
6233,207.06624,1455081,9.8,207.0662824141,6,4.2414099993948184e-05,11,11,O4
6237,207.08158,5748398,46.2,207.0815385541,10,4.144589999555137e-05,15,11,O1
6247,207.13906,1014563,6.1,207.1390534317,4,6.5682999945693155e-06,13,19,O2
6323,208.07681000000002,3273245,25.3,208.07678752590002,10,2.247410000677519e-05,14,10,O1N1
6329,208.11316000000002,101350312,856.6,208.1131730347,9,1.3034699975378317e-05,15,14,N1
6431,209.09716,15707934,130.2,209.0971886185,9,2.861850001067978e-05,15,13,O1
6528,210.05592000000001,1424816,9.5,210.0560520815,10,0.00013208149999854868,13,8,O2N1
6530,210.09243999999998,1110414,6.9,210.09243759030002,9,2.4096999595712987e-06,14,12,O1N1
6537,210.12951,1084300,6.7,210.1288230991,8,0.0006869009000070037,15,16,N1
6621,211.07637999999997,4076322,31.8,211.0764531741,9,7.317410003793157e-05,14,11,O2
6628,211.11286,11936816,98.0,211.1128386829,8,2.1317100021178703e-05,15,15,O1
6629,211.13398999999998,2221689,16.2,211.13396805169998,3,2.1948300002350152e-05,12,19,O3
6633,211.17032999999998,1887559,13.4,211.17035356050002,2,2.356050003982091e-05,13,23,O2
6700,212.10814,2717313,20.4,212.1080876547,8,5.2345299991429783e-05,14,14,O1N1
6705,212.14447,1806415,12.7,212.1444731635,7,3.1634999970719946e-06,15,18,N1
6787,213.09214,2567252,19.1,213.09210323850002,8,3.676149998455003e-05,14,13,O2
6795,213.12842999999998,1534979,10.4,213.1284887473,7,5.8747300016648296e-05,15,17,O1
6803,213.18599999999998,4661499,36.7,213.1860036249,1,3.6249000174848334e-06,13,25,O2
6889,214.08737999999997,1809331,12.7,214.08735221030003,8,2.7789699942104562e-05,13,12,O2N1
6891,214.12374,2196162,15.9,214.1237377191,7,2.280899991546903e-06,14,16,O1N1
6898,214.16016000000002,4054801,31.5,214.16012322790002,6,3.6772100003190644e-05,15,20,N1
6985,215.07134,1331219,8.7,215.0713677941,8,2.779410002062832e-05,13,11,O3
6988,215.10778,1055107,6.4,215.1077533029,7,2.6697099997363694e-05,14,15,O2
6990,215.12888999999998,1090028,6.7,215.1288826717,2,7.328299972186869e-06,11,19,O4
6994,215.14418999999998,6667699,53.4,215.1441388117,6,5.118829997741159e-05,15,19,O1
7072,216.08189,32808006,272.7,216.0818729059,12,1.709409997374678e-05,16,10,N1
7075,216.10302000000001,3397327,26.0,216.1030022747,7,1.7725300011761647e-05,13,14,O2N1
7082,216.13942999999998,1453823,9.7,216.1393877835,6,4.221649996338783e-05,14,18,O1N1
