,m/z,I,S/N,em,dbe,error,C,H,Class
79,200.10811999999999,1874008,13.5,200.1080876547,7,3.234529998508151e-05,13,14,O1N1
81,201.11328,1164557,7.5,201.1132326073,2,4.739269999731732e-05,10,17,O4
85,202.0872,1283525,8.5,202.08735221030003,7,0.00015221030002976477,12,12,O2N1
87,203.07146,1156360,7.4,203.0713677941,7,9.220589998903961e-05,12,11,O3
88,203.10783,1282322,8.4,203.1077533029,6,7.669710001323438e-05,13,15,O2
89,203.14421000000002,1548507,10.7,203.1441388117,5,7.118830001218157e-05,14,19,O1
90,204.16143,1155218,7.3,204.1605171523,0,0.0009128476999933355,10,22,O3N1
93,205.05065,1147244,7.3,205.05063234969998,7,1.7650300009108832e-05,11,9,O4
95,205.08709,3855991,30.3,205.08701785850002,6,7.214149997025743e-05,12,13,O3
96,205.12333999999998,1317121,8.7,205.1234033673,5,6.336730001521573e-05,13,17,O2
97,205.15984,3315404,25.7,205.1597888761,4,5.112389999339939e-05,14,21,O1
99,208.07689,2258870,16.6,208.07678752590002,10,0.00010247409997532486,14,10,O1N1
100,208.11324,19162240,159.8,208.1131730347,9,6.696529999317136e-05,15,14,N1
103,209.09729,2629432,19.7,209.0971886185,9,0.00010138149997374057,15,13,O1
106,209.1548,1191307,7.6,209.1547034961,3,9.650389998228093e-05,13,21,O2
108,211.11298,1961389,14.0,211.1128386829,8,0.00014131710000242492,15,15,O1
109,211.13406,3353172,25.7,211.13396805169998,3,9.194830002456911e-05,12,19,O3
110,211.17047999999997,3826528,29.7,211.17035356050002,2,0.00012643949995094772,13,23,O2
111,212.10824,1725150,12.0,212.1080876547,8,0.00015234529999474944,14,14,O1N1
112,213.0922,1415411,9.4,213.09210323850002,8,9.676149997517314e-05,14,13,O2
114,213.18604,18863892,156.2,213.1860036249,1,3.637509999521171e-05,13,25,O2
118,214.12382000000002,1639711,11.3,214.1237377191,7,8.228090001694e-05,14,16,O1N1
121,215.14422000000002,1292047,8.4,215.1441388117,6,8.118830001535571e-05,15,19,O1
126,216.08202000000003,5580582,44.3,216.0818729059,12,0.00014709410001501055,16,10,N1
127,217.08716,2749725,20.5,217.08701785850002,7,0.00014214149999247638,13,13,O3
130,217.12351,1752874,12.2,217.1234033673,6,0.00010663270001032288,14,17,O2
132,217.15992000000003,1728440,12.0,217.1597888761,5,0.00013112390001879248,15,21,O1
134,219.06642000000002,1819087,12.7,219.0662824141,7,0.00013758590003476456,12,11,O4
137,219.10279,3763421,28.9,219.10266792289997,6,0.00012207710003053762,13,15,O3
138,219.13918999999999,2028331,14.4,219.1390534317,5,0.00013656829997898967,14,19,O2
139,219.17553999999998,6495674,51.6,219.17543894050002,4,0.00010105949996841446,15,23,O1
140,220.09797999999998,1579041,10.7,220.09791689469998,6,6.310530000064318e-05,12,14,O3N1
142,220.11331,4002727,30.8,220.1131730347,10,0.0001369653000153903,16,14,N1
145,221.08202999999997,2744870,20.4,221.0819324785,6,9.75214999812124e-05,12,13,O4
147,221.09729,2272940,16.4,221.0971886185,10,0.00010138149997374057,16,13,O1
149,221.15476,1314115,8.5,221.1547034961,4,5.650389999800609e-05,14,21,O2
152,222.09257000000002,4681146,36.4,222.09243759030002,10,0.00013240970000083507,15,12,O1N1
154,222.12894,36167240,297.5,222.1288230991,9,0.00011690089999660813,16,16,N1
156,223.07655,1202888,7.5,223.0764531741,10,9.682589998760704e-05,15,11,O2
158,223.11293999999998,4408535,34.1,223.1128386829,9,0.00010131709998972838,16,15,O1
163,223.13406,1656672,11.3,223.13396805169998,4,9.194830002456911e-05,13,19,O3
165,223.17041,2612078,19.2,223.17035356050002,3,5.6439499985572184e-05,14,23,O2
166,224.07182000000003,1923167,13.5,224.07170214590002,10,0.00011785410001152741,14,10,O2N1
168,225.09214,1814853,12.5,225.09210323850002,9,3.676149998455003e-05,15,13,O2
169,225.11336,1476238,9.7,225.1132326073,4,0.0001273926999942887,12,17,O4
170,225.12854,3347093,25.2,225.1284887473,8,5.1252699989845496e-05,16,17,O1
172,225.14976000000001,4295710,33.0,225.1496181161,3,0.00014188390002800588,13,21,O3
175,225.18613,23879468,194.8,225.1860036249,2,0.00012637509999535723,14,25,O2
177,226.08746000000002,2268581,16.3,226.08735221030003,9,0.00010778969999591936,14,12,O2N1
178,226.12382999999997,1885749,13.1,226.1237377191,8,9.228089996327071e-05,15,16,O1N1
180,227.07143,1420740,9.3,227.0713677941,9,6.22058999795172e-05,14,11,O3
181,227.10787000000002,1814227,12.5,227.1077533029,8,0.00011669710002593092,15,15,O2
183,227.20177999999999,109651576,903.6,227.2016536893,1,0.00012631069998292332,14,27,O2
186,228.10306,1345211,8.6,228.1030022747,8,5.772529999603648e-05,14,14,O2N1
187,228.13948,1446474,9.4,228.1393877835,7,9.221649997925851e-05,15,18,O1N1
188,228.17587999999998,1189978,7.3,228.17577329230002,6,0.00010670769995613227,16,22,N1
191,229.15984,1351680,8.6,229.1597888761,6,5.112389999339939e-05,16,21,O1
193,230.09767000000002,31254356,254.8,230.09752297030002,12,0.00014702970000257665,17,12,N1
194,230.1187,2015454,14.1,230.1186523391,7,4.766089998042844e-05,14,16,O2N1
197,231.08164,1820800,12.5,231.0815385541,12,0.00010144589998617448,17,11,O1
200,231.10273999999998,4663561,35.8,231.10266792289997,7,7.207710001466694e-05,14,15,O3
202,231.13907999999998,2132953,15.0,231.1390534317,6,2.656829997249588e-05,15,19,O2
203,231.17559,1702313,11.5,231.17543894050002,5,0.00015105949998428514,16,23,O1
205,232.09807,1211324,7.5,232.09791689469998,7,0.0001531053000292104,13,14,O3N1
206,232.11322,1490435,9.7,232.1131730347,11,4.696530001524479e-05,17,14,N1
207,232.13437000000002,1898572,13.1,232.13430240350002,6,6.759650000276451e-05,14,18,O2N1
208,233.08203999999998,2583533,18.7,233.0819324785,7,0.00010752149998438654,13,13,O4
211,233.09725,1545715,10.2,233.0971886185,11,6.138149998946574e-05,17,13,O1
212,233.11846,3362941,25.1,233.11831798729997,6,0.000142012700024452,14,17,O3
214,233.15483999999998,5468301,42.4,233.1547034961,5,0.00013650389996655576,15,21,O2
215,233.19122000000002,4936605,38.0,233.1910890049,4,0.00013099510002234638,16,25,O1
218,234.09255,1900971,13.0,234.09243759030002,11,0.00011240969996606509,16,12,O1N1
220,234.12887,8735291,68.9,234.1288230991,10,4.6900900002810886e-05,17,16,N1
223,235.09767000000002,1497929,9.8,235.0975825429,6,8.745710002244778e-05,13,15,O4
224,235.11305,1728112,11.6,235.1128386829,10,0.00021131709999622217,17,15,O1
227,235.13397,1312569,8.2,235.13396805169998,5,1.948300024423588e-06,14,19,O3
229,235.17045,1578633,10.4,235.17035356050002,4,9.643949996984702e-05,15,23,O2
