,m/z,I,S/N,em,dbe,error,C,H,Class
20687,589.5929,24850496,135.7,589.5929052993,2,5.299300028127618e-06,40,77,O2
20692,590.40069,4395710,22.2,590.4003534983001,16,0.0003365016999623549,41,52,O2N1
20694,590.4218599999999,2025409,9.1,590.4214828671,11,0.00037713289987095777,38,56,O4N1
20699,590.45863,1669575,7.1,590.4578683759,10,0.0007616240999368529,39,60,O3N1
20701,590.4729,1909321,8.5,590.4731245159,14,0.00022451590007221967,43,60,N1
20703,590.49432,9276621,49.3,590.4942538847,9,6.611530000100174e-05,40,64,O2N1
20706,590.51536,13166800,70.9,590.5153832535001,4,2.3253500103237457e-05,37,68,O4N1
20716,591.4205599999999,1613023,6.8,591.4207545909001,15,0.0001945909001506152,42,55,O2
20722,591.47837,5523816,28.5,591.4782694685,9,0.00010053150003841438,40,63,O3
20726,591.51437,10153325,54.2,591.5146549773,8,0.0002849772999979905,41,67,O2
20729,591.53566,11143537,59.7,591.5357843461001,3,0.00012434610005129798,38,71,O4
20732,591.6084599999999,19702140,107.1,591.6085553637,1,9.536370009755046e-05,40,79,O2
20740,592.41585,8687100,46.0,592.4160035627,15,0.00015356270000665972,41,54,O2N1
20742,592.43692,3199999,15.6,592.4371329315001,10,0.0002129315000729548,38,58,O4N1
20749,592.4734900000001,1839365,8.1,592.4735184403,9,2.8440299956855597e-05,39,62,O3N1
20751,592.48816,1865736,8.2,592.4887745803001,13,0.0006145803000663363,43,62,N1
20755,592.5310400000001,13750798,74.1,592.5310333179001,3,6.682099979116174e-06,37,70,O4N1
20766,593.43625,1692319,7.2,593.4364046553,14,0.0001546552999798223,42,57,O2
20772,593.49395,5858984,30.4,593.4939195329,8,3.0467100032183225e-05,40,65,O3
20777,593.53027,19321518,105.0,593.5303050417,7,3.504170001633611e-05,41,69,O2
20779,593.55133,12487345,67.1,593.5514344105001,2,0.00010441050005738362,38,73,O4
20780,593.56695,1832115,8.0,593.5666905505001,6,0.00025944949993572664,42,73,O1
20788,594.4318099999999,7299902,38.0,594.4316536271,14,0.00015637289993719605,41,56,O2N1
20790,594.45296,4007746,19.9,594.4527829959001,9,0.00017700409989629406,38,60,O4N1
20795,594.50478,2732106,12.9,594.5044246447001,12,0.0003553552999164822,43,64,N1
20805,595.41519,2118877,9.5,595.4156692109001,14,0.0004792109000391065,41,55,O3
20809,595.4520200000001,3019747,14.5,595.4520547197,13,3.471969989732315e-05,42,59,O2
20816,595.5096599999999,5808108,29.8,595.5095695973,7,9.04026999251073e-05,40,67,O3
20819,595.54589,20108274,108.4,595.5459551061,6,6.510610000987072e-05,41,71,O2
20820,595.56692,20804598,112.2,595.5670844749001,1,0.00016447490008886234,38,75,O4
20821,595.58236,2364792,10.9,595.5823406149001,5,1.938509990395687e-05,42,75,O1
20829,596.4103700000001,2004350,8.9,596.4109181827,14,0.0005481826999584882,40,54,O3N1
20834,596.44727,9969796,52.7,596.4473036915,13,3.36914999934379e-05,41,58,O2N1
20837,596.46838,6268040,32.3,596.4684330603001,8,5.3060300047036435e-05,38,62,O4N1
20854,597.4313599999999,2677030,12.6,597.4313192753,13,4.0724699942984444e-05,41,57,O3
20858,597.4677,3411756,16.6,597.4677047841,12,4.78409992865636e-06,42,61,O2
20860,597.4888599999999,3711791,18.3,597.4888341529,7,2.584709989150724e-05,39,65,O4
