,m/z,I,S/N,em,dbe,error,C,H,Class
5617,201.1132,1961387,14.3,201.1132326073,2,3.260729999965406e-05,10,17,O4
5618,201.12837,1185231,7.7,201.1284887473,6,0.0001187473000072714,14,17,O1
5850,203.14415,2014827,14.7,203.1441388117,5,1.1188299993136752e-05,14,19,O1
5936,204.04582,1007208,6.1,204.0454873971,12,0.0003326028999879327,14,6,O1N1
6028,205.08703,1110168,7.0,205.08701785850002,6,1.2141499979634318e-05,12,13,O3
6039,205.15977,6128015,49.8,205.1597888761,4,1.8876100000397855e-05,14,21,O1
6129,206.09788999999998,1015768,6.1,206.09752297030002,10,0.0003670296999587208,15,12,N1
6227,207.08153000000001,3739000,29.3,207.0815385541,10,8.554099991897601e-06,15,11,O1
6320,208.11312,32011344,269.8,208.1131730347,9,5.303469998807486e-05,15,14,N1
6406,209.09714,4889888,39.0,209.0971886185,9,4.8618500017028055e-05,15,13,O1
6590,211.0765,1884378,13.4,211.0764531741,9,4.682590000015807e-05,14,11,O2
6594,211.11282999999997,3052519,23.3,211.1128386829,8,8.682900016765416e-06,15,15,O1
6597,211.13392000000002,1257215,8.1,211.13396805169998,3,4.8051699963025385e-05,12,19,O3
6602,211.17036000000002,1557052,10.7,211.17035356050002,2,6.43949999812321e-06,13,23,O2
6785,213.09207999999998,1051005,6.4,213.09210323850002,8,2.323850003449479e-05,14,13,O2
6786,213.1133,1205381,7.7,213.1132326073,3,6.73927000036656e-05,11,17,O4
6788,213.12847000000002,1107339,6.9,213.1284887473,7,1.874729997553004e-05,15,17,O1
6795,213.18599,9388640,76.9,213.1860036249,1,1.362489999223726e-05,13,25,O2
6972,215.12884,1279811,8.3,215.1288826717,2,4.2671700015262104e-05,11,19,O4
6977,215.14417999999998,2301897,16.9,215.1441388117,6,4.118829997423745e-05,15,19,O1
7073,216.08185,8389045,68.3,216.0818729059,12,2.2905900010528057e-05,16,10,N1
7079,216.13927,1200907,7.6,216.1393877835,6,0.00011778350000213322,14,18,O1N1
7153,217.08688999999998,1105345,6.8,217.08701785850002,7,0.00012785850003638188,13,13,O3
7162,217.15976,2907358,22.0,217.1597888761,5,2.887610000357199e-05,15,21,O1
7302,219.13911000000002,1187640,7.5,219.1390534317,5,5.656830001044e-05,14,19,O2
7307,219.17543999999998,10578567,86.2,219.17543894050002,4,1.0594999650948012e-06,15,23,O1
7391,220.11317000000003,1867334,13.2,220.1131730347,10,3.03469997220418e-06,16,14,N1
7471,221.09718999999998,4833180,38.0,221.0971886185,10,1.3814999704209185e-06,16,13,O1
7476,221.15472000000003,1885428,13.3,221.1547034961,4,1.6503900013731254e-05,14,21,O2
7550,222.09243999999998,1701498,11.7,222.09243759030002,10,2.4096999595712987e-06,15,12,O1N1
7559,222.12885,38070600,315.8,222.1288230991,9,2.6900899996462613e-05,16,16,N1
7639,223.11282999999997,8287974,66.8,223.1128386829,9,8.682900016765416e-06,16,15,O1
7642,223.17033999999998,1431230,9.5,223.17035356050002,3,1.3560500036646772e-05,14,23,O2
7789,225.09208999999998,2050606,14.6,225.09210323850002,9,1.3238500031320655e-05,15,13,O2
7796,225.12843999999998,3903166,30.0,225.1284887473,8,4.874730001347416e-05,16,17,O1
7800,225.14959,1151910,7.1,225.1496181161,3,2.811609999753273e-05,13,21,O3
7803,225.18601,3915606,30.1,225.1860036249,2,6.3751000141110126e-06,14,25,O2
7975,227.10775,1713807,11.8,227.1077533029,8,3.3028999837370066e-06,15,15,O2
7980,227.12896,1485464,9.9,227.1288826717,3,7.732829999440582e-05,12,19,O4
7982,227.14392,1116575,6.8,227.1441388117,7,0.00021881169999460326,16,19,O1
7988,227.16529,1244456,7.9,227.1652681805,2,2.1819500005904047e-05,13,23,O3
7992,227.20167,47010232,389.3,227.2016536893,1,1.6310700004851242e-05,14,27,O2
8147,229.15984,2199688,15.8,229.1597888761,6,5.112389999339939e-05,16,21,O1
8215,230.09756000000002,38854304,320.3,230.09752297030002,12,3.7029699996082854e-05,17,12,N1
8292,231.08156,2858829,21.2,231.0815385541,12,2.14458999892031e-05,17,11,O1
8299,231.17545,3439990,26.0,231.17543894050002,5,1.1059499996690647e-05,16,23,O1
8441,233.08196,1190519,7.3,233.0819324785,7,2.7521500015836864e-05,13,13,O4
8443,233.09714,2970557,22.1,233.0971886185,11,4.8618500017028055e-05,17,13,O1
8447,233.11836,1750855,12.0,233.11831798729997,6,4.201270002113233e-05,14,17,O3
8453,233.15472999999997,5798359,45.5,233.1547034961,5,2.6503899960061972e-05,15,21,O2
8457,233.1911,10729446,86.3,233.1910890049,4,1.099510001267845e-05,16,25,O1
8522,234.1288,5957504,46.7,234.1288230991,10,2.309909999098636e-05,17,16,N1
8589,235.11286,6030382,47.3,235.1128386829,10,2.1317100021178703e-05,17,15,O1
8656,236.10805,1715551,11.6,236.1080876547,10,3.7654700008715736e-05,16,14,O1N1
8658,236.14447,28284142,230.9,236.1444731635,9,3.1634999970719946e-06,17,18,N1
8713,237.12849,7977627,63.1,237.1284887473,9,1.252700002396523e-06,17,17,O1
8721,237.18595,1963572,13.6,237.1860036249,3,5.3624900004933806e-05,15,25,O2
8765,238.01377999999997,1072058,6.3,238.01458119270004,12,0.0008011927000666219,13,4,O4N1
8848,239.10781,1490867,9.7,239.1077533029,9,5.66971000068861e-05,16,15,O2
8851,239.12887,2004348,14.0,239.1288826717,4,1.2671700005739694e-05,13,19,O4
8853,239.14412000000002,3182338,23.7,239.1441388117,8,1.8811699987963948e-05,17,19,O1
8858,239.20167,5372955,41.7,239.2016536893,2,1.6310700004851242e-05,15,27,O2
8902,240.0818,1215253,7.4,240.0818729059,14,7.290590002639874e-05,18,10,N1
8965,241.12345,1186003,7.2,241.1234033673,8,4.663269999127806e-05,16,17,O2
8969,241.14459,1161628,7.0,241.14453273610002,3,5.7263899975623644e-05,13,21,O4
8971,241.15981000000002,1858018,12.7,241.1597888761,7,2.112390001229869e-05,17,21,O1
8972,241.18093,1111019,6.6,241.1809182449,2,1.1755099990296003e-05,14,25,O3
8975,241.21731,33245562,270.0,241.2173037537,1,6.246299989243198e-06,15,29,O2
9024,242.17616,3508242,26.2,242.1761672167,2,7.2166999984801805e-06,13,24,O3N1
9082,243.17545,2360631,16.8,243.17543894050002,6,1.1059499996690647e-05,17,23,O1
9139,244.11319,89179712,725.8,244.1131730347,12,1.6965300005722384e-05,18,14,N1
9176,245.08288,1045202,6.0,245.0819324785,8,0.0009475214999952186,14,13,O4
9179,245.09717,5274584,40.6,245.0971886185,12,1.8618500007505645e-05,18,13,O1
9184,245.11905,1068833,6.2,245.11831798729997,7,0.0007320127000127741,15,17,O3
9191,245.19111,4439551,33.7,245.1910890049,5,2.0995100015852586e-05,17,25,O1
9306,247.11283999999998,6252816,48.4,247.1128386829,11,1.3170999864087207e-06,18,15,O1
9311,247.17033999999998,1699879,11.3,247.17035356050002,5,1.3560500036646772e-05,16,23,O2
9315,247.20676,10039606,79.2,247.2067390693,4,2.093070000341868e-05,17,27,O1
9361,248.14442999999997,8814767,69.2,248.1444731635,10,4.316350003819025e-05,18,18,N1
9421,249.1285,4437814,33.6,249.1284887473,10,1.125270000557066e-05,18,17,O1
9424,249.14961,1700414,11.3,249.1496181161,5,8.116099991184456e-06,15,21,O3
9431,249.25877999999997,1092457,6.4,249.2587746425,2,5.35749998675783e-06,18,33,
9468,250.12362000000002,1425660,9.0,250.1237377191,10,0.00011771909998969932,17,16,O1N1
9471,250.14484,2498884,17.7,250.1448670879,5,2.708790000838235e-05,14,20,O3N1
9474,250.16013999999998,20423626,163.0,250.16012322790002,9,1.6772099968420662e-05,18,20,N1
9529,251.10772999999998,1098873,6.4,251.1077533029,10,2.330290001850699e-05,17,15,O2
9535,251.14411,5871431,45.1,251.1441388117,9,2.8811699991138084e-05,18,19,O1
9538,251.16526000000002,1184751,7.1,251.1652681805,4,8.180499975196653e-06,15,23,O3
9541,251.20172999999997,2033821,14.0,251.2016536893,3,7.631069996705264e-05,16,27,O2
9671,253.12342,1707698,11.3,253.1234033673,9,1.663270001017736e-05,17,17,O2
9674,253.14456,4377146,33.0,253.14453273610002,4,2.7263899994522944e-05,14,21,O4
9675,253.15982000000002,2677824,19.2,253.1597888761,8,3.112390001547283e-05,18,21,O1
9680,253.21733999999998,22266964,178.0,253.2173037537,2,3.62462999703439e-05,16,29,O2
9733,254.11862999999997,1297376,8.0,254.1186523391,9,2.2339100041790516e-05,16,16,O2N1
9795,255.1391,1831057,12.3,255.1390534317,8,4.656830000726586e-05,17,19,O2
9799,255.17547000000002,1994142,13.6,255.17543894050002,7,3.105950000303892e-05,18,23,O1
9802,255.19664,1567845,10.1,255.1965683093,2,7.169069999690691e-05,15,27,O3
9856,256.11317,2600298,18.5,256.11317303469997,13,3.0346999437824707e-06,19,14,N1
9896,257.09729,1395007,8.7,257.0971886185,13,0.00010138149997374057,19,13,O1
9904,257.13362,1315788,8.1,257.1335741273,12,4.5872700013660506e-05,20,17,
9909,257.15476,1182291,7.0,257.1547034961,7,5.650389999800609e-05,17,21,O2
9910,257.17514,1068122,6.1,257.1758328649,2,0.0006928648999746656,14,25,O4
9912,257.1911,1152735,6.7,257.1910890049,6,1.099510001267845e-05,18,25,O1
9956,258.0925,2547601,17.9,258.0924375903,13,6.240969997861612e-05,18,12,O1N1
9960,258.12887,106670880,854.6,258.1288230991,12,4.6900900031232595e-05,19,16,N1
10008,259.09853,1101310,6.3,259.0975825429,8,0.0009474570999827847,15,15,O4
10013,259.11289,6217826,47.4,259.11283868289996,12,5.131710003070111e-05,19,15,O1
10019,259.1704,1333877,8.2,259.1703535605,6,4.643949995397634e-05,17,23,O2
10023,259.20673999999997,3563393,26.1,259.2067390693,5,9.306999686486961e-07,18,27,O1
10066,260.09292999999997,1188447,7.0,260.0928315147,8,9.848529998635058e-05,14,14,O4N1
10106,261.0709,1062899,6.0,261.0709738697,17,7.386970003153692e-05,21,9,
10113,261.12851,7589605,58.2,261.12848874729997,11,2.1252700037166505e-05,19,17,O1
10120,261.18601,1280758,7.7,261.18600362489997,5,6.375100042532722e-06,17,25,O2
10123,261.22241,11932418,92.9,261.2223891337,4,2.086630001940648e-05,18,29,O1
10168,262.12374,1828886,12.1,262.1237377191,11,2.280899991546903e-06,18,16,O1N1
10172,262.16014,10755105,83.5,262.1601232279,10,1.677210002526408e-05,19,20,N1
10233,263.14412999999996,4356167,32.3,263.1441388117,10,8.811700013211521e-06,19,19,O1
10284,264.1758,16037492,125.7,264.1757732923,9,2.67076999875826e-05,19,22,N1
10324,265.08695,1183223,6.9,265.0870178585,11,6.785850001733706e-05,17,13,O3
10335,265.15982,4210316,31.0,265.1597888761,9,3.112390004389454e-05,19,21,O1
10340,265.18074,1247378,7.4,265.1809182449,4,0.00017824489998474746,16,25,O3
10344,265.21727000000004,2790044,19.7,265.2173037537,3,3.375369993818822e-05,17,29,O2
10379,266.0975,12843152,99.6,266.0975229703,15,2.2970299994540255e-05,20,12,N1
10417,267.10273,1107744,6.3,267.10266792289997,10,6.207710003991451e-05,17,15,O3
10420,267.1391,1765162,11.5,267.1390534317,9,4.656829997884415e-05,18,19,O2
10424,267.17539,3168180,22.7,267.1754389405,8,4.894049999393246e-05,19,23,O1
10427,267.23291,10319299,79.5,267.2329538181,2,4.381809998221797e-05,17,31,O2
10468,268.1132,2627499,18.4,268.11317303469997,14,2.696530003731823e-05,20,14,N1
10469,268.13436,1089009,6.1,268.1343024035,9,5.759650002801209e-05,17,18,O2N1
10525,269.15465,1268088,7.5,269.1547034961,8,5.34961000084877e-05,18,21,O2
10528,269.19107,1765985,11.5,269.1910890049,7,1.900489996842225e-05,19,25,O1
10529,269.2122,4374342,32.1,269.2122183737,2,1.837370001567251e-05,16,29,O3
10532,269.24862,42907600,336.9,269.2486038825,1,1.611750002439294e-05,17,33,O2
10568,270.12885,9667756,74.0,270.1288230991,13,2.6900900024884322e-05,20,16,N1
10609,271.11289,2733470,19.1,271.11283868289996,13,5.131710003070111e-05,20,15,O1
10618,271.14918,1113510,6.3,271.1492241917,12,4.419169999891892e-05,21,19,
10624,271.20677,1528244,9.6,271.2067390693,6,3.0930700006592815e-05,19,27,O1
10627,271.22787,3007801,21.3,271.2278684381,1,1.5618999782418541e-06,16,31,O3
10657,272.09292999999997,1344648,8.1,272.0928315147,9,9.848529998635058e-05,15,14,O4N1
10659,272.10802,3747468,27.1,272.10808765469994,13,6.765469993297302e-05,19,14,O1N1
10662,272.14453,76651160,603.8,272.1444731635,12,5.6836499993551115e-05,20,18,N1
10710,273.12852999999996,4772730,35.0,273.12848874729997,12,4.125269998667136e-05,20,17,O1
10713,273.14968999999996,1126655,6.4,273.1496181161,7,7.188389997736522e-05,17,21,O3
10716,273.18589,1710343,11.0,273.18600362489997,6,0.00011362489999555692,18,25,O2
10718,273.22244,2775696,19.3,273.22238913369995,5,5.08663000573506e-05,19,29,O1
10742,274.08738999999997,1840981,12.0,274.08735221029997,13,3.778970000212212e-05,18,12,O2N1
10743,274.10861,1278297,7.6,274.1084815791,8,0.0001284209000118608,15,16,O4N1
10751,274.16022000000004,2015845,13.4,274.1601232279,11,9.677210005065717e-05,20,20,N1
10783,275.10772000000003,1543352,9.6,275.1077533029,12,3.330289996483771e-05,19,15,O2
10787,275.14414,5888064,43.8,275.1441388117,11,1.188300018384325e-06,20,19,O1
10791,275.20167999999995,11059532,84.5,275.2016536893,5,2.631069997960367e-05,18,27,O2
10793,275.23807,12208468,93.5,275.23803919809995,4,3.080190003856842e-05,19,31,O1
10832,276.17581,8012832,60.5,276.1757732923,10,3.6707700019178446e-05,20,22,N1
10865,277.14454,1976173,13.0,277.1445327361,6,7.263899988174671e-06,16,21,O4
10868,277.15982,3950833,28.6,277.1597888761,10,3.112390004389454e-05,20,21,O1
10870,277.18099,1288181,7.6,277.1809182449,5,7.175510000934082e-05,17,25,O3
10875,277.21731,8980221,67.8,277.2173037537,4,6.2463000176649075e-06,18,29,O2
10915,278.08235,1561136,9.7,278.0822668303,12,8.316970001942536e-05,17,12,O3N1
10920,278.11871,1113272,6.2,278.1186523391,11,5.7660900040445995e-05,18,16,O2N1
10929,278.19147000000004,12974022,99.0,278.1914233567,9,4.6643300038340385e-05,20,24,N1
10977,279.1027,2009471,13.2,279.10266792289997,11,3.207710005881381e-05,18,15,O3
10981,279.13917999999995,1489415,9.2,279.1390534317,10,0.00012656829994739383,19,19,O2
10986,279.1755,5921422,43.8,279.1754389405,9,6.105950001256133e-05,20,23,O1
10992,279.19656000000003,1530258,9.5,279.1965683093,4,8.309299971642758e-06,17,27,O3
10994,279.23299,131440792,1025.8,279.2329538181,3,3.61818999863317e-05,18,31,O2
11029,280.11318,53277000,414.3,280.11317303469997,15,6.9653000309699564e-06,21,14,N1
11030,280.1343,1403148,8.5,280.1343024035,10,2.4034999910327315e-06,18,18,O2N1
11083,281.15477000000004,2297618,15.5,281.1547034961,9,6.650390002960194e-05,19,21,O2
11089,281.19104,3021721,21.1,281.1910890049,8,4.900490000636637e-05,20,25,O1
11129,282.0924,1393988,8.4,282.0924375903,15,3.759029999628183e-05,20,12,O1N1
11131,282.12879,6723275,49.8,282.1288230991,14,3.30990999941605e-05,21,16,N1
11132,282.1501,1207631,6.9,282.1499524679,9,0.0001475321000157237,18,20,O2N1
11171,283.11295,1415170,8.5,283.11283868289996,14,0.00011131710004974593,21,15,O1
11176,283.17041,1502989,9.2,283.1703535605,8,5.6439499985572184e-05,19,23,O2
