,Intercept,Score,Coef
"1280.37, 1283.62",[0.04149615],0.2500596176951069,[[0.59550926]]
"1280.37, 1322.82",[0.01648922],0.3793744613837863,[[1.28465324]]
"1280.37, 1323.82",[0.01523553],0.28823158388232417,[[1.14762517]]
"1280.62, 1283.87",[0.01519312],0.4637364030882092,[[0.31145971]]
"1280.62, 1290.87",[0.01659262],0.22791452949424518,[[0.3507721]]
"1280.62, 1292.87",[0.01157436],0.6249842390380115,[[0.40827556]]
"1280.62, 1293.87",[0.01432848],0.6872686416117018,[[0.39665925]]
"1280.62, 1295.04",[0.0201921],0.22007281867880002,[[-0.09586454]]
"1280.62, 1302.87",[0.02348227],0.3246707392870283,[[0.30083189]]
"1280.62, 1303.87",[0.01720958],0.44241252106967144,[[0.18701157]]
"1280.62, 1308.85",[0.01700051],0.24066524602546513,[[0.11215457]]
"1280.62, 1316.87",[0.02635679],0.5096247805278635,[[0.10320023]]
"1280.62, 1320.8",[0.01858158],0.8077440265079906,[[0.26651635]]
"1280.62, 1321.8",[0.01229546],0.2769646616132473,[[0.37113215]]
"1280.62, 1329.79",[0.01184529],0.3846021659961778,[[0.36208633]]
"1280.62, 1335.71",[0.00914322],0.4050058885193445,[[0.31986494]]
"1280.62, 1337.77",[0.01702169],0.2203507024993535,[[0.13755402]]
"1280.62, 1348.7",[0.01048037],0.6482088942230959,[[0.2777318]]
"1280.87, 1295.85",[0.02394189],0.20354729863227083,[[0.32749533]]
"1280.87, 1297.79",[0.0028754],0.4286631668550162,[[0.90342856]]
"1280.87, 1304.82",[0.02238123],0.23882354184566013,[[0.24232098]]
"1280.87, 1309.86",[0.0207525],0.2685781142422353,[[0.24502249]]
"1280.87, 1314.62",[0.01872314],0.30295442550733886,[[0.41424772]]
"1280.87, 1315.83",[0.03187244],0.24510611709660315,[[0.11449423]]
"1280.87, 1325.62",[0.01207368],0.36342325874486114,[[0.32606664]]
"1280.87, 1328.62",[0.01781312],0.2191945164847382,[[0.34683879]]
"1280.87, 1330.82",[0.01910768],0.2265093687895019,[[0.1581923]]
"1280.87, 1337.62",[0.02262453],0.3678794747531917,[[0.25749203]]
"1280.87, 1348.7",[0.02199607],0.29564700574190417,[[0.24752983]]
"1280.87, 1351.82",[0.01724375],0.4842612087071224,[[0.26634019]]
"1281.07, 1301.03",[0.03003919],0.35586512952482774,[[0.30786359]]
"1281.07, 1319.43",[0.12276782],0.310889958656585,[[1.880982]]
"1281.62, 1290.87",[0.02665529],0.21606811373728974,[[0.18077873]]
"1281.62, 1292.87",[0.01209331],0.6009750609424664,[[0.45567027]]
"1281.62, 1294.87",[0.02683257],0.22224544957735803,[[0.29562857]]
"1281.62, 1295.85",[0.01953642],0.4373815237556197,[[0.49402644]]
"1281.62, 1302.87",[0.02951902],0.22067733077261287,[[0.15587312]]
"1281.62, 1303.87",[0.01918263],0.37431115896484546,[[0.21925027]]
"1281.62, 1323.82",[0.01708942],0.485579849246342,[[0.38369676]]
"1281.62, 1324.76",[0.01008989],0.31852139920512157,[[0.47941153]]
"1281.62, 1330.87",[0.0485095],0.2578300766399295,[[0.45393785]]
"1281.62, 1331.79",[0.01539117],0.2669145725299047,[[0.16216605]]
"1281.62, 1335.71",[0.01702366],0.3413645177242485,[[0.20174439]]
"1281.62, 1337.77",[0.01299147],0.5198465802352144,[[0.25967101]]
"1281.62, 1348.7",[0.01213423],0.4834554319301945,[[0.3442956]]
"1281.62, 1351.82",[0.02624637],0.37318077161519203,[[0.10596726]]
"1281.87, 1290.62",[0.0251448],0.2710873950872519,[[0.48795531]]
"1281.87, 1296.79",[0.01152776],0.3707548968752783,[[0.85818526]]
"1281.87, 1297.79",[0.00356955],0.2924476499938301,[[1.13866995]]
"1281.87, 1298.84",[0.01499109],0.37667470918386303,[[1.03040592]]
"1281.87, 1309.62",[0.02271054],0.2738435460641565,[[0.26645458]]
"1281.87, 1338.83",[0.0209183],0.21453315729859912,[[0.11565264]]
"1282.37, 1314.62",[0.01998406],0.4407598895373565,[[0.68560029]]
"1282.37, 1318.32",[0.01935664],0.5384953500320072,[[0.28656107]]
"1282.62, 1292.87",[0.0103995],0.22580813118774523,[[0.4781261]]
"1282.62, 1294.87",[0.03303441],0.21454220691262516,[[0.17988767]]
"1282.62, 1295.85",[0.02171078],0.3038890841154559,[[0.35981975]]
"1282.62, 1302.87",[0.0196216],0.26682694818622044,[[0.44139406]]
"1282.62, 1307.87",[0.01665547],0.6079252002543232,[[0.35302943]]
