,Intercept,Score,Coef
"1299.03, 1316.24",[0.4516074],0.2640095433815183,[[-0.28300431]]
"1299.03, 1347.02",[0.04976901],0.49313691753484534,[[0.97567058]]
"1299.03, 1348.02",[-0.00880569],0.5401643721630934,[[0.28814769]]
"1316.24, 1323.03",[1.05108214],0.29812669426853106,[[-0.92039629]]
"1316.24, 1326.32",[0.03886541],0.8802509048476009,[[0.70079947]]
"1316.24, 1348.02",[0.30350352],0.2779436317116786,[[-0.32792022]]
"1323.03, 1347.02",[0.11688883],0.8196588394424978,[[0.86130285]]
"1323.03, 1348.02",[-0.01620911],0.4579729250606571,[[0.28259351]]
"1324.02, 1326.32",[0.33515015],0.23403876830672432,[[-0.62447674]]
"1326.32, 1347.02",[1.06548146],0.3382987152568552,[[-1.11611778]]
"1326.32, 1348.02",[0.30187514],0.2956905356551976,[[-0.37189999]]
