,Intercept,Score,Coef
"1294.87, 1298.62",[0.02492546],0.2877727511168858,[[0.26959118]]
"1294.87, 1311.62",[0.02105366],0.3414313903611846,[[0.38148658]]
"1294.87, 1321.81",[0.0233798],0.39787947264591295,[[0.25587774]]
"1295.62, 1321.81",[0.01725879],0.5756177120560466,[[0.28498505]]
"1295.79, 1320.62",[0.07413194],0.21801936575202074,[[0.47037105]]
"1296.78, 1308.62",[0.0291501],0.5749963905434652,[[0.61218572]]
"1297.62, 1304.81",[0.01102843],0.5540834655067242,[[0.33511719]]
"1297.62, 1319.74",[0.01911337],0.2249425515602298,[[0.11553754]]
"1297.62, 1344.55",[0.01857086],0.30969972267748935,[[0.34570153]]
"1297.81, 1326.32",[0.24994981],0.23741565963791922,[[1.40391035]]
"1297.81, 1339.32",[0.02713695],0.31558469949741585,[[0.08898685]]
"1299.02, 1306.62",[0.0372908],0.25220046008258146,[[-0.0152126]]
"1299.02, 1320.29",[0.08124315],0.2205528804102257,[[-0.04662895]]
"1299.02, 1323.07",[0.0028601],0.6182417192961599,[[0.04801254]]
"1299.02, 1323.31",[0.19700273],0.22832805096707487,[[-0.10626675]]
"1299.02, 1325.04",[-0.00953558],0.24709647122637146,[[0.05969204]]
"1299.62, 1304.81",[0.0179194],0.2497854534532246,[[0.15648168]]
"1299.62, 1320.75",[0.02332944],0.2925732378819441,[[0.06069844]]
"1299.62, 1344.55",[0.02166615],0.631191493950548,[[0.16160113]]
"1299.87, 1309.62",[0.03217173],0.21732359490074904,[[0.18980276]]
"1300.02, 1306.62",[0.04108395],0.32570553292112525,[[-0.07709674]]
"1300.02, 1323.07",[0.01320954],0.33461909406036017,[[0.13399856]]
"1300.02, 1325.04",[-0.00660639],0.3849718888791889,[[0.20701456]]
"1300.02, 1340.32",[0.2462652],0.2211127172155731,[[-0.42041018]]
"1301.03, 1306.62",[0.04017338],0.4297080273576328,[[-0.50504288]]
"1301.03, 1317.25",[0.09644273],0.2666251077279843,[[-0.66797245]]
"1301.03, 1323.31",[0.14702746],0.25448616476058106,[[-1.1747736]]
"1301.03, 1327.33",[0.08401598],0.21920954840822104,[[-0.58395686]]
"1301.03, 1348.02",[0.16513379],0.2623965805804588,[[1.98182344]]
"1301.62, 1321.47",[0.01496615],0.7388457900212645,[[0.19421383]]
"1301.62, 1344.55",[0.01719612],0.34452250775937354,[[0.14071189]]
"1301.62, 1345.53",[0.02409637],0.24223791198184585,[[0.02606875]]
"1301.85, 1304.62",[0.01876959],0.29669461512894746,[[0.58038124]]
"1303.62, 1313.77",[0.01957274],0.254386510240044,[[0.147033]]
"1303.62, 1344.55",[0.01714483],0.4204235497052612,[[0.24997493]]
"1303.84, 1308.62",[0.02733631],0.5568448388513345,[[0.64021546]]
