,Intercept,Score,Coef
"1280.62, 1298.81",[0.01237973],0.55043484281684,[[0.40945487]]
"1280.62, 1300.03",[0.22431285],0.23854518033002492,[[-0.61908444]]
"1280.62, 1311.8",[0.01368654],0.3336363494309932,[[0.27376508]]
"1280.62, 1348.02",[0.24377404],0.23355379387912636,[[-0.6277039]]
"1280.79, 1292.62",[0.03125422],0.33571356567526794,[[0.1973658]]
"1280.79, 1293.62",[0.02211333],0.30657184898664924,[[0.63740304]]
"1280.79, 1298.62",[0.01830142],0.8083058590529132,[[0.40197993]]
"1281.62, 1285.87",[-0.01796026],0.24002595162800744,[[0.99903601]]
"1281.62, 1293.76",[0.0063024],0.3308023371776928,[[0.26043697]]
"1281.62, 1294.87",[0.01153492],0.22304135126294355,[[0.54505529]]
"1281.62, 1295.81",[0.00739512],0.3839292417554754,[[0.48059697]]
"1281.62, 1319.74",[0.01769611],0.24855229188877037,[[0.21241821]]
"1281.72, 1284.62",[0.03184514],0.3094241619886102,[[0.77841698]]
"1281.72, 1293.62",[0.02964114],0.4992773921392115,[[0.63042579]]
"1281.72, 1296.62",[0.04015685],0.22568083000464167,[[0.71245019]]
"1282.62, 1285.87",[-0.01808138],0.3227534716392929,[[0.95205504]]
"1282.62, 1291.83",[-0.0187492],0.6179501807027823,[[1.30967713]]
"1282.62, 1296.77",[-0.0050926],0.5229647477058152,[[0.84043757]]
"1282.62, 1298.81",[0.02014119],0.49605499656741514,[[0.34028912]]
"1282.62, 1299.87",[0.00015587],0.6587857860023306,[[0.80108536]]
"1282.62, 1301.03",[0.04256592],0.20353428263175077,[[-0.17809848]]
"1282.62, 1327.32",[0.05319042],0.217098984232435,[[0.3153691]]
"1282.82, 1285.62",[0.04097301],0.5570478540742825,[[0.62842591]]
"1282.82, 1285.87",[-0.01672938],0.7141936565741336,[[1.47591656]]
"1282.82, 1287.62",[0.02271032],0.2787306130602586,[[1.07840398]]
"1282.82, 1288.62",[0.00554171],0.4112098791839277,[[1.44423432]]
"1282.82, 1292.62",[0.02420566],0.40494228440189317,[[0.30458677]]
"1282.82, 1293.62",[0.01431407],0.46133511380978165,[[1.17595908]]
"1282.82, 1293.76",[0.00660681],0.2874805854239191,[[0.53581661]]
"1282.82, 1294.87",[0.0142464],0.6992223778425126,[[1.00491278]]
"1282.82, 1295.81",[0.02517382],0.2794201957007816,[[0.65918729]]
"1282.82, 1304.62",[0.00814109],0.5569360411754805,[[1.62137712]]
"1282.82, 1308.62",[0.01449509],0.3476583572169119,[[0.92533013]]
"1282.82, 1320.62",[0.02201434],0.27327707065154394,[[0.50901765]]
"1282.82, 1321.62",[0.0382635],0.39126466447700126,[[0.66892549]]
