,Intercept,Score,Coef
"1280.26, 1285.62",[0.01491044],0.3770379224952415,[[1.54810207]]
"1280.26, 1286.62",[0.01335225],0.2120550551762379,[[0.91410916]]
"1280.26, 1296.62",[0.01370653],0.28813321632536315,[[1.07566302]]
"1280.26, 1297.62",[0.00895482],0.2980832721886787,[[2.61207102]]
"1280.26, 1321.37",[0.05775374],0.3045937100871756,[[-1.20483711]]
"1280.62, 1288.85",[0.01136844],0.370652392278668,[[0.24043626]]
"1280.62, 1290.87",[0.00526918],0.2201752186608702,[[0.68082996]]
"1280.62, 1291.87",[0.01015922],0.554123456182916,[[0.63805131]]
"1280.62, 1293.87",[0.00804801],0.762254155636636,[[0.48277586]]
"1280.62, 1299.08",[0.01837735],0.25956395978524427,[[0.26312894]]
"1280.62, 1300.87",[0.01721377],0.3153605559554179,[[0.44290741]]
"1280.62, 1301.87",[0.00964833],0.63674302081133,[[0.50367956]]
"1280.62, 1302.87",[0.01571796],0.6275898850896646,[[0.29322719]]
"1280.62, 1304.79",[0.00684019],0.3460143908592481,[[0.46476838]]
"1280.62, 1305.87",[0.00519377],0.8414059378430282,[[0.58765814]]
"1280.62, 1306.83",[0.00863354],0.38403200485289823,[[0.42569678]]
"1280.62, 1307.86",[0.00383807],0.5629688126681931,[[0.59454034]]
"1280.62, 1319.8",[0.02531989],0.5974915354518056,[[0.30249526]]
"1280.62, 1320.83",[0.0073178],0.8086538299805052,[[0.69487028]]
"1280.62, 1322.83",[0.01572716],0.573162448029957,[[0.39029126]]
"1280.62, 1323.87",[0.01106891],0.22472486759094357,[[0.44044619]]
"1280.62, 1325.7",[0.00344117],0.3680830064017401,[[0.50170868]]
"1280.62, 1356.27",[0.01099232],0.2568569772680461,[[0.09630397]]
"1280.87, 1284.37",[0.00374514],0.3343002241579832,[[0.4282262]]
"1280.87, 1284.62",[0.02056359],0.24190809877066857,[[0.53227655]]
"1280.87, 1286.62",[0.02089863],0.4430524601035687,[[0.36379068]]
"1280.87, 1290.62",[0.01718368],0.4128224805235118,[[0.66841689]]
"1280.87, 1293.62",[0.00683489],0.2696254088064264,[[0.87051042]]
"1280.87, 1294.62",[0.01302463],0.25311053266247485,[[0.60571864]]
"1280.87, 1295.81",[0.00658279],0.6217503874376524,[[0.88122969]]
"1280.87, 1296.62",[0.01962347],0.24611290259588445,[[0.50505738]]
"1280.87, 1297.37",[0.01072155],0.3223096598446763,[[0.06803631]]
"1280.87, 1297.85",[0.00281042],0.3593869681868209,[[0.93122153]]
"1280.87, 1299.08",[0.01982733],0.600886989943983,[[0.1954444]]
"1280.87, 1300.37",[0.00269306],0.3104717510095999,[[0.44703756]]
"1280.87, 1302.62",[0.02382459],0.3146142119867542,[[0.44438148]]
"1280.87, 1303.62",[0.02438295],0.5114233430055215,[[0.54559952]]
"1280.87, 1306.83",[0.01215181],0.3586258347568603,[[0.37775343]]
"1280.87, 1307.86",[-0.00064724],0.5840749377126968,[[0.66695808]]
"1280.87, 1308.62",[0.02570735],0.30840688610349387,[[0.29105412]]
"1280.87, 1308.83",[0.00272594],0.7270188952181666,[[0.53945355]]
"1280.87, 1309.62",[0.01756305],0.47657011487230033,[[0.37364645]]
"1280.87, 1310.62",[0.00645605],0.5234380913651617,[[0.48097868]]
"1280.87, 1310.81",[-0.00756053],0.6204029882119366,[[1.22569912]]
"1280.87, 1311.97",[0.03173179],0.24888569386929882,[[0.28800821]]
"1280.87, 1312.62",[0.007862],0.2818500593519163,[[0.60000005]]
"1280.87, 1313.62",[0.01257271],0.5361455821634666,[[0.57819262]]
"1280.87, 1313.81",[0.0065826],0.30070745665379117,[[0.6383802]]
"1280.87, 1316.62",[0.02049147],0.31128259468675,[[0.61080831]]
"1280.87, 1321.81",[0.01000378],0.6807128947574312,[[0.43455662]]
"1280.87, 1324.82",[0.00999145],0.34126772022639307,[[1.1171387]]
"1280.87, 1325.62",[0.01663787],0.31255471696781123,[[0.19307514]]
"1280.87, 1327.62",[0.01760401],0.254749549135752,[[0.25059267]]
