(373.46, 449.12), [-0.03492752], 0.48602001393120586, 0.30491769123660384 
(377.14, 458.16), [0.0538743], 0.4547367479559323, 0.36804873880112077 
(377.14, 573.17), [0.04360145], 0.4630948249154024, 0.38726858547479015 
(385.18, 577.18), [-0.03696886], 0.4835365645678641, 0.30713811390670387 
(393.14, 475.18), [0.06868713], 0.4512103255987619, 0.44212883524093993 
(393.14, 534.23), [0.05732821], 0.45649523782125956, 0.3352223695404115 
(405.21, 449.12), [-0.04616813], 0.4868361169785738, 0.35675404206001743 
(408.15, 423.14), [-0.0591823], 0.49616904723627725, 0.3630979825102707 
(408.15, 449.12), [-0.04835649], 0.4869463366315255, 0.313017208212101 
(423.14, 433.26), [0.0527389], 0.45531948418128443, 0.3113204914006059 
(439.19, 519.19), [-0.0359709], 0.48879088933199966, 0.36171148223767846 
(440.15, 447.14), [0.02142185], 0.46617799692203976, 0.3213098513377858 
(444.15, 479.18), [0.03147943], 0.45610242387242955, 0.3033003394134167 
(457.27, 555.18), [-0.03196616], 0.48532090827694246, 0.33759771281366735 
(462.17, 497.16), [-0.04832138], 0.49421191132509973, 0.3976393445216966 
(463.23, 497.16), [-0.05113804], 0.50767063438718, 0.3155310098438393 
(464.22, 465.15), [0.09971787], 0.4239661925540725, 0.38319672868211185 
(464.22, 473.17), [0.03345481], 0.46070378698579517, 0.3165677968143724 
(491.18, 497.16), [-0.07174667], 0.5095607323674824, 0.35336591563211284 
(495.2, 497.16), [-0.05864437], 0.5073607291249759, 0.37593852512644477 
(495.2, 555.18), [-0.03464831], 0.4893337746775871, 0.3309163343267339 
(497.16, 530.27), [0.07631385], 0.44199739489000966, 0.3137138821776161 
(497.16, 557.18), [0.04939362], 0.4516373027393397, 0.3144784612921395 
(497.17, 565.23), [0.05813293], 0.4505844475702862, 0.3530346304561043 
(498.21, 513.2), [-0.03958629], 0.489661432397889, 0.3253963124699617 
(500.22, 555.18), [-0.02731751], 0.48843704020333495, 0.3050683770580045 
(507.13, 525.2), [0.06037391], 0.4446052444131501, 0.32555739762018565 
(509.23, 515.18), [-0.03232435], 0.49096852928195817, 0.3625646532671509 
(513.19, 555.18), [-0.04481797], 0.4977619046803733, 0.3768385973606154 
(513.2, 517.19), [0.04153203], 0.44954065835986723, 0.32898603002248217 
(514.2, 555.18), [-0.03517393], 0.4887016384202326, 0.336204850061693 
(515.17, 589.2), [-0.04527296], 0.49444925791293376, 0.3479191469998908 
(517.26, 558.25), [-0.03517203], 0.4896472253619818, 0.30750169033543595 
(524.18, 532.28), [0.05645084], 0.4492935323487107, 0.3326633596081281 
(545.24, 563.25), [0.02877135], 0.4544029262547999, 0.32452571012438747 
(555.18, 575.29), [0.04753316], 0.4465467265187239, 0.30864216607915096 
