,Coef,Intercept,Score
"1280.37, 1322.62",[[0.55155514]],[0.02703579],0.6023236547001893
"1280.62, 1304.87",[[0.40586684]],[0.02026694],0.6246434514713053
"1280.62, 1332.78",[[0.3254835]],[0.01498518],0.6458088801388092
"1280.87, 1323.83",[[0.52125132]],[0.01435856],0.7128668996690714
"1280.87, 1328.62",[[0.24299085]],[0.03146264],0.6775279828653002
"1280.87, 1339.74",[[0.20118866]],[0.01895131],0.6629410291247078
"1281.62, 1291.87",[[0.44157408]],[0.02505126],0.6494433749392013
"1281.62, 1332.78",[[0.26588633]],[0.01559887],0.6324554736127754
"1281.87, 1289.62",[[0.45081027]],[0.03636977],0.6394751641476895
"1281.87, 1309.81",[[0.4093187]],[0.01660631],0.6225900644772018
"1281.87, 1328.62",[[0.26024355]],[0.02788493],0.6839711634641268
"1281.87, 1337.82",[[0.31873375]],[0.01873367],0.6374268605003381
"1282.62, 1294.87",[[0.67845497]],[0.01751428],0.643546308493822
"1283.62, 1285.87",[[0.22992125]],[0.03278021],0.6380940561376829
"1283.62, 1290.87",[[0.26318031]],[0.02471421],0.6061961457532069
"1283.62, 1293.87",[[0.48269031]],[0.01364442],0.6110323718893149
"1283.62, 1332.78",[[0.24564979]],[0.01480438],0.6840619106319122
"1283.87, 1289.62",[[0.40254838]],[0.05808623],0.6304680676880349
"1283.87, 1330.62",[[0.20489909]],[0.02797531],0.6140605568486948
"1284.87, 1296.84",[[1.1754025]],[0.00491304],0.6203688471164509
"1285.62, 1332.78",[[0.22912559]],[0.01363302],0.606349866760914
"1285.87, 1339.62",[[0.31684561]],[0.02199016],0.6067893249248465
"1286.62, 1332.78",[[0.33645483]],[0.01618148],0.8024596409922965
"1286.62, 1335.82",[[0.21207306]],[0.02493306],0.6210179822259616
"1286.62, 1337.82",[[0.41678202]],[0.01672588],0.7922551742598369
"1286.87, 1318.62",[[0.6057772]],[0.02615195],0.7045266398869603
"1286.87, 1326.62",[[0.43819336]],[0.02360341],0.6847060070741681
"1287.62, 1294.87",[[0.67036551]],[0.01590898],0.6202465915471614
"1287.62, 1323.83",[[0.43857536]],[0.0156419],0.6388373456210793
"1288.03, 1311.98",[[0.85230526]],[0.00883693],0.7111990429411739
"1288.03, 1313.98",[[0.4646866]],[0.01046293],0.7097310494894546
"1288.03, 1335.97",[[0.73816794]],[0.01399415],0.7862206733537753
"1288.03, 1359.98",[[0.38862162]],[0.00899142],0.7235840093223554
"1288.62, 1293.87",[[0.59951832]],[0.01102605],0.7376901007858707
"1288.98, 1313.05",[[0.89469565]],[0.0137047],0.6550852055687334
"1288.98, 1335.97",[[0.69467217]],[0.01065424],0.7885905042606536
"1289.62, 1291.87",[[0.39977317]],[0.02074323],0.6344720746929635
"1289.62, 1319.83",[[0.49149505]],[0.00708397],0.7169826036169633
"1289.62, 1328.83",[[0.40871972]],[0.01489025],0.8072934015018461
"1289.87, 1294.62",[[0.7444621]],[0.03278933],0.7521250860191181
"1289.87, 1304.62",[[0.51663033]],[0.03840672],0.6438028975558421
"1289.87, 1321.81",[[0.5591307]],[0.02940197],0.6535286407283736
"1290.05, 1336.98",[[1.36592361]],[0.02294856],0.6658824278156361
"1290.05, 1337.98",[[0.80363481]],[0.00976216],0.6257810180970217
"1290.05, 1359.98",[[0.67152904]],[0.00748228],0.6119070036844763
"1290.62, 1306.87",[[0.54572273]],[0.00636852],0.720532553367589
"1290.87, 1294.62",[[0.83142563]],[0.02912672],0.7421675227242892
"1290.87, 1314.62",[[0.71023202]],[0.0239447],0.6422076498883604
"1291.09, 1313.98",[[1.6514214]],[0.0290145],0.6609623863406606
"1291.09, 1336.98",[[2.99351852]],[0.04867593],0.627588214760761
"1291.62, 1336.87",[[0.49126923]],[0.01703093],0.6828932657710217
"1291.87, 1309.81",[[0.73146322]],[0.01348813],0.6825087829809406
"1291.87, 1318.62",[[0.4809067]],[0.02723701],0.6505003772342872
"1291.87, 1322.62",[[0.45875915]],[0.02160929],0.6294790899323841
"1291.87, 1323.83",[[0.80759559]],[0.00660661],0.6310511358170404
"1291.87, 1328.62",[[0.38482641]],[0.02635304],0.7970215142928929
"1291.87, 1328.83",[[0.45429233]],[0.01514202],0.62670607117682
"1291.87, 1347.86",[[0.28354733]],[0.02505708],0.6430278258603024
"1292.62, 1321.81",[[0.7740209]],[0.00514784],0.6601888939795224
"1292.87, 1314.62",[[0.52023642]],[0.03654942],0.638973955112132
"1292.87, 1335.62",[[0.38825338]],[0.01344057],0.652287756107739
"1293.62, 1339.74",[[0.27305024]],[0.01501759],0.6151098565110802
"1293.62, 1343.82",[[0.56484755]],[0.00891116],0.692539107507107
"1293.87, 1305.62",[[0.76302238]],[0.02070912],0.6374542152476453
"1293.87, 1307.62",[[0.60652863]],[0.03262631],0.6921827527789655
"1293.87, 1308.62",[[0.51685961]],[0.03120179],0.6168631738583333
"1293.87, 1331.62",[[0.31981883]],[0.0285285],0.6442472851281313
"1293.87, 1335.62",[[0.28268092]],[0.01933548],0.6116868442085602
"1294.62, 1318.87",[[0.62342935]],[0.01215777],0.736500639897608
"1294.62, 1321.81",[[0.49947399]],[0.01816851],0.662399238584769
"1294.62, 1339.74",[[0.1707363]],[0.02132334],0.7706139084585306
"1294.87, 1330.62",[[0.34630401]],[0.01721702],0.779184539651722
"1294.87, 1334.62",[[0.40474629]],[0.01507386],0.7830220864485747
"1295.81, 1304.62",[[0.81031365]],[0.02173969],0.6088386270325262
"1296.62, 1321.81",[[0.67248437]],[0.01077407],0.6391726412646408
"1296.84, 1298.87",[[1.08465927]],[0.00771813],0.9193019525472326
"1296.84, 1310.87",[[0.52458502]],[0.01819426],0.7464946435343627
"1296.84, 1324.87",[[0.52836913]],[0.02039902],0.7699684216076104
"1296.84, 1341.87",[[0.39584403]],[0.02252841],0.6689009873600272
"1297.62, 1321.81",[[0.49959798]],[0.01285051],0.7040685203610759
"1297.62, 1329.77",[[0.15586608]],[0.02099294],0.6199417147059629
"1297.87, 1325.85",[[0.6414916]],[0.01876754],0.8470101386221447
"1297.87, 1338.85",[[0.19309184]],[0.02493647],0.7099534413641264
"1298.62, 1320.83",[[0.56989405]],[0.01846436],0.6922712976399271
"1298.62, 1321.81",[[0.5161011]],[0.02781928],0.6803058078804268
"1299.02, 1323.07",[[0.04908372]],[0.00123232],0.6090335351938249
"1299.02, 1346.06",[[0.13216296]],[0.00197283],0.6289124096473939
"1299.62, 1301.87",[[0.38632333]],[0.02534287],0.6726017133526531
"1299.62, 1303.87",[[0.49939417]],[0.01488572],0.6309447817736789
"1299.62, 1332.78",[[0.20647123]],[0.02122752],0.6916589735928215
"1300.02, 1346.06",[[0.46100743]],[0.01626396],0.6712391545097751
"1301.87, 1311.62",[[0.42494951]],[0.02177537],0.6172178408670917
"1302.62, 1318.87",[[0.39825749]],[0.02881836],0.6716958639494988
"1303.62, 1328.83",[[0.22938303]],[0.02822506],0.6442612707816896
"1303.87, 1325.62",[[0.40603842]],[0.01599916],0.807352835258629
"1304.62, 1317.81",[[0.44103165]],[0.02210941],0.6389148278680028
"1304.87, 1311.62",[[0.43831457]],[0.02688925],0.7397658668855673
"1306.87, 1313.62",[[0.69236926]],[0.04141795],0.7273903056290314
"1307.87, 1321.81",[[0.601569]],[0.02968658],0.7087212990817815
"1312.22, 1316.2",[[0.21148676]],[0.01028799],0.6474359335843758
"1312.22, 1316.24",[[4.8160251]],[0.18335207],0.7144833201217908
"1312.22, 1317.26",[[1.51554153]],[0.04078803],0.662188377948618
"1312.22, 1322.3",[[2.59248416]],[0.08225172],0.7049568287077432
"1312.22, 1323.3",[[2.26867643]],[0.0688875],0.7141392440331151
"1312.22, 1325.27",[[0.62192617]],[0.0186729],0.6009944495061781
"1312.22, 1326.32",[[5.38101715]],[0.19999026],0.6886751582410418
"1312.22, 1339.3",[[0.69194357]],[0.01564019],0.6254817490649849
"1312.22, 1341.37",[[3.16666132]],[0.09826615],0.6510961794216386
"1313.05, 1359.98",[[0.35569711]],[0.00493501],0.6351044159587744
"1313.22, 1315.28",[[0.53228892]],[0.02353796],0.6629399580343034
"1313.22, 1316.24",[[4.60511842]],[0.21574222],0.6903257432127162
"1313.22, 1322.3",[[2.47917995]],[0.10034019],0.6471514725552688
