,Coef,Intercept,Score
"1281.62, 1290.87",[[0.43947339]],[0.01725171],0.6526661701995302
"1281.87, 1346.81",[[0.20828911]],[0.02754619],0.6545191294321584
"1282.87, 1324.62",[[0.277003]],[0.03167783],0.7014024995750869
"1283.62, 1348.79",[[0.33007078]],[0.02229736],0.6122279026776718
"1284.62, 1292.87",[[0.43974641]],[0.02126857],0.706943771458364
"1284.62, 1294.87",[[0.37234735]],[0.0249273],0.6402218151149752
"1284.62, 1321.81",[[0.34217746]],[0.01916637],0.6817467121742408
"1284.87, 1341.84",[[0.56156258]],[0.01546228],0.7157865483337795
"1285.37, 1291.62",[[0.89432281]],[0.03453949],0.7459107955038379
"1285.87, 1329.83",[[0.12797915]],[0.02816497],0.6560018796787601
"1285.87, 1335.62",[[0.25118505]],[0.0278748],0.6712331694646174
"1286.37, 1308.62",[[0.82846627]],[0.05226377],0.807323196956919
"1286.37, 1333.62",[[1.0722845]],[0.0337173],0.9615861701125076
"1286.62, 1290.87",[[0.36781292]],[0.02431086],0.6068975248075378
"1287.62, 1349.86",[[0.27905864]],[0.02206915],0.740214538037356
"1288.1, 1312.02",[[0.87389786]],[0.01026876],0.6254166320228939
"1288.1, 1312.98",[[0.97469626]],[0.0145398],0.8875251710918131
"1288.1, 1313.98",[[0.52917156]],[0.0070422],0.708020523710216
"1288.1, 1335.97",[[0.79769621]],[0.00753576],0.6577512203613742
"1288.1, 1336.97",[[0.9988064]],[0.0091073],0.630209946973913
"1288.1, 1337.98",[[0.55130073]],[0.00753836],0.7470908227543733
"1288.1, 1359.97",[[0.48221147]],[0.00167042],0.7593879280779217
"1288.62, 1290.87",[[0.46804539]],[0.02120177],0.6017587117775187
"1288.62, 1292.87",[[0.59446056]],[0.02268339],0.6451190709324133
"1288.62, 1306.87",[[0.37169681]],[0.03019952],0.6505727485501129
"1288.62, 1321.81",[[0.4714829]],[0.02283116],0.6525448381413657
"1288.62, 1344.83",[[0.29526235]],[0.02682902],0.6154236495894011
"1288.98, 1312.02",[[0.75678668]],[0.00922087],0.7306263954940262
"1288.98, 1335.97",[[0.70818593]],[0.00638903],0.7284999764916535
"1288.98, 1336.97",[[0.84662806]],[0.01097147],0.7563427416319116
"1288.98, 1359.97",[[0.38459448]],[0.00302072],0.8878382348246027
"1289.62, 1291.87",[[0.29272089]],[0.02888247],0.6909679616678578
"1289.98, 1312.02",[[1.2952935]],[0.01785022],0.7546771018545024
"1289.98, 1335.97",[[1.1968446]],[0.01483084],0.7901389359904234
"1289.98, 1336.97",[[1.44988909]],[0.01756073],0.6836085332768558
"1289.98, 1359.97",[[0.68001265]],[0.00621131],0.6658360424160326
"1290.87, 1334.83",[[0.45250503]],[0.01390059],0.7297783237489519
"1291.03, 1313.98",[[1.6479103]],[0.03292309],0.6298161535799336
"1291.03, 1359.97",[[1.63898707]],[0.02791088],0.8531877989016479
"1292.62, 1344.83",[[0.24948115]],[0.022527],0.6653210069079809
"1292.87, 1314.62",[[0.56714066]],[0.02093144],0.6088907353339672
"1292.87, 1338.62",[[0.31130599]],[0.02328129],0.600933085194622
"1293.62, 1321.81",[[0.42813129]],[0.02052233],0.6131560100820675
"1294.62, 1357.02",[[0.14681569]],[0.02436697],0.6582114103963077
"1294.87, 1307.62",[[0.4751071]],[0.0282146],0.6373434266773197
"1294.87, 1310.62",[[0.39265995]],[0.02343519],0.6176330178317608
"1294.87, 1324.62",[[0.5265069]],[0.02014124],0.7421174033054856
"1294.87, 1333.62",[[0.51388713]],[0.01753297],0.6402981673669187
"1294.87, 1334.62",[[0.27952136]],[0.0183898],0.722178282814981
"1295.62, 1337.76",[[0.37902086]],[0.00825964],0.6226994884397297
"1295.84, 1330.62",[[0.36295828]],[0.02821218],0.6448113466210481
"1296.62, 1357.51",[[0.18304907]],[0.0186441],0.7168078446737305
"1296.84, 1299.87",[[0.68852327]],[0.02396203],0.7882990678257207
"1296.84, 1310.87",[[0.47540914]],[0.01668659],0.7405234948135411
"1296.84, 1311.87",[[0.21119244]],[0.0323649],0.6024136327944236
"1296.84, 1312.87",[[0.4127471]],[0.02019508],0.7792380108958092
"1296.84, 1325.87",[[0.40185167]],[0.0328148],0.786954224954213
"1297.37, 1304.62",[[1.10274615]],[0.03858343],0.6643012072150862
"1297.86, 1340.84",[[0.28320862]],[0.03150514],0.6453124272238666
"1298.85, 1310.87",[[0.48740011]],[0.01446336],0.7286535225511366
"1298.85, 1311.87",[[0.19280128]],[0.02984186],0.6255660420665294
"1298.85, 1312.87",[[0.39760965]],[0.02008839],0.654923509195425
"1299.87, 1340.84",[[0.21085056]],[0.03157796],0.626901019970263
"1302.87, 1328.62",[[0.23563534]],[0.02775631],0.7346146039075475
"1302.87, 1344.83",[[0.27653385]],[0.03260863],0.698431355729198
"1303.62, 1337.76",[[0.3540459]],[0.00446721],0.9068348792905677
"1304.62, 1334.83",[[0.41030804]],[0.00702098],0.7900251846973442
"1304.87, 1311.62",[[0.54307449]],[0.03223664],0.6902356756249614
"1304.87, 1313.62",[[0.94496864]],[0.02480145],0.6641938212536485
"1304.87, 1330.62",[[0.67859826]],[0.01337318],0.6058480158121858
"1305.62, 1349.86",[[0.22327757]],[0.03040842],0.6443096333171915
"1306.87, 1344.83",[[0.44849404]],[0.02231579],0.760098398951983
"1307.62, 1347.74",[[0.37229321]],[0.01776314],0.7147819995748488
"1308.62, 1357.51",[[0.20338191]],[0.01814925],0.7043626810910092
"1311.87, 1341.84",[[0.90619757]],[0.01509588],0.7159320828967344
"1312.02, 1335.97",[[0.7907751]],[0.00679163],0.8325447820535605
"1312.02, 1336.97",[[0.96336001]],[0.00848341],0.8090570537165049
"1312.02, 1337.98",[[0.5956372]],[0.00317161],0.8051798540483198
"1312.02, 1359.97",[[0.47611651]],[0.0012369],0.7380207497833452
"1312.22, 1315.3",[[0.69568815]],[0.00803106],0.6584795126795315
"1312.22, 1316.24",[[4.8772366]],[0.18266931],0.7131862512648923
"1312.22, 1317.25",[[1.54802461]],[0.04441294],0.7140297034639632
"1312.22, 1322.3",[[2.57199227]],[0.0802489],0.6335410465850289
"1312.22, 1323.3",[[2.17777593]],[0.07745073],0.7425828556470735
"1312.22, 1326.32",[[5.20646707]],[0.19702406],0.6711386542284663
"1312.22, 1327.33",[[1.48254736]],[0.04103167],0.700753683052033
"1312.98, 1335.97",[[0.75014832]],[0.00206588],0.8602921239740204
"1312.98, 1336.97",[[0.89065628]],[0.00391577],0.8280639159832613
"1312.98, 1359.97",[[0.38367747]],[0.00205289],0.8652014515084856
"1313.23, 1317.25",[[1.48360865]],[0.05261396],0.6841394272785244
"1313.23, 1320.29",[[0.84651282]],[0.03079317],0.6414423403258137
"1313.23, 1322.3",[[2.49330114]],[0.09315677],0.6378460234969212
"1313.23, 1323.3",[[2.18908645]],[0.08251335],0.7226459689650326
"1313.23, 1324.27",[[0.62190472]],[0.02526711],0.6531462732083558
"1313.23, 1325.37",[[0.62921211]],[0.02412197],0.7751984502101871
"1313.23, 1342.29",[[1.09584611]],[0.03565126],0.6693635817814356
"1313.62, 1337.76",[[0.38212522]],[0.00910054],0.6538771157740975
"1313.62, 1344.83",[[0.17018659]],[0.03015941],0.6038088702413078
"1313.62, 1348.79",[[0.29185017]],[0.02584373],0.6339215624820356
"1313.98, 1335.97",[[1.32458155]],[0.00808796],0.65393847865229
"1313.98, 1336.97",[[1.56221638]],[0.01239693],0.8221512387721208
"1314.19, 1316.24",[[7.06016363]],[0.12759747],0.754081548935435
"1314.19, 1317.25",[[2.0658636]],[0.03652892],0.7410471795045479
"1314.19, 1322.3",[[3.56033396]],[0.05818502],0.7159790254919304
"1314.19, 1323.3",[[2.98706967]],[0.06301592],0.6446335577966353
