m/z,R00X093Y044,R00X188Y046,R00X092Y047,R00X118Y047,R00X183Y049,R00X185Y049,R00X094Y050,R00X213Y050,R00X269Y050,R00X287Y051,R00X291Y051,R00X196Y052,R00X226Y052,R00X087Y053,R00X298Y053,R00X099Y054,R00X266Y054,R00X268Y054,R00X293Y054,R00X126Y055,R00X225Y055,R00X271Y055,R00X221Y056,R00X223Y056,R00X238Y057,R00X254Y057,R00X292Y057,R00X296Y057,R00X148Y058,R00X280Y058,R00X302Y059,R00X286Y060,R00X175Y061,R00X283Y061,R00X085Y062,R00X119Y062,R00X283Y062,R00X284Y062,R00X073Y063,R00X079Y063,R00X119Y063,R00X213Y063,R00X254Y063,R00X287Y063,R00X079Y064,R00X117Y064,R00X139Y064,R00X097Y065,R00X262Y065,R00X293Y065,R00X300Y065,R00X073Y066,R00X137Y068,R00X243Y068,R00X097Y069,R00X276Y069,R00X185Y070,R00X262Y070,R00X266Y070,R00X276Y071,R00X198Y073,R00X276Y074,R00X195Y075,R00X270Y075,R00X271Y075,R00X131Y076,R00X202Y076,R00X119Y077,R00X121Y078,R00X199Y079,R00X247Y079,R00X208Y080,R00X251Y081,R00X274Y081,R00X127Y083,R00X162Y083,R00X171Y083,R00X219Y083,R00X250Y083,R00X261Y083,R00X161Y084,R00X186Y084,R00X219Y084,R00X220Y084,R00X267Y084,R00X271Y084,R00X231Y085,R00X248Y087,R00X265Y087,R00X204Y088,R00X221Y089,R00X251Y090,R00X264Y090,R00X253Y091,R00X289Y093
1280.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453832.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846619.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634762.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340259.84375,0.0,492352.21875,0.0,0.0,0.0,0.0,0.0
1280.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460250.75,0.0,0.0,372394.5625,0.0,0.0,0.0,377679.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732357.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546055.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787126.3125,0.0,0.0,757573.6875,0.0,0.0,0.0,595725.0625,0.0,0.0,0.0,766154.9375,0.0,0.0,0.0,402505.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,807062.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610118.5,0.0,0.0,0.0,478957.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289659.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419295.875,0.0,0.0,0.0,0.0
1281.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491966.90625,0.0,0.0,501149.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540549.125,0.0,0.0,0.0,0.0,0.0,634347.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474945.96875,0.0,0.0,0.0,0.0,0.0
1281.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468830.59375,0.0,0.0,0.0,0.0,0.0,692123.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.17,0.0,0.0,0.0,0.0,0.0,0.0,1283053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287448.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.37,467457.65625,0.0,1430497.5625,831853.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310422.34375,0.0,623237.15625,0.0,339813.90625,0.0,0.0,570057.4375,306829.875,546324.75,0.0,0.0,0.0,0.0,364674.96875,0.0,1849322.0,0.0,0.0,0.0,0.0,485518.65625,674296.0625,0.0,0.0,0.0,525468.375,858944.3125,432646.3125,0.0,0.0,0.0,0.0,0.0,625230.1875,0.0,0.0,900553.125,1720507.875,480346.0625,0.0,324376.65625,0.0,0.0,569556.75,0.0,0.0,0.0,0.0,0.0,520408.125,0.0,0.0,1044702.09375,0.0,325462.15625,0.0,392153.5,0.0,0.0,1668533.59375,260176.3125,0.0,780192.21875,0.0,1184572.8125,848827.59375,0.0,0.0,393664.25,0.0,696322.5625,0.0,0.0,0.0
1281.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4662236.5,614949.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369850.0625,0.0,0.0,0.0,0.0,0.0,0.0,697587.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674284.0,0.0,0.0,471598.5625,0.0,287434.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402520.71875,0.0,809103.4375,0.0,0.0,1001367.0625,494990.28125,0.0,0.0,0.0,253711.171875,0.0,0.0,265216.625,0.0,0.0,0.0,0.0,0.0,391421.03125,0.0,0.0,552221.1875,0.0
