,Coef,Intercept,Score
"1287.97, 1314.0",[[0.69367443]],[-0.00252862],0.8599740381593377
"1288.98, 1312.97",[[0.97916723]],[0.01093326],0.896381320453983
"1288.98, 1314.0",[[0.62309906]],[-0.00457157],0.7310640376146752
"1288.98, 1335.97",[[0.81353555]],[0.00536572],0.9403265107711267
"1289.98, 1312.97",[[1.65923368]],[0.01453947],0.8076354137678685
"1289.98, 1335.97",[[1.30984944]],[0.01525123],0.8402181941889223
"1311.98, 1314.0",[[0.69236642]],[-0.00210319],0.7865782175025892
"1311.98, 1335.97",[[0.83979852]],[0.00944248],0.7442052754857134
"1314.0, 1336.98",[[1.23342366]],[0.02758929],0.869086047047867
"1316.24, 1322.3",[[0.4456604]],[0.00271512],0.6646086629400758
"1316.24, 1323.31",[[0.40624841]],[-0.00103788],0.7470732406669658
"1316.24, 1326.32",[[0.8836486]],[0.01568113],0.9175357991464644
"1316.24, 1327.33",[[0.22426086]],[0.00100259],0.6431409166400786
"1316.24, 1340.32",[[0.55073404]],[-0.00045607],0.7171596033929489
"1316.24, 1341.32",[[0.49699819]],[0.00478869],0.6429866635784196
"1317.25, 1341.32",[[1.47311959]],[0.03981463],0.7928700590923563
"1322.3, 1326.32",[[1.56399524]],[0.07239744],0.7564758320817834
"1327.33, 1341.32",[[1.38371508]],[0.06666246],0.6256307226007309
