,Coef,Intercept,Score
"1280.62, 1291.87",[[0.58155657]],[0.01817184],0.7278204316624224
"1280.62, 1293.87",[[0.43368379]],[0.01399239],0.7739140730306033
"1280.62, 1301.87",[[0.44265565]],[0.01802008],0.822402617120906
"1280.62, 1304.79",[[0.29933436]],[0.01670218],0.601013077741066
"1280.62, 1305.87",[[0.34959817]],[0.01947114],0.7462181054007146
"1280.62, 1307.86",[[0.30992155]],[0.02208153],0.7202864131760258
"1280.62, 1320.83",[[0.61973754]],[0.01246185],0.8408783112731302
"1280.62, 1322.83",[[0.32549454]],[0.02532524],0.6753960924085514
"1280.87, 1308.83",[[0.4905494]],[0.00649128],0.6354925748930655
"1281.62, 1293.87",[[0.4644122]],[0.01846783],0.8399446944825215
"1281.62, 1301.87",[[0.44816569]],[0.01709724],0.6665422279912824
"1281.62, 1302.87",[[0.47974511]],[0.00974159],0.7048709507586899
"1281.62, 1304.79",[[0.34945264]],[0.01149465],0.608608160998128
"1282.62, 1290.87",[[0.56801166]],[0.01524445],0.6754477547774473
"1282.62, 1293.87",[[0.60633076]],[0.00413739],0.6731437676499497
"1282.62, 1296.81",[[0.30876648]],[0.02827711],0.6756072663824675
"1282.62, 1307.86",[[0.40538573]],[0.01293389],0.6860300312978589
"1283.62, 1291.87",[[0.48499334]],[0.02043993],0.7337573000864896
"1283.62, 1292.85",[[0.45005723]],[0.01307841],0.7455640647028734
"1284.62, 1290.87",[[0.43309813]],[0.01351635],0.7437079113513949
"1284.62, 1293.87",[[0.48027782]],[0.01117375],0.7255061107635208
"1284.62, 1294.87",[[0.38682557]],[0.0158554],0.6197526576036607
"1284.62, 1301.87",[[0.40099729]],[0.0189296],0.7607093518811808
"1284.62, 1318.87",[[0.67165745]],[0.00549455],0.6612339669936413
"1285.62, 1290.87",[[0.70193068]],[-0.00035811],0.7272468982841714
"1285.62, 1294.87",[[0.64038505]],[0.00195522],0.6598290271700572
"1285.62, 1301.87",[[0.55838426]],[0.00848087],0.8296767474525821
"1285.62, 1306.83",[[0.54398654]],[-0.00119385],0.7205512841160858
"1285.62, 1320.83",[[0.80707166]],[-0.00297035],0.6130133622836329
"1285.87, 1288.85",[[0.39239041]],[0.01580685],0.8323138492914379
"1285.87, 1307.86",[[0.56980311]],[0.01602968],0.7008298915164235
"1286.62, 1290.87",[[0.52825074]],[0.02092233],0.7716810882181668
"1286.62, 1292.85",[[0.64312165]],[0.01056483],0.6550446005256583
"1286.62, 1294.87",[[0.65320289]],[0.01096977],0.7375755841516218
"1286.62, 1301.87",[[0.46829723]],[0.02331506],0.7320052521026461
"1286.87, 1297.85",[[1.12505128]],[0.02121936],0.68499907479779
"1287.62, 1290.87",[[0.45675405]],[0.02321817],0.7526054310475968
"1287.62, 1292.85",[[0.4072528]],[0.0198139],0.8783134106187269
"1287.62, 1294.87",[[0.5170466]],[0.02114177],0.8550757210536322
"1287.62, 1301.87",[[0.3080255]],[0.03525502],0.8018999068456415
"1287.62, 1318.87",[[0.37302927]],[0.03131184],0.6727871361918962
"1288.62, 1293.87",[[0.27781115]],[0.02700246],0.7780714983037778
"1288.62, 1294.87",[[0.80140244]],[0.00427122],0.740672620585993
"1288.62, 1301.87",[[0.38640271]],[0.02601618],0.7647825694423211
"1288.98, 1311.97",[[0.77098088]],[0.00902386],0.7685591053146541
"1289.62, 1291.87",[[0.56816735]],[0.01269707],0.7418324602742663
"1289.62, 1294.87",[[0.55127668]],[0.01213224],0.7424774926768785
"1289.62, 1301.87",[[0.3583897]],[0.0239616],0.7719357678167447
"1289.62, 1306.83",[[0.44816495]],[0.00605193],0.6067227003708695
"1289.62, 1317.87",[[0.57526239]],[0.02020565],0.7004912966085304
"1289.87, 1293.62",[[0.68253029]],[0.02240661],0.6134770936254641
"1289.87, 1295.81",[[0.38888328]],[0.03532298],0.6101533382722468
"1289.87, 1302.62",[[0.65937286]],[0.04540694],0.7260291683871056
"1289.87, 1321.62",[[0.32107619]],[0.02357558],0.6979111644267267
"1290.01, 1311.97",[[1.03623682]],[0.02013846],0.7521751339210194
"1290.87, 1294.62",[[1.04801981]],[0.01176559],0.6602192512959673
