,Coef,Intercept,Score
"1280.62, 1321.83",[[0.40107368]],[0.01167645],0.6356025079247746
"1280.8, 1302.87",[[0.93408402]],[0.01140345],0.6234997654217237
"1280.8, 1324.87",[[1.05961083]],[0.01166283],0.7797172007856322
"1281.62, 1290.87",[[0.45106653]],[0.01445383],0.619349911247941
"1281.62, 1307.87",[[0.30499234]],[0.01833583],0.707121030955711
"1283.87, 1315.85",[[0.60845075]],[0.01124261],0.7232135406031659
"1283.87, 1325.84",[[1.01780769]],[0.01380534],0.6095047984660594
"1284.87, 1296.84",[[0.70970363]],[0.01850307],0.6943256098294026
"1287.97, 1291.07",[[0.16133573]],[0.00445071],0.663890197109138
"1287.97, 1313.99",[[0.57889167]],[0.00637281],0.7020118997652365
"1287.97, 1337.02",[[0.99036145]],[0.01196073],0.8399999163366643
"1287.97, 1337.99",[[0.59070591]],[0.00520762],0.7542821687798916
"1288.98, 1312.01",[[0.88901982]],[0.00287119],0.9041266289990004
"1288.98, 1337.02",[[0.93548225]],[0.00803747],0.8622898274574897
"1288.98, 1359.97",[[0.41404878]],[-0.00035609],0.8873025081326602
"1289.98, 1295.0",[[0.38994573]],[-0.00093796],0.6208264389484506
"1289.98, 1337.02",[[1.50082794]],[0.0152201],0.6488960752334063
"1293.37, 1300.87",[[1.65287765]],[0.02291069],0.6496073572787714
"1293.87, 1303.62",[[0.48524482]],[0.03944663],0.6288786871513867
"1296.84, 1299.87",[[0.64349266]],[0.01489904],0.7034206168781878
"1296.84, 1322.81",[[0.48400204]],[0.01347596],0.6006333824886356
"1297.84, 1326.82",[[0.35470831]],[0.01656517],0.6590052606735151
"1299.02, 1347.06",[[0.05816279]],[-0.00773292],0.7016625680602753
"1299.09, 1347.02",[[9.72558542]],[0.44909123],0.6362494335650775
"1299.09, 1348.03",[[2.89873642]],[0.1214068],0.6062451260470859
"1299.44, 1301.62",[[1.53445091]],[0.05473599],0.794615065194327
"1299.62, 1321.83",[[0.49949529]],[0.01183446],0.6725980971596479
"1300.03, 1323.02",[[3.07600979]],[0.18196088],0.7518353043827787
"1300.03, 1347.02",[[2.97121153]],[0.1994476],0.7495812172527875
"1301.87, 1325.84",[[0.86060382]],[0.00562326],0.8849937389599603
"1303.87, 1307.62",[[0.40653436]],[0.02591205],0.7189477880978595
"1304.84, 1308.87",[[0.5532586]],[0.01765851],0.641600417557914
"1304.84, 1316.87",[[0.54854481]],[0.01975957],0.7290176196988336
"1312.01, 1335.98",[[0.8063635]],[0.00656066],0.8180618063038898
"1312.01, 1359.97",[[0.42727575]],[-3.53693549e-05],0.8399725302066924
"1312.98, 1337.02",[[0.86820568]],[0.00407329],0.8833023915430291
"1312.98, 1359.97",[[0.36947554]],[-0.00064237],0.8781737092476605
"1313.99, 1335.98",[[1.15037512]],[0.01563197],0.8842631906875219
"1313.99, 1337.02",[[1.47731006]],[0.01343694],0.8245582531860929
"1313.99, 1359.97",[[0.69264551]],[0.00144712],0.7137816551581921
"1314.19, 1316.24",[[5.90119541]],[0.11887117],0.677332619513753
"1314.19, 1317.25",[[1.92254148]],[0.02144025],0.7904905200167708
"1314.19, 1322.3",[[2.76993788]],[0.05111337],0.6152718450069969
"1314.19, 1323.3",[[2.83041291]],[0.03494299],0.6881428110425448
"1314.19, 1326.32",[[6.25594522]],[0.09288332],0.7044382880100701
"1314.99, 1335.98",[[2.18692389]],[0.04354332],0.6494390012112726
"1316.24, 1322.3",[[0.46781441]],[0.00134381],0.7075425938378326
"1316.24, 1323.3",[[0.42476193]],[-0.00207684],0.7188944954699389
"1316.24, 1326.32",[[0.91890668]],[0.01663144],0.8166231558239614
"1316.24, 1327.33",[[0.25074772]],[8.47442837e-05],0.6925982759895528
"1317.25, 1322.3",[[1.19262546]],[0.04670931],0.6654435177275654
"1317.25, 1323.3",[[1.13902962]],[0.033997],0.6192988905277588
"1322.3, 1326.32",[[1.52584997]],[0.08315249],0.6547649607876825
"1323.02, 1347.06",[[0.05677021]],[-0.00914517],0.7168075185888103
"1323.3, 1326.32",[[1.77884797]],[0.07143257],0.7503391718561404
"1324.02, 1347.06",[[0.15977745]],[0.00190762],0.6741555185304775
"1335.98, 1359.97",[[0.43965073]],[0.00350348],0.8732829927151542
"1337.02, 1359.97",[[0.42482241]],[-0.00405584],0.7784059513320005
"1337.99, 1359.97",[[0.64048525]],[0.00509651],0.947877076901969
