,Coef,Intercept,Score
"1289.0, 1311.98",[[0.87646842]],[0.00476671],0.6668772161223793
"1289.0, 1313.98",[[0.57172958]],[0.00248112],0.6701222641041003
"1289.0, 1335.97",[[0.78705478]],[0.00518372],0.8371011724473484
"1289.0, 1336.98",[[0.9422334]],[0.00513359],0.7745216342037067
"1289.0, 1337.98",[[0.49922008]],[0.00167005],0.6494116283670042
"1290.06, 1311.98",[[1.16488405]],[0.01924647],0.9019571594026657
"1296.81, 1298.85",[[0.53049456]],[0.01283793],0.6347491628715972
"1301.62, 1320.43",[[0.80979591]],[-0.00222569],0.7113232942779275
"1311.98, 1359.97",[[0.36808831]],[0.00715547],0.6576868045195601
"1313.98, 1335.97",[[1.26187262]],[0.00777628],0.7326405575967162
"1316.24, 1322.31",[[0.44135843]],[0.00540244],0.6975154275314186
"1316.24, 1323.31",[[0.35574476]],[0.00843187],0.756884297741147
"1316.24, 1326.32",[[0.89091281]],[0.01629242],0.7959137428840299
"1317.26, 1322.31",[[1.07856547]],[0.04846587],0.6609252428255397
"1317.26, 1326.32",[[2.04181527]],[0.11610058],0.6551542212089728
"1324.03, 1347.02",[[2.67565948]],[0.20136301],0.8283609458906691
"1324.03, 1348.02",[[0.91182462]],[0.0177152],0.7513236877547034
"1336.98, 1359.97",[[0.41906449]],[-0.00206918],0.9147971365716676
