,Coef,Intercept,Score
"1314.19, 1317.25",[[2.38334574]],[0.01646531],0.8833268770462612
"1314.19, 1321.3",[[0.9767979]],[0.01972034],0.7172245917029556
"1314.19, 1322.3",[[3.78716637]],[0.04906757],0.8820554138318591
"1314.19, 1323.3",[[3.56769067]],[0.03601433],0.7129799640677503
"1314.19, 1326.32",[[7.96896666]],[0.1105326],0.8658460105799173
"1314.19, 1327.33",[[2.07370061]],[0.0253236],0.7306724904435322
"1314.19, 1341.33",[[4.44593652]],[0.06891749],0.7628260896326683
"1314.62, 1321.84",[[0.47325354]],[0.02996674],0.6227950084833599
"1315.62, 1320.79",[[0.42322928]],[0.01180999],0.7105902618984701
"1316.24, 1322.3",[[0.53804581]],[-0.01667738],0.8193564982312255
"1316.24, 1323.3",[[0.4687527]],[-0.00641283],0.8831837468972972
"1316.24, 1326.32",[[1.10150561]],[0.01262434],0.9371530327936942
"1316.24, 1327.33",[[0.32042139]],[-0.01195906],0.7940006327450089
"1316.24, 1332.21",[[0.19765431]],[-0.0042998],0.6435024271574828
"1316.24, 1338.31",[[0.15402943]],[-0.00438177],0.654382556337117
"1316.24, 1340.35",[[0.15826374]],[0.00701565],0.6684390867944976
"1316.24, 1341.33",[[0.65850543]],[-0.00654488],0.7530433683340378
"1317.25, 1322.3",[[1.53286419]],[0.03442717],0.8089397145508892
"1317.25, 1323.3",[[1.3209947]],[0.03886699],0.8677240652163836
"1317.25, 1326.32",[[3.14450847]],[0.11566986],0.881550494866256
"1317.25, 1327.33",[[0.92316856]],[0.01636409],0.8255102874165504
"1317.25, 1341.33",[[1.84616504]],[0.05025933],0.6823458990127848
"1318.62, 1320.79",[[0.57459457]],[0.02766865],0.8432450213177249
"1319.62, 1322.83",[[0.52076072]],[0.02277246],0.6511692325128388
"1322.3, 1326.32",[[1.89440581]],[0.0850838],0.8289476112606114
"1322.3, 1327.33",[[0.55786272]],[0.00823661],0.8208706730033501
"1322.3, 1341.33",[[1.1434117]],[0.03322895],0.7843018304820797
"1323.1, 1348.02",[[2.35705108]],[0.15071872],0.648537941633238
"1323.3, 1326.32",[[2.10960564]],[0.08675461],0.8543260537846378
"1323.3, 1327.33",[[0.64241684]],[0.00425711],0.7635459624605857
"1323.3, 1341.33",[[1.27990573]],[0.03585628],0.8076446977846857
"1326.32, 1332.21",[[0.17585777]],[-0.00432657],0.6626810644992809
"1326.32, 1338.31",[[0.12720929]],[0.00241703],0.6076930401309844
"1326.32, 1340.35",[[0.13421092]],[0.01180013],0.6946041986382525
"1326.32, 1342.36",[[0.28094447]],[-0.02162891],0.6071447684658827
"1327.33, 1332.21",[[0.55787096]],[0.0140298],0.6313607027507234
"1331.29, 1341.33",[[6.69115186]],[0.30673412],0.6394690214227148
"1332.21, 1341.33",[[2.46527007]],[0.10904287],0.7596774526188185
"1332.21, 1342.36",[[1.28632254]],[0.0243743],0.7303158417975041
"1333.22, 1342.36",[[2.84176957]],[0.10756037],0.7154474379854625
"1335.97, 1337.99",[[0.58460892]],[0.00672943],0.9110433490339177
"1337.99, 1359.98",[[0.60900376]],[0.00667875],0.8082238399987639
"1338.31, 1342.36",[[1.45970409]],[0.04703245],0.6019468970846215
