,Coef,Intercept,Score
"1282.87, 1339.85",[[0.66278048]],[0.00973966],0.6264835317955864
"1283.62, 1348.82",[[0.3247042]],[0.00998273],0.634492683389188
"1284.62, 1348.82",[[0.34536622]],[0.01172852],0.6315004206227384
"1284.87, 1339.85",[[0.66274511]],[0.01135495],0.6482246958009759
"1286.87, 1330.62",[[0.41583305]],[0.01604433],0.6035285511007876
"1287.37, 1323.87",[[0.41867165]],[0.02579122],0.625609250352763
"1287.62, 1306.87",[[0.30079858]],[0.01756763],0.6161038877327295
"1287.62, 1318.87",[[0.20622008]],[0.02297635],0.6521577660155793
"1287.98, 1290.02",[[0.61595242]],[-0.0005088],0.7080803646278955
"1287.98, 1313.02",[[1.12514971]],[0.00989602],0.8137748957751487
"1287.98, 1359.97",[[0.47803627]],[-0.00035803],0.8717732813729356
"1288.62, 1334.83",[[0.23539532]],[0.0182086],0.6870876467981998
"1288.62, 1339.85",[[0.45498244]],[0.01629715],0.7789837034498155
"1289.02, 1311.98",[[0.83998291]],[0.00710642],0.801597268601852
"1289.02, 1313.98",[[0.4771946]],[0.00592444],0.7640697796162774
"1289.02, 1315.0",[[0.14535026]],[0.0022284],0.6238370914216013
"1289.02, 1335.98",[[0.81083027]],[0.00445455],0.7903067136224162
"1289.02, 1336.98",[[0.87489017]],[0.00966365],0.9432762952442753
"1289.02, 1337.98",[[0.51670698]],[0.0025349],0.8434369719204653
"1289.02, 1359.97",[[0.40723672]],[0.00039003],0.7597229626604373
"1290.02, 1311.98",[[1.445778]],[0.01324826],0.802116747653487
"1290.02, 1313.98",[[0.78775077]],[0.01110116],0.825725035383284
"1290.02, 1315.0",[[0.31782834]],[0.00128693],0.6390461535307538
"1290.02, 1336.98",[[1.47098353]],[0.01866696],0.7564485588882874
"1290.02, 1337.98",[[0.92273415]],[0.00669971],0.8011972856659245
"1290.02, 1359.97",[[0.72257732]],[0.00266043],0.6107268298383136
"1290.87, 1327.62",[[0.24721066]],[0.02729142],0.659521454070224
"1290.87, 1334.83",[[0.41335635]],[0.00846651],0.8757635408247681
"1290.87, 1348.82",[[0.2519236]],[0.0205353],0.7043974090437952
"1290.87, 1349.81",[[0.41451999]],[0.01650766],0.9171484466308232
"1291.02, 1315.0",[[0.58781652]],[0.00887995],0.7036662648744483
"1291.02, 1359.97",[[1.62207168]],[0.02054243],0.6503420833977556
"1292.62, 1339.85",[[0.47612983]],[0.0158122],0.6837434531375463
"1292.62, 1348.82",[[0.34500255]],[0.01336564],0.7479485049541762
"1292.87, 1333.62",[[0.53143752]],[0.01649259],0.6842610313120097
"1292.87, 1346.62",[[0.32810842]],[0.01518184],0.6569209007865955
"1292.87, 1350.83",[[0.37594073]],[0.01607469],0.6619726861843573
"1293.62, 1339.85",[[0.35621113]],[0.02288385],0.7230668772572394
"1293.62, 1347.87",[[0.29490552]],[0.01670233],0.6848197520511393
"1293.87, 1346.81",[[0.47085439]],[0.01833929],0.6253331796884193
"1294.62, 1334.83",[[0.26152007]],[0.01740422],0.6803711970647226
"1295.37, 1345.62",[[1.44930997]],[0.01638313],0.6116208317673559
"1295.83, 1323.87",[[0.57679948]],[0.01684],0.683463259126831
"1295.83, 1324.87",[[0.71271047]],[0.02655989],0.7410220375305359
"1295.83, 1326.62",[[0.28939341]],[0.01970977],0.7798566391669816
"1296.83, 1298.86",[[1.31463729]],[-0.00273147],0.8870734143232905
"1296.83, 1299.87",[[0.70635932]],[0.0169678],0.8010641463124649
"1296.83, 1312.87",[[0.48469539]],[0.01554135],0.7114611961752163
"1296.83, 1327.87",[[0.23795674]],[0.02547452],0.7271440202950169
"1297.84, 1311.87",[[0.57674982]],[0.00673491],0.7743606529595123
"1297.84, 1312.87",[[0.41642551]],[0.01667418],0.6291888242062125
"1297.84, 1313.87",[[0.49062315]],[0.02223429],0.7178817537837712
"1297.84, 1325.87",[[0.80015795]],[0.00911963],0.685887014459351
"1299.02, 1322.97",[[0.04928769]],[-0.00011066],0.6155637088928065
"1299.02, 1323.06",[[0.04592615]],[0.00340629],0.7363528921800577
"1299.02, 1347.06",[[0.05575238]],[-0.00422685],0.6972825374786253
"1299.08, 1323.02",[[13.99095843]],[0.28551702],0.7728702056248404
"1299.08, 1324.02",[[4.30437803]],[0.06179854],0.6851771916074971
"1299.08, 1347.02",[[13.4213085]],[0.29840163],0.7430923620392733
"1299.62, 1348.82",[[0.25071974]],[0.0147672],0.6721965910781409
"1299.87, 1341.83",[[0.34826778]],[0.01138621],0.8776917183932641
"1300.03, 1323.02",[[3.15106501]],[0.1672032],0.8024231718699761
"1300.03, 1323.06",[[0.15186222]],[0.00750699],0.6503328781012173
"1300.03, 1324.02",[[0.94916746]],[0.02883127],0.7457036189875288
"1300.03, 1347.02",[[3.05972423]],[0.17318722],0.7993746794780828
"1301.62, 1337.44",[[0.29222514]],[0.0022215],0.6128549005645811
"1302.62, 1347.87",[[0.24512728]],[0.02420813],0.624142138399719
"1303.62, 1337.44",[[0.72711695]],[-0.00179642],0.7319358510523019
