,Coef,Intercept,Score
"1280.87, 1284.12",[[0.15425162]],[0.00302781],0.7087896577955458
"1282.87, 1296.79",[[1.7106829]],[-0.01478646],0.758897967760537
"1284.87, 1296.79",[[1.48739655]],[0.00475216],0.7125426343102657
"1284.87, 1298.86",[[2.08784307]],[-0.0067224],0.8282597667891877
"1285.87, 1298.86",[[1.74510426]],[0.00987341],0.7006444296334089
"1287.97, 1290.12",[[0.61666361]],[0.00468637],0.8329888295904002
"1287.97, 1290.99",[[0.18595155]],[0.0024717],0.696206638911722
"1287.97, 1314.99",[[0.22435925]],[0.00076657],0.7568318566851066
"1288.62, 1292.87",[[0.52305708]],[0.01963394],0.6600290697196135
"1289.05, 1311.98",[[0.84873037]],[0.00178199],0.7698741382308923
"1289.05, 1312.98",[[0.99109392]],[0.00618265],0.7724103673174848
"1289.05, 1313.98",[[0.58966706]],[1.93265556e-05],0.7637775119145174
"1289.05, 1314.99",[[0.1800143]],[0.00080941],0.6502008619957698
"1289.05, 1335.97",[[0.76331336]],[0.00625835],0.8279690008043964
"1289.05, 1336.98",[[0.94162819]],[0.00558676],0.7709723516807631
"1289.05, 1337.98",[[0.5319994]],[0.00126082],0.8134961821289293
"1289.05, 1338.99",[[0.20923147]],[-0.00151864],0.666345169115709
"1289.05, 1359.98",[[0.39412422]],[0.00252478],0.8752630863125518
"1289.87, 1328.62",[[0.30685585]],[0.01808359],0.7090785812727745
"1289.87, 1333.83",[[0.53322896]],[0.01276121],0.6047330795183286
"1290.12, 1311.98",[[1.27184999]],[0.0119211],0.7390385098914856
"1290.12, 1312.98",[[1.55413737]],[0.01907388],0.7300947282828911
"1290.12, 1313.98",[[0.97499907]],[0.00359417],0.715865489162683
"1290.12, 1335.97",[[1.17387803]],[0.01510089],0.7775558582289569
"1290.12, 1336.98",[[1.36808242]],[0.01956497],0.7587805574627399
"1290.12, 1337.98",[[0.90230856]],[0.00599085],0.7915518391132049
"1290.12, 1359.98",[[0.72169028]],[0.00222001],0.8040205062761808
"1290.99, 1311.98",[[2.65286715]],[0.04067597],0.6390761347940429
"1290.99, 1312.98",[[2.65321082]],[0.05906862],0.6671853231799894
"1294.87, 1346.81",[[0.28765805]],[0.01942386],0.6515470447517415
"1295.05, 1313.98",[[1.70837156]],[0.02972388],0.7809271188152238
"1295.05, 1359.98",[[0.90675273]],[0.03619466],0.6621130239681788
"1296.79, 1298.86",[[1.29637853]],[-0.00850346],0.9075020695403837
"1296.79, 1299.87",[[0.82713753]],[0.01873081],0.8570889452985153
"1296.79, 1324.87",[[0.78686717]],[0.0067062],0.8408614782185039
"1296.79, 1325.87",[[0.55123137]],[0.01373777],0.7376053597215801
"1296.79, 1339.82",[[0.33623087]],[0.01503339],0.7785974006429509
"1296.79, 1341.87",[[0.39484955]],[0.01377292],0.7880760260804323
"1297.84, 1299.87",[[1.10596873]],[0.0093153],0.7922618100429254
"1297.84, 1310.87",[[0.81083595]],[0.00491695],0.7526860891369516
"1297.84, 1313.87",[[0.46182514]],[0.01876977],0.8285813311660493
"1297.84, 1324.87",[[1.03417044]],[0.00464778],0.8729703822157908
"1297.84, 1339.82",[[0.4022015]],[0.01533693],0.7818647218362149
"1298.62, 1346.81",[[0.42179526]],[0.01310253],0.6853978743956654
"1298.86, 1339.82",[[0.26805422]],[0.01370921],0.6142148599020191
"1299.02, 1323.07",[[0.05561177]],[-0.00312212],0.7277173743592422
"1299.06, 1323.02",[[13.90937825]],[0.29225461],0.7244788628274198
"1299.06, 1347.02",[[14.1100182]],[0.28002129],0.7493665277162149
"1299.06, 1348.03",[[4.73620698]],[0.05117065],0.6995553356094028
"1300.03, 1323.02",[[3.15968211]],[0.16532771],0.8669475932157903
"1300.03, 1347.02",[[3.1851704]],[0.1569923],0.8547009706053055
"1300.03, 1347.08",[[0.17720329]],[0.00157172],0.6476722205892959
"1300.87, 1339.82",[[0.8128066]],[0.00145094],0.6977644124454654
"1303.62, 1306.87",[[0.26042025]],[0.01417634],0.639016457134816
"1306.87, 1328.62",[[0.38571642]],[0.01778508],0.6046283325559934
"1307.62, 1338.87",[[0.28106334]],[0.02557267],0.6413905711335119
"1311.98, 1335.97",[[0.81108105]],[0.01068227],0.9172793909448086
"1312.62, 1325.87",[[0.75199839]],[0.01720336],0.6196018391086109
"1312.98, 1335.97",[[0.70666804]],[0.00696699],0.8516404213691695
"1313.87, 1339.82",[[0.73668975]],[0.01220642],0.8350296112466553
"1313.98, 1335.97",[[1.11815637]],[0.01567634],0.7386706756887333
"1314.19, 1316.24",[[5.99508533]],[0.11895859],0.7623304733947354
"1314.19, 1317.25",[[1.86535293]],[0.02090151],0.6592184638513465
